PMID,Journal,publisher_guess,year,doi,doi_url
38821530,Crit Care Nurse,Unknown,2024,10.4037/ccn2024995,https://aacnjournals.org/ccnonline/article/44/3/45/32460/A-Review-of-Chlorhexidine-Oral-Care-in-Patients
37001873,Crit Care Nurse,Unknown,2023,10.4037/ccn2023437,https://aacnjournals.org/ccnonline/article/43/2/84/32010/ALWAYS-Making-Patient-Safety-a-Priority
16462412,AACN Clin Issues,Unknown,2006,10.1097/00044067-200601000-00010,https://aacnjournals.org/aacnacconline
15586162,AACN Clin Issues,Unknown,2004,10.1097/00044067-200410000-00012,https://aacnjournals.org/aacnacconline
7742144,AACN Clin Issues Crit Care Nurs,Unknown,1994,10.1097/00044067-199405040-00014,https://aacnjournals.org/aacnacconline
7767814,AACN Clin Issues Crit Care Nurs,Unknown,1994,10.4037/15597768-1994-2012,https://aacnjournals.org/aacnacconline/article/5/2/194/2388/Nasogastric-and-Nasointestinal-Feeding-Tube
38688854,Am J Crit Care,Unknown,2024,10.4037/ajcc2024747,https://aacnjournals.org/ajcconline/article/33/3/171/32431/Early-Mobility-Index-and-Patient-Outcomes-A
37391379,Am J Crit Care,Unknown,2023,10.4037/ajcc2023440,https://aacnjournals.org/ajcconline/article/32/4/264/32140/Factors-Associated-With-Function-Focused-Care
38848573,AACN Adv Crit Care,Unknown,2024,10.4037/aacnacc2024761,https://aacnjournals.org/aacnacconline/article/35/2/157/32476/Innovative-Strategies-for-Palliative-Care-in-the
37644627,AACN Adv Crit Care,Unknown,2023,10.4037/aacnacc2023662,https://aacnjournals.org/aacnacconline/article/34/3/189/32176/Ten-Years-Later-Alarm-Fatigue-Is-Still-a-Safety
