PMID,Journal,publisher_guess,year,doi,doi_url
27239261,Afr J Environ Sci Tech,Unknown,2015,10.5897/AJEST2015.1912,https://academicjournals.org/journal/AJEST/article-abstract/1638B0555040
33282145,Afr J Agric Res,Unknown,2018,10.5897/AJAR2018.13384,https://academicjournals.org/journal/AJAR/article-abstract/7A18FE859192
33381290,J Entomol Nematol,Unknown,2019,10.5897/JEN2018.0222,https://academicjournals.org/journal/JEN/article-abstract/234849A60249
24013643,J Dev Biol Tissue Eng,Unknown,2013,10.5897/JDBTE2013.0065,https://academicjournals.org/login
25356368,J Public Health Epidemiol,Unknown,2014,10.5897/JPHE2014.0620,https://academicjournals.org/journal/JPHE/article-abstract/74E895E45007
25937871,J Dev Agric Econ,Unknown,2015,10.5897/JDAE2014.0616,https://academicjournals.org/journal/JDAE/article-abstract/4E2E1D949839
33381355,J Gen Mol Virol,Unknown,2019,10.5897/JGMV2019.0073,https://academicjournals.org/journal/JGMV/article-abstract/BC07C4461466
35178192,J Med Plant Res,Unknown,2021,10.5897/jmpr2021.7137,https://academicjournals.org/journal/JMPR/article-abstract/01BCE5F68394
29152156,J Med Plant Res,Unknown,2017,10.5897/jmpr2017.6485,https://academicjournals.org/journal/JMPR/article-abstract/854FF7566460
33281892,Afr J Biotechnol,Unknown,2019,10.5897/AJB2019.16776,https://academicjournals.org/journal/AJB/article-abstract/661655E61833
27158431,Afr J Pharm Pharmacol,Unknown,2016,10.5897/AJPP2015.4488,https://academicjournals.org/journal/AJPP/article-abstract/86838A757628
34540322,J AIDS HIV Res,Unknown,2020,10.5897/jahr2020.0513,https://academicjournals.org/journal/JAHR/article-abstract/372D91C65159
31649827,J AIDS HIV Res,Unknown,2017,10.5897/JAHR2016.0406,https://academicjournals.org/journal/JAHR/article-abstract/24E08CE62105
