PMID,Journal,publisher_guess,year,doi,doi_url
26798624,Tumor Microenviron Ther,Unknown,2015,10.1515/tumor-2015-0001,https://access.portico.org/Portico/pageNotFound
25436211,Tumor Microenviron Ther,Unknown,2013,10.2478/tumor-2012-0001,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpgh1c960sjz
24976802,Psyccritiques,Unknown,2013,10.1037/a0034836,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphzphd0zp
19915684,Retrovirology (Auckl),Unknown,2008,10.4137/rrt.s1081,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphw17wvv0dn
16982481,Eur J Morphol,Unknown,2005,10.1080/09243860600765460,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpggtrn00tw
12959344,Eur J Morphol,Unknown,2002,10.1076/ejom.40.1.15.13957,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpggtrmztq2
27358577,Prim Prev Insights,Unknown,2016,10.4137/PPRI.S39664,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphw17wvm54f
25285232,Microrna Diagn Ther,Unknown,2013,10.2478/micrnat-2013-0001,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpgh1c851t3x
22003300,Clin Med Geriatr,Unknown,2008,10.4137/cmger.s664,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphw17wtzkvm
31032427,Electrospinning,Unknown,2018,10.1515/esp-2018-0002,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphzgb7hpvpg
36847627,Drugs Today (Barc),Unknown,2023,10.1358/dot.2023.59.3.3453905,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpjbd6krzptq
36811409,Drugs Today (Barc),Unknown,2023,10.1358/dot.2023.59.2.3509756,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpjbcs8xb516
21180653,Drug News Perspect,Unknown,2010,10.1358/dnp.2010.23.10.1506088,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpjbf7k9vgw5
25479350,Inform Prim Care,Unknown,2014,10.14236/jhi.v21i4.87,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphw1p05j6h8
22688225,Inform Prim Care,Unknown,2011,10.14236/jhi.v19i3.809,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fphw1p057fhj
28603338,Drugs Future,Unknown,2017,10.1358/dof.2017.042.02.2564106,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpjbf78xd5gz
27570767,Nanomater Environ,Unknown,2014,10.2478/nanome-2014-0001,https://access.portico.org/Portico/auView?auId=ark%3A%2F27927%2Fpgh3kmzsxgk
29309069,Syst Pharmacol,Unknown,2013,10.2478/sph-2012-0001,https://access.portico.org/Portico/pageNotFound
