PMID,Journal,publisher_guess,year,doi,doi_url
38889219,Circ Cardiovasc Imaging,Unknown,2024,10.1161/CIRCIMAGING.124.017029,https://www.ahajournals.org/doi/10.1161/CIRCIMAGING.124.017029
38626098,Circ Cardiovasc Imaging,Unknown,2024,10.1161/CIRCIMAGING.123.016155,https://www.ahajournals.org/doi/10.1161/CIRCIMAGING.123.016155
2244864,Arteriosclerosis,Unknown,1990,10.1161/01.atv.10.6.966,https://www.ahajournals.org/doi/10.1161/01.ATV.10.6.966
2206112,Arteriosclerosis,Unknown,1990,10.1161/01.atv.10.5.665,https://www.ahajournals.org/doi/10.1161/01.ATV.10.5.665
38913051,Circ Heart Fail,Unknown,2024,10.1161/CIRCHEARTFAILURE.124.011874,https://www.ahajournals.org/doi/10.1161/CIRCHEARTFAILURE.124.011874
38054278,Circ Heart Fail,Unknown,2024,10.1161/CIRCHEARTFAILURE.123.011006,https://www.ahajournals.org/doi/10.1161/CIRCHEARTFAILURE.123.011006
7981195,Arterioscler Thromb,Unknown,1994,10.1161/01.atv.14.12.2053,https://www.ahajournals.org/doi/10.1161/01.ATV.14.12.2053
7981180,Arterioscler Thromb,Unknown,1994,10.1161/01.atv.14.12.1923,https://www.ahajournals.org/doi/10.1161/01.ATV.14.12.1923
38904251,J Am Heart Assoc,Unknown,2024,10.1161/JAHA.123.033544,https://www.ahajournals.org/doi/10.1161/JAHA.123.033544
38874073,J Am Heart Assoc,Unknown,2024,10.1161/JAHA.123.033791,https://www.ahajournals.org/doi/10.1161/JAHA.123.033791
38912780,Circ Cardiovasc Qual Outcomes,Unknown,2024,10.1161/CIRCOUTCOMES.124.010973,https://www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.124.010973
38506044,Circ Cardiovasc Qual Outcomes,Unknown,2024,10.1161/CIRCOUTCOMES.123.010763,https://www.ahajournals.org/doi/10.1161/CIRCOUTCOMES.123.010763
38889252,Circ Cardiovasc Interv,Unknown,2024,10.1161/CIRCINTERVENTIONS.124.014196,https://www.ahajournals.org/doi/10.1161/CIRCINTERVENTIONS.124.014196
38853766,Circ Cardiovasc Interv,Unknown,2024,10.1161/CIRCINTERVENTIONS.123.014143,https://www.ahajournals.org/doi/10.1161/CIRCINTERVENTIONS.123.014143
38916187,Circ Genom Precis Med,Unknown,2024,10.1161/CIRCGEN.124.004574,https://www.ahajournals.org/doi/10.1161/CIRCGEN.124.004574
38258565,Circ Genom Precis Med,Unknown,2024,10.1161/CIRCGEN.122.004224,https://www.ahajournals.org/doi/10.1161/CIRCGEN.122.004224
