PMID,Journal,publisher_guess,year,doi,doi_url
31745497,AIMS Environ Sci,Unknown,2019,10.3934/environsci.2019.5.367,http://www.aimspress.com/article/10.3934/environsci.2019.5.367
38617419,AIMS Public Health,Unknown,2024,10.3934/publichealth.2024008,http://www.aimspress.com/article/doi/10.3934/publichealth.2024008
37304592,AIMS Public Health,Unknown,2023,10.3934/publichealth.2023019,http://www.aimspress.com/article/doi/10.3934/publichealth.2023019
35647265,AIMS Mol Sci,Unknown,2022,10.3934/molsci.2022004,http://www.aimspress.com/article/doi/10.3934/molsci.2022004
32953979,AIMS Mol Sci,Unknown,2020,10.3934/molsci.2020006,http://www.aimspress.com/article/10.3934/molsci.2020006
38872573,Math Biosci Eng,Unknown,2024,10.3934/mbe.2024270,http://www.aimspress.com/article/doi/10.3934/mbe.2024270
38872559,Math Biosci Eng,Unknown,2024,10.3934/mbe.2024256,http://www.aimspress.com/article/doi/10.3934/mbe.2024256
32642556,AIMS Biophys,Unknown,2020,10.3934/biophy.2020012,http://www.aimspress.com/article/10.3934/biophy.2020012
31289748,AIMS Biophys,Unknown,2015,10.3934/biophy.2015.4.724,http://www.aimspress.com/article/10.3934/biophy.2015.4.724
38617041,AIMS Neurosci,Unknown,2024,10.3934/Neuroscience.2024004,http://www.aimspress.com/article/doi/10.3934/Neuroscience.2024004
34183990,AIMS Neurosci,Unknown,2021,10.3934/Neuroscience.2021023,http://www.aimspress.com/article/doi/10.3934/Neuroscience.2021023
28959722,AIMS Med Sci,Unknown,2017,10.3934/medsci.2017.1.17,http://www.aimspress.com/article/10.3934/medsci.2017.1.17
26858987,AIMS Med Sci,Unknown,2015,10.3934/medsci.2015.3.228,http://www.aimspress.com/article/10.3934/medsci.2015.3.228
29888751,AIMS Geosci,Unknown,2017,10.3934/geosci.2017.2.163,http://www.aimspress.com/article/10.3934/geosci.2017.2.163
30931380,AIMS Mater Sci,Unknown,2015,10.3934/matersci.2015.4.448,http://www.aimspress.com/article/10.3934/matersci.2015.4.448
33163623,AIMS Bioeng,Unknown,2020,10.3934/bioeng.2020009,http://www.aimspress.com/article/10.3934/bioeng.2020009
28393110,AIMS Bioeng,Unknown,2016,10.3934/bioeng.2016.3.305,http://www.aimspress.com/article/10.3934/bioeng.2016.3.305
38525046,AIMS Microbiol,Unknown,2024,10.3934/microbiol.2024003,http://www.aimspress.com/article/doi/10.3934/microbiol.2024003
38525040,AIMS Microbiol,Unknown,2024,10.3934/microbiol.2024002,http://www.aimspress.com/article/doi/10.3934/microbiol.2024002
38314333,AIMS Allergy Immunol,Unknown,2022,10.3934/allergy.2022009,http://www.aimspress.com/article/doi/10.3934/Allergy.2022009
38304556,AIMS Allergy Immunol,Unknown,2020,10.3934/allergy.2020008,http://www.aimspress.com/article/10.3934/Allergy.2020008
