PMID,Journal,publisher_guess,year,doi,doi_url
18561450,Zambezia,Unknown,2001,10.4314/zjh.v28i1.6755,https://www.ajol.info/index.php/zjh/article/view/6755
17821822,Zambezia,Unknown,2001,10.4314/zjh.v28i2.6766,https://www.ajol.info/index.php/zjh/article/view/6766
38504761,Ghana Med J,Unknown,2023,10.4314/gmj.v57i2.5,https://www.ajol.info/index.php/gmj/article/view/248999
37449000,Ghana Med J,Unknown,2022,10.4314/gmj.v56i3.11,https://www.ajol.info/index.php/gmj/article/view/234214
26891524,Tanzan J Health Res,Unknown,2014,10.4314/thrb.v16i4.11,https://www.ajol.info/index.php/thrb/article/view/98913
26891521,Tanzan J Health Res,Unknown,2014,10.4314/thrb.v16i4.8,https://www.ajol.info/index.php/thrb/article/view/94284
30853875,Trop J Pharm Res,Unknown,2018,10.4314/tjpr.v17i1.11,https://www.ajol.info/index.php/tjpr/article/view/166792
24173636,Afr J Psychiatry (Johannesbg),Unknown,2013,10.4314/ajpsy.v16i6.56,https://www.ajol.info/index.php/ajpsy/article/view/96370
23739823,Afr J Psychiatry (Johannesbg),Unknown,2013,10.4314/ajpsy.v16i3.27,https://www.ajol.info/index.php/ajpsy/article/view/91054
38362573,Malawi Med J,Unknown,2023,10.4314/mmj.v35i4.5,https://www.ajol.info/index.php/mmj/article/view/262777
38124698,Malawi Med J,Unknown,2023,10.4314/mmj.v35i1.1,https://www.ajol.info/index.php/mmj/article/view/245644
22026341,Arab J Nephrol Transplant,Unknown,2011,10.4314/ajnt.v4i3.71029,https://www.ajol.info/index.php/ajnt/article/view/71029
38784520,Ethiop J Health Sci,Unknown,2023,10.4314/ejhs.v33i5.9,https://www.ajol.info/index.php/ejhs/article/view/255809
18254514,Tanzan Health Res Bull,Unknown,2006,10.4314/thrb.v8i3.45120,https://www.ajol.info/index.php/thrb/article/view/45120
20119491,Niger J Nat Prod Med,Unknown,2008,10.4314/njnpm.v12i1.45664,https://www.ajol.info/index.php/njnpm/article/view/45664
36267922,Res J Health Sci,Unknown,2022,10.4314/rejhs.v10i3.4,https://www.ajol.info/index.php/rejhs/article/view/232711
38357188,Afr Health Sci,Unknown,2023,10.4314/ahs.v23i3.83,https://www.ajol.info/index.php/ahs/article/view/257051
38223651,Afr Health Sci,Unknown,2023,10.4314/ahs.v23i2.26,https://www.ajol.info/index.php/ahs/article/view/250640
21822360,Bull Chem Soc Ethiop,Unknown,2010,10.4314/bcse.v24i3.60692,https://www.ajol.info/index.php/bcse/article/view/60692
21892357,Madag Conserv Dev,Unknown,2009,10.4314/mcd.v4i2.48653,https://www.ajol.info/index.php/mcd/article/view/48653
