PMID,Journal,publisher_guess,year,doi,doi_url
23645963,Bull New Ser Am Math Soc,Unknown,2006,10.1090/s0273-0979-06-01104-9,https://www.ams.org/journals/bull/2006-43-03/S0273-0979-06-01104-9/home.html
33927452,Math Comput,Unknown,2020,10.1090/mcom/3515,https://www.ams.org/journals/mcom/2020-89-324/S0025-5718-2020-03515-7/
33828329,Trans Am Math Soc,Unknown,2018,10.1090/tran/7128,https://www.ams.org/journals/tran/2018-370-07/S0002-9947-2018-07128-8/
24825922,Trans Am Math Soc,Unknown,2012,10.1090/S0002-9947-2012-05678-9,https://www.ams.org/journals/tran/2013-365-02/S0002-9947-2012-05678-9/
36741227,Not Am Math Soc,Unknown,2022,10.1090/noti2575,https://www.ams.org/notices/202211/rnoti-p1908.pdf
28607525,Not Am Math Soc,Unknown,2016,10.1090/noti1434,https://www.ams.org/journals/notices/201610/rnoti-p1164.pdf
31866695,Q Appl Math,Unknown,2019,10.1090/qam/1527,https://www.ams.org/journals/qam/2019-77-02/S0033-569X-2018-01527-2/
35125524,Q Appl Math,Unknown,2019,10.1090/qam/1522,https://www.ams.org/journals/qam/2019-77-02/S0033-569X-2018-01522-9/
24639592,Proc Am Math Soc,Unknown,2012,10.1090/s0002-9939-2012-11362-0,https://www.ams.org/journals/proc/2013-141-02/S0002-9939-2012-11362-0/
21572594,Proc Am Math Soc,Unknown,2010,10.1090/S0002-9939-2010-10448-3,https://www.ams.org/journals/proc/2010-138-12/S0002-9939-2010-10448-3/
