PMID,Journal,publisher_guess,year,doi,doi_url
38885471,Annu Rev Phytopathol,Unknown,2024,10.1146/annurev-phyto-021722-034823,https://www.annualreviews.org/content/journals/10.1146/annurev-phyto-021722-034823
35587510,Annu Rev Phytopathol,Unknown,2022,10.1146/annurev-phyto-020620-120823,https://www.annualreviews.org/doi/10.1146/annurev-phyto-020620-120823
38724024,Annu Rev Genomics Hum Genet,Unknown,2024,10.1146/annurev-genom-121222-105345,https://www.annualreviews.org/content/journals/10.1146/annurev-genom-121222-105345
32428417,Annu Rev Genomics Hum Genet,Unknown,2020,10.1146/annurev-genom-121219-083616,https://www.annualreviews.org/doi/10.1146/annurev-genom-121219-083616
33343823,Annu Rev Condens Matter Phys,Unknown,2020,10.1146/annurev-conmatphys-031218-013231,https://www.annualreviews.org/doi/10.1146/annurev-conmatphys-031218-013231
27429713,Annu Rev Condens Matter Phys,Unknown,2015,10.1146/annurev-conmatphys-031214-014558,https://www.annualreviews.org/doi/10.1146/annurev-conmatphys-031214-014558
38358840,Annu Rev Anim Biosci,Unknown,2024,10.1146/annurev-animal-021122-100823,https://www.annualreviews.org/doi/10.1146/annurev-animal-021122-100823
32069436,Annu Rev Anim Biosci,Unknown,2020,10.1146/annurev-animal-020518-115142,https://www.annualreviews.org/doi/10.1146/annurev-animal-020518-115142
36968638,Annu Rev Stat Appl,Unknown,2023,10.1146/annurev-statistics-032921-022127,https://www.annualreviews.org/doi/10.1146/annurev-statistics-032921-022127
30046636,Annu Rev Stat Appl,Unknown,2018,10.1146/annurev-statistics-031017-100641,https://www.annualreviews.org/doi/10.1146/annurev-statistics-031017-100641
38371741,Annu Rev Resour Economics,Unknown,2022,10.1146/annurev-resource-111820-024214,https://www.annualreviews.org/doi/10.1146/annurev-resource-111820-024214
25143798,Annu Rev Resour Economics,Unknown,2013,10.1146/annurev-resource-091912-151830,https://www.annualreviews.org/doi/10.1146/annurev-resource-091912-151830
32587484,Annu Rev Environ Resour,Unknown,2019,10.1146/annurev-environ-101718-033327,https://www.annualreviews.org/doi/10.1146/annurev-environ-101718-033327
20011237,Annu Rev Environ Resour,Unknown,2007,10.1146/annurev.energy.32.041306.100243,https://www.annualreviews.org/doi/10.1146/annurev.energy.32.041306.100243
17654791,Annu Rev Astron Astrophys,Unknown,1998,10.1146/annurev.astro.36.1.317,https://www.annualreviews.org/doi/10.1146/annurev.astro.36.1.317
38657282,Annu Rev Plant Biol,Unknown,2024,10.1146/annurev-arplant-070623-111458,https://www.annualreviews.org/content/journals/10.1146/annurev-arplant-070623-111458
36917824,Annu Rev Plant Biol,Unknown,2023,10.1146/annurev-arplant-071122-085813,https://www.annualreviews.org/doi/10.1146/annurev-arplant-071122-085813
38857538,Annu Rev Cell Dev Biol,Unknown,2024,10.1146/annurev-cellbio-111822-014426,https://www.annualreviews.org/content/journals/10.1146/annurev-cellbio-111822-014426
32749865,Annu Rev Cell Dev Biol,Unknown,2020,10.1146/annurev-cellbio-100818-125512,https://www.annualreviews.org/doi/10.1146/annurev-cellbio-100818-125512
38842174,Annu Rev Public Health,Unknown,2024,10.1146/annurev-publhealth-060722-025138,https://www.annualreviews.org/content/journals/10.1146/annurev-publhealth-060722-025138
36266262,Annu Rev Public Health,Unknown,2023,10.1146/annurev-publhealth-071421-031614,https://www.annualreviews.org/doi/10.1146/annurev-publhealth-071421-031614
1867727,Annu Rev Biophys Biophys Chem,Unknown,1991,10.1146/annurev.bb.20.060191.000455,https://www.annualreviews.org/doi/10.1146/annurev.bb.20.060191.000455
2456074,Annu Rev Biophys Biophys Chem,Unknown,1988,10.1146/annurev.bb.17.060188.001123,https://www.annualreviews.org/doi/10.1146/annurev.bb.17.060188.001123
38424492,Annu Rev Phys Chem,Unknown,2024,10.1146/annurev-physchem-070723-035427,https://www.annualreviews.org/content/journals/10.1146/annurev-physchem-070723-035427
37093660,Annu Rev Phys Chem,Unknown,2023,10.1146/annurev-physchem-062322-051532,https://www.annualreviews.org/doi/10.1146/annurev-physchem-062322-051532
38424658,Annu Rev Immunol,Unknown,2024,10.1146/annurev-immunol-083122-043836,https://www.annualreviews.org/content/journals/10.1146/annurev-immunol-083122-043836
37126422,Annu Rev Immunol,Unknown,2023,10.1146/annurev-immunol-101921-045401,https://www.annualreviews.org/doi/10.1146/annurev-immunol-101921-045401
38424091,Annu Rev Biophys,Unknown,2024,10.1146/annurev-biophys-030822-035656,https://www.annualreviews.org/doi/10.1146/annurev-biophys-030822-035656
35119944,Annu Rev Biophys,Unknown,2022,10.1146/annurev-biophys-111521-102500,https://www.annualreviews.org/doi/10.1146/annurev-biophys-111521-102500
7888184,Annu Rev Cell Biol,Unknown,1994,10.1146/annurev.cb.10.110194.000511,https://www.annualreviews.org/doi/10.1146/annurev.cb.10.110194.000511
2688710,Annu Rev Cell Biol,Unknown,1989,10.1146/annurev.cb.05.110189.000521,https://www.annualreviews.org/doi/10.1146/annurev.cb.05.110189.000521
38885446,Annu Rev Nutr,Unknown,2024,10.1146/annurev-nutr-122123-020340,https://www.annualreviews.org/content/journals/10.1146/annurev-nutr-122123-020340
35650671,Annu Rev Nutr,Unknown,2022,10.1146/annurev-nutr-062320-114541,https://www.annualreviews.org/doi/10.1146/annurev-nutr-062320-114541
17477841,Annu Rev Biophys Biomol Struct,Unknown,2007,10.1146/annurev.biophys.35.040405.101936,https://www.annualreviews.org/doi/10.1146/annurev.biophys.35.040405.101936
15869387,Annu Rev Biophys Biomol Struct,Unknown,2005,10.1146/annurev.biophys.34.040204.144655,https://www.annualreviews.org/doi/10.1146/annurev.biophys.34.040204.144655
38911356,Annu Rev Sociol,Unknown,2023,10.1146/annurev-soc-030420-015345,https://www.annualreviews.org/doi/10.1146/annurev-soc-030420-015345
26855471,Annu Rev Sociol,Unknown,2015,10.1146/annurev-soc-071312-145702,https://www.annualreviews.org/doi/10.1146/annurev-soc-071312-145702
25767370,Annu Rev Polit Sci (Palo Alto),Unknown,2014,10.1146/annurev-polisci-071112-221207,https://www.annualreviews.org/doi/10.1146/annurev-polisci-071112-221207
38876144,Annu Rev Virol,Unknown,2024,10.1146/annurev-virology-100422-012608,https://www.annualreviews.org/content/journals/10.1146/annurev-virology-100422-012608
37406340,Annu Rev Virol,Unknown,2023,10.1146/annurev-virology-111821-100816,https://www.annualreviews.org/doi/10.1146/annurev-virology-111821-100816
15012253,Annu Rev Plant Physiol Plant Mol Biol,Unknown,1998,10.1146/annurev.arplant.49.1.0,https://www.annualreviews.org/doi/10.1146/annurev.arplant.49.1.0
11337404,Annu Rev Plant Physiol Plant Mol Biol,Unknown,2001,10.1146/annurev.arplant.52.1.407,https://www.annualreviews.org/doi/10.1146/annurev.arplant.52.1.407
37790997,Annu Rev Ecol Evol Syst,Unknown,2022,10.1146/annurev-ecolsys-012722-035231,https://www.annualreviews.org/doi/10.1146/annurev-ecolsys-012722-035231
28239303,Annu Rev Ecol Evol Syst,Unknown,2016,10.1146/annurev-ecolsys-121415-032311,https://www.annualreviews.org/doi/10.1146/annurev-ecolsys-121415-032311
36741238,Annu Rev Econom,Unknown,2022,10.1146/annurev-economics-051520-015456,https://www.annualreviews.org/doi/10.1146/annurev-economics-051520-015456
21037939,Annu Rev Econom,Unknown,2010,10.1146/annurev.economics.102308.124427,https://www.annualreviews.org/doi/10.1146/annurev.economics.102308.124427
38896540,Ann Rev Mar Sci,Unknown,2024,10.1146/annurev-marine-121422-015323,https://www.annualreviews.org/content/journals/10.1146/annurev-marine-121422-015323
37647611,Ann Rev Mar Sci,Unknown,2024,10.1146/annurev-marine-022223-025031,https://www.annualreviews.org/doi/10.1146/annurev-marine-022223-025031
38382118,Annu Rev Clin Psychol,Unknown,2024,10.1146/annurev-clinpsy-081122-012416,https://www.annualreviews.org/doi/10.1146/annurev-clinpsy-081122-012416
33577349,Annu Rev Clin Psychol,Unknown,2021,10.1146/annurev-clinpsy-081219-110503,https://www.annualreviews.org/doi/10.1146/annurev-clinpsy-081219-110503
38265882,Annu Rev Pathol,Unknown,2024,10.1146/annurev-pathmechdis-031521-025623,https://www.annualreviews.org/doi/10.1146/annurev-pathmechdis-031521-025623
31977294,Annu Rev Pathol,Unknown,2020,10.1146/annurev-pathmechdis-012419-032633,https://www.annualreviews.org/doi/10.1146/annurev-pathmechdis-012419-032633
33889060,Annu Rev Law Soc Sci,Unknown,2019,10.1146/annurev-lawsocsci-101518-042816,https://www.annualreviews.org/doi/10.1146/annurev-lawsocsci-101518-042816
34045931,Annu Rev Law Soc Sci,Unknown,2017,10.1146/annurev-lawsocsci-110615-084851,https://www.annualreviews.org/doi/10.1146/annurev-lawsocsci-110615-084851
37638126,Annu Rev Dev Psychol,Unknown,2022,10.1146/annurev-devpsych-121020-034014,https://www.annualreviews.org/doi/10.1146/annurev-devpsych-121020-034014
32455344,Annu Rev Dev Psychol,Unknown,2019,10.1146/annurev-devpsych-121318-084950,https://www.annualreviews.org/doi/10.1146/annurev-devpsych-121318-084950
38896535,Annu Rev Vis Sci,Unknown,2024,10.1146/annurev-vision-101222-052228,https://www.annualreviews.org/content/journals/10.1146/annurev-vision-101222-052228
37713277,Annu Rev Vis Sci,Unknown,2023,10.1146/annurev-vision-111022-123804,https://www.annualreviews.org/doi/10.1146/annurev-vision-111022-123804
38359948,Annu Rev Food Sci Technol,Unknown,2024,10.1146/annurev-food-072023-034354,https://www.annualreviews.org/content/journals/10.1146/annurev-food-072023-034354
