PMID,Journal,publisher_guess,year,doi,doi_url
32476674,J Aircr,Unknown,2019,10.2514/1.C035312,https://arc.aiaa.org/doi/10.2514/1.C035312
11543542,J Aircr,Unknown,2000,10.2514/2.2669,https://arc.aiaa.org/doi/10.2514/2.2669
30906936,SPACE Conf Expo (2016),Unknown,2016,10.2514/6.2016-5533,https://arc.aiaa.org/doi/10.2514/6.2016-5533
31631891,AIAA J,Unknown,2019,10.2514/1.J057876,https://arc.aiaa.org/doi/10.2514/1.J057876
31130734,AIAA J,Unknown,2017,10.2514/1.J055816,https://arc.aiaa.org/doi/10.2514/1.J055816
31354184,J Thermophys Heat Trans,Unknown,2018,10.2514/1.T5417,https://arc.aiaa.org/doi/10.2514/1.T5417
33442198,J Thermophys Heat Trans,Unknown,2019,10.2514/1.T5490,https://arc.aiaa.org/doi/10.2514/1.T5490
32021907,J Air Transp (Rest),Unknown,2019,10.2514/1.D0132,https://arc.aiaa.org/doi/10.2514/1.D0132
33123700,48th AIAA Fluid Dyn Conf 2018 (2018),Unknown,2018,10.2514/6.2018-3698,https://arc.aiaa.org/doi/10.2514/6.2018-3698
33479548,J Spacecr Rockets,Unknown,2019,10.2514/1.A34247,https://arc.aiaa.org/doi/10.2514/1.A34247
11542301,J Spacecr Rockets,Unknown,1997,10.2514/2.3242,https://arc.aiaa.org/doi/10.2514/2.3242
