PMID,Journal,publisher_guess,year,doi,doi_url
29238130,J Struct Eng (N Y N Y),Unknown,2017,10.1061/(ASCE)ST.1943-541X.0001934,https://ascelibrary.org/doi/10.1061/%28ASCE%29ST.1943-541X.0001934
27499707,Nat Hazards Rev,Unknown,2016,10.1061/(ASCE)NH.1527-6996.0000193,https://ascelibrary.org/doi/10.1061/%28ASCE%29NH.1527-6996.0000193
33408438,J Constr Eng Manag,Unknown,2020,10.1061/(asce)co.1943-7862.0001771,https://ascelibrary.org/doi/10.1061/%28ASCE%29CO.1943-7862.0001771
25419475,J Nanomech Micromech,Unknown,2013,10.1061/(ASCE)NM.2153-5477.0000069,https://ascelibrary.org/doi/10.1061/%28ASCE%29NM.2153-5477.0000069
25541627,Poromechanics V (2013),Unknown,2013,10.1061/9780784412992.256,https://ascelibrary.org/doi/10.1061/9780784412992.256
34497453,J Hydrol Eng,Unknown,2021,10.1061/(asce)he.1943-5584.0002097,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0002097
32801609,J Hydrol Eng,Unknown,2017,10.1061/(asce)he.1943-5584.0001196,https://ascelibrary.org/doi/10.1061/%28ASCE%29HE.1943-5584.0001196
38031565,J Transp Eng A Syst,Unknown,2023,10.1061/jtepbs.teeng-7312,https://ascelibrary.org/doi/10.1061/JTEPBS.TEENG-7312
32462106,J Transp Eng A Syst,Unknown,2020,10.1061/JTEPBS.0000314,https://ascelibrary.org/doi/10.1061/JTEPBS.0000314
32699585,J Pipeline Syst Eng Pract,Unknown,2017,10.1061/(ASCE)PS.1949-1204.0000268,https://ascelibrary.org/doi/10.1061/%28ASCE%29PS.1949-1204.0000268
34188357,J Waterw Port Coast Ocean Eng,Unknown,2018,10.1061/(ASCE)WW.1943-5460.0000472,https://ascelibrary.org/doi/10.1061/%28ASCE%29WW.1943-5460.0000472
38516304,J Environ Eng (New York),Unknown,2023,10.1061/joeedu.eeeng-7433,https://ascelibrary.org/doi/10.1061/JOEEDU.EEENG-7433
37941995,J Environ Eng (New York),Unknown,2023,10.1061/joeedu.eeeng-7218,https://ascelibrary.org/doi/10.1061/JOEEDU.EEENG-7218
30906108,J Urban Plan Dev,Unknown,2018,10.1061/(ASCE)UP.1943-5444.0000477,https://ascelibrary.org/doi/10.1061/%28ASCE%29UP.1943-5444.0000477
38250178,J Urban Plan Dev,Unknown,2017,10.1061/(asce)up.1943-5444.0000405,https://ascelibrary.org/doi/10.1061/%28ASCE%29UP.1943-5444.0000405
36970712,J Water Resour Plan Manag,Unknown,2023,10.1061/jwrmd5.wreng-5888,https://ascelibrary.org/doi/10.1061/JWRMD5.WRENG-5888
31501638,J Water Resour Plan Manag,Unknown,2019,10.1061/(ASCE)WR.1943-5452.0001005,https://ascelibrary.org/doi/10.1061/%28ASCE%29WR.1943-5452.0001005
37701075,J Sustain Water Built Environ,Unknown,2023,10.1061/jswbay.sweng-460,https://ascelibrary.org/doi/10.1061/JSWBAY.SWENG-460
30345369,J Sustain Water Built Environ,Unknown,2017,10.1061/JSWBAY.0000822,https://ascelibrary.org/doi/10.1061/JSWBAY.0000822
11537646,J Aerosp Eng,Unknown,1992,10.1061/(asce)0893-1321(1992)5:3(311),https://ascelibrary.org/doi/10.1061/%28ASCE%290893-1321%281992%295%3A3%28311%29
11543563,J Aerosp Eng,Unknown,1991,10.1061/(asce)0893-1321(1991)4:1(23),https://ascelibrary.org/doi/10.1061/%28ASCE%290893-1321%281991%294%3A1%2823%29
31583177,J Hazard Toxic Radioact Waste,Unknown,2019,10.1061/(ASCE)HZ.2153-5515.0000467,https://ascelibrary.org/doi/10.1061/%28ASCE%29HZ.2153-5515.0000467
29147066,J Eng Mech,Unknown,2012,10.1061/(ASCE)EM.1943-7889.0000430,https://ascelibrary.org/doi/10.1061/%28ASCE%29EM.1943-7889.0000430
34136639,ASCE ASME J Risk Uncertain Eng Syst A Civ Eng,Unknown,2017,10.1061/ajrua6.0000910,https://ascelibrary.org/doi/10.1061/AJRUA6.0000910
21852892,J Transp Eng,Unknown,2011,10.1061/(ASCE)TE.1943-5436.0000225,https://ascelibrary.org/doi/10.1061/%28ASCE%29TE.1943-5436.0000225
