PMID,Journal,publisher_guess,year,doi,doi_url
31260384,JOP,Unknown,2019,10.1200/JOP.18.00587,https://ascopubs.org/doi/10.1200/JOP.18.00587
31860377,J Glob Oncol,Unknown,2019,10.1200/JGO.19.00223,https://ascopubs.org/doi/10.1200/JGO.19.00223
31487216,J Glob Oncol,Unknown,2019,10.1200/JGO.18.00204,https://ascopubs.org/doi/10.1200/JGO.18.00204
31825757,J Oncol Pract,Unknown,2019,10.1200/JOP.19.00664,https://ascopubs.org/doi/10.1200/JOP.19.00664
31430216,J Oncol Pract,Unknown,2019,10.1200/JOP.19.00136,https://ascopubs.org/doi/10.1200/JOP.19.00136
38917405,JCO Oncol Pract,Unknown,2024,10.1200/OP.23.00641,https://ascopubs.org/doi/10.1200/OP.23.00641
38709984,JCO Oncol Pract,Unknown,2024,10.1200/OP.23.00482,https://ascopubs.org/doi/10.1200/OP.23.00482
38913968,Am Soc Clin Oncol Educ Book,Unknown,2024,10.1200/EDBK_433576,https://ascopubs.org/doi/10.1200/EDBK_433576
38781539,Am Soc Clin Oncol Educ Book,Unknown,2024,10.1200/EDBK_433138,https://ascopubs.org/doi/10.1200/EDBK_433138
38905581,JCO Glob Oncol,Unknown,2024,10.1200/GO-24-00251,https://ascopubs.org/doi/10.1200/GO-24-00251
38574302,JCO Glob Oncol,Unknown,2024,10.1200/GO.23.00416,https://ascopubs.org/doi/10.1200/GO.23.00416
38912728,JCO Precis Oncol,Unknown,2024,10.1200/PO-24-00383,https://ascopubs.org/doi/10.1200/PO-24-00383
38635932,JCO Precis Oncol,Unknown,2024,10.1200/PO.23.00603,https://ascopubs.org/doi/10.1200/PO.23.00603
38917384,JCO Clin Cancer Inform,Unknown,2024,10.1200/CCI.24.00027,https://ascopubs.org/doi/10.1200/CCI.24.00027
38713889,JCO Clin Cancer Inform,Unknown,2024,10.1200/CCI.24.00051,https://ascopubs.org/doi/10.1200/CCI.24.00051
