PMID,Journal,publisher_guess,year,doi,doi_url
26664338,J ASTM Int,Unknown,2006,10.1520/JAI12243,https://asmedigitalcollection.asme.org/journalastminternational/article/3/6/1/1178066/An-Evaluation-of-Aerosol-and-Liquid-Generated
34168374,Appl Mech Rev,Unknown,2021,10.1115/1.4050700,https://asmedigitalcollection.asme.org/appliedmechanicsreviews/article/73/3/030802/1106106/Evolution-of-the-Laser-Induced-Spallation
25516631,Appl Mech Rev,Unknown,2014,10.1115/1.4026912,https://asmedigitalcollection.asme.org/appliedmechanicsreviews/article/doi/10.1115/1.4026912/369879/Thermal-Pain-in-Teeth-Electrophysiology-Governed
38449742,J Appl Mech,Unknown,2024,10.1115/1.4063271,https://asmedigitalcollection.asme.org/appliedmechanics/article/91/2/021003/1166530/Improved-Ballistic-Impact-Resistance-of
34840347,J Appl Mech,Unknown,2021,10.1115/1.4051182,https://asmedigitalcollection.asme.org/appliedmechanics/article/88/10/101004/1109382/Multidimensional-Mechanics-of-Three-Dimensional
35832656,J Comput Nonlinear Dyn,Unknown,2021,10.1115/1.4052286,https://asmedigitalcollection.asme.org/computationalnonlinear/article/16/11/111005/1119227/Anomalous-Nonlinear-Dynamics-Behavior-of
24891847,J Comput Nonlinear Dyn,Unknown,2014,10.1115/1.4026493,https://asmedigitalcollection.asme.org/computationalnonlinear/article/doi/10.1115/1.4026493/371766/Model-Predictive-Control-of-Fractional-Order
38414811,J Comput Inf Sci Eng,Unknown,2024,10.1115/1.4064128,https://asmedigitalcollection.asme.org/computingengineering/article/24/7/071001/1170884/Layered-Security-Guidance-for-Data-Asset
28966561,J Comput Inf Sci Eng,Unknown,2017,10.1115/1.4037178,https://asmedigitalcollection.asme.org/computingengineering/article/doi/10.1115/1.4037178/371019/Toward-Knowledge-Management-for-Smart
27222634,J Electron Packag,Unknown,2016,10.1115/1.4032932,https://asmedigitalcollection.asme.org/electronicpackaging/article/doi/10.1115/1.4032932/372696/A-Study-on-Electrical-Reliability-Criterion-on
37325292,J Eng Gas Turbine Power,Unknown,2022,10.1115/1.4056047,https://asmedigitalcollection.asme.org/gasturbinespower/article/145/2/021024/1148399/Characterization-of-a-Lightly-Loaded-Underfloor
25805919,J Eng Gas Turbine Power,Unknown,2014,10.1115/1.4026429,https://asmedigitalcollection.asme.org/gasturbinespower/article/doi/10.1115/1.4026429/373636/Windage-Heating-in-a-Shrouded-RotorStator-System
