PMID,Journal,publisher_guess,year,doi,doi_url
38913580,Am J Respir Crit Care Med,Unknown,2024,10.1164/rccm.202405-1017ED,https://www.atsjournals.org/doi/10.1164/rccm.202405-1017ED
38820297,Am J Respir Crit Care Med,Unknown,2024,10.1164/rccm.202404-0789LE,https://www.atsjournals.org/doi/10.1164/rccm.202404-0789LE
38889348,Am J Respir Cell Mol Biol,Unknown,2024,10.1165/rcmb.2024-0237ED,https://www.atsjournals.org/doi/10.1165/rcmb.2024-0237ED
38109692,Am J Respir Cell Mol Biol,Unknown,2024,10.1165/rcmb.2023-0442ED,https://www.atsjournals.org/doi/10.1165/rcmb.2023-0442ED
38889346,Ann Am Thorac Soc,Unknown,2024,10.1513/AnnalsATS.202307-648OC,https://www.atsjournals.org/doi/10.1513/AnnalsATS.202307-648OC
38323911,Ann Am Thorac Soc,Unknown,2024,10.1513/AnnalsATS.202308-694OC,https://www.atsjournals.org/doi/10.1513/AnnalsATS.202308-694OC
23256176,Proc Am Thorac Soc,Unknown,2012,10.1513/pats.9.5.i,https://www.atsjournals.org/doi/abs/10.1513/pats.9.5.i
22802279,Proc Am Thorac Soc,Unknown,2012,10.1513/pats.201203-022AW,https://www.atsjournals.org/doi/abs/10.1513/pats.201203-022AW
8305081,Am Rev Respir Dis,Unknown,1993,10.1164/ajrccm/148.6_Pt_1.1697,https://www.atsjournals.org/doi/abs/10.1164/ajrccm/148.6_Pt_1.1697
8239187,Am Rev Respir Dis,Unknown,1993,10.1164/ajrccm/148.5.1427,https://www.atsjournals.org/doi/abs/10.1164/ajrccm/148.5.1427
