PMID,Journal,publisher_guess,year,doi,doi_url
26523291,J Hematol Thromb,Unknown,2015,10.13188/2380-6842.1000005,https://www.avensonline.org/fulltextarticles/jht-2380-6842-01-0005.html
34938859,J Cancer Sci,Unknown,2021,10.13188/2377-9292.1000024,https://www.avensonline.org/fulltextarticles/JCS-2377-9292-08-0024.html
26835512,J Cancer Sci,Unknown,2015,10.13188/2377-9292.1000009,https://www.avensonline.org/fulltextarticles/jcs-2377-9292-02-0009.html
38249156,J Clin Investig Dermatol,Unknown,2023,10.13188/2373-1044.1000086,https://www.avensonline.org/fulltextarticles/JCID-2373-1044-11-0086.html
27148560,J Clin Investig Dermatol,Unknown,2015,10.13188/2373-1044.1000019,https://www.avensonline.org/fulltextarticles/JCID-2373-1044-03-0019.html
24791251,J Metabolomics Syst Biol,Unknown,2013,10.13188/2329-1583.1000002,https://www.avensonline.org/fulltextarticles/JMSB-2329-1583-01-0002.html
27453897,J Addict Prev,Unknown,2015,10.13188/2330-2178.S100001,https://www.avensonline.org/fulltextarticles/JAP-2330-2178-S1-0001.html
37206541,J Neurol Psychol,Unknown,2023,10.13188/2332-3469.1000049,https://www.avensonline.org/fulltextarticles/JNP-2332-3469-10-0049.html
30465046,J Gene Ther,Unknown,2018,10.13188/2381-3326.1000007,https://www.avensonline.org/fulltextarticles/JGT-2381-3326-03-0007.html
25309946,J Orthop Rheumatol,Unknown,2013,10.13188/2334-2846.1000002,https://www.avensonline.org/fulltextarticles/JOR-2334-2846-01-0002.html
25844400,J Syndr,Unknown,2013,10.13188/2380-6036.1000001,https://www.avensonline.org/fulltextarticles/jsynd-2380-6036-01-0001.html
27642631,J Geriatr Palliat Care,Unknown,2016,10.13188/2373-1133.1000015,https://www.avensonline.org/fulltextarticles/JGPC-2373-1133-04-0015.html
30705969,J Parkinsons Dis Alzheimers Dis,Unknown,2018,10.13188/2376-922X.1000025,https://www.avensonline.org/fulltextarticles/JPA-2376-922X-05-0025.html
32190732,J Parkinsons Dis Alzheimers Dis,Unknown,2019,10.13188/2376-922x.1000028,https://www.avensonline.org/fulltextarticles/JPA-2376-922X-06-0028.html
36225716,J Oral Biol (Northborough),Unknown,2022,10.13188/2377-987X.1000063,https://www.avensonline.org/fulltextarticles/JOBY-2377-987X-08-0063.html
27390783,J Oral Biol (Northborough),Unknown,2016,10.13188/2377-987X.1000020,https://www.avensonline.org/fulltextarticles/joby-2377-987x-03-0020.html
35832748,J Pharm Pharmacol (Los Angel),Unknown,2022,10.13188/2327-204x.1000032,https://www.avensonline.org/fulltextarticles/JPP-2327-204X-09-0032.html
24812638,J Cytol Mol Biol,Unknown,2013,10.13188/2325-4653.1000001,https://www.avensonline.org/fulltextarticles/JCMB-2325-4653-01-0001.html
28066796,J Ocul Biol,Unknown,2016,10.13188/2334-2838.1000024,https://www.avensonline.org/fulltextarticles/JOCB-2334-2838-04-0024.html
24932460,J Ocul Biol,Unknown,2013,10.13188/2334-2838.1000002,https://www.avensonline.org/fulltextarticles/JOCB-2334-2838-01-0002.html
23936870,J Oncobiomarkers,Unknown,2013,10.13188/2325-2340.1000002,https://www.avensonline.org/fulltextarticles/JOB-2325-2340-01-0002.html
27175444,Int J Otorhinolaryngol,Unknown,2015,10.13188/2380-0569.1000008,https://www.avensonline.org/fulltextarticles/jot-2380-0569-02-0008.html
27819069,J Anal Mol Tech,Unknown,2015,10.13188/2474-1914.1000004,https://www.avensonline.org/fulltextarticles/jamt-2474-1914-02-0004.html
30931350,J Cardiobiol,Unknown,2017,10.13188/2332-3671.1000020,https://www.avensonline.org/fulltextarticles/JCB-2332-3671-05-0020.html
27468428,J Environ Stud (Northborough),Unknown,2015,10.13188/2471-4879.1000001,https://www.avensonline.org/fulltextarticles/jes-2471-4879-01-0001.html
