PMID,Journal,publisher_guess,year,doi,doi_url
24563682,Open Med Imaging J,Unknown,2013,10.2174/1874347101307010019,https://benthamopen.com/ABSTRACT/TOMIJ-7-19
24976874,Open Inf Syst J,Unknown,2013,10.2174/1874133920131121001,https://benthamopen.com/ABSTRACT/TOISJ-6-1
25580166,Open Cell Dev Biol J,Unknown,2011,10.2174/1874085501103010001,https://benthamopen.com/ABSTRACT/TOCBJ-3-1
23400734,Curr Chem Genomics,Unknown,2012,10.2174/1875397301206010093,https://benthamopen.com/ABSTRACT/CCGTM-6-93
20161840,Curr Chem Genomics,Unknown,2008,10.2174/1875397300802010016,https://benthamopen.com/ABSTRACT/CCGTM-2-16
28018493,Open Neuroendocrinol J,Unknown,2012,10.2174/1876528901205010001,https://benthamopen.com/ABSTRACT/TONEUROEJ-5-1
20396406,Open Neuroendocrinol J,Unknown,2009,10.2174/1876528900902010020,https://benthamopen.com/ABSTRACT/TONEUROEJ-2-20
19212451,Open Clin Cancer J,Unknown,2008,10.2174/1874189400802010032,https://benthamopen.com/ABSTRACT/TOCCJ-2-32
23316260,Open Immunol J,Unknown,2012,10.2174/1874226201205010046,https://benthamopen.com/ABSTRACT/TOIJ-5-46
22162983,Open Immunol J,Unknown,2011,10.2174/1874226201104010022,https://benthamopen.com/ABSTRACT/TOIJ-4-22
21769306,Open Virol J,Unknown,2011,10.2174/1874357901105010070,https://benthamopen.com/ABSTRACT/TOVJ-5-70
19011697,Open Magn Reson Rev,Unknown,2008,10.2174/1874769800801010060,https://benthamopen.com/ABSTRACT/TOMRJ-1-60
25346780,Open Proteomics J,Unknown,2013,10.2174/1875039701306010001,https://benthamopen.com/ABSTRACT/TOPROTJ-6-1
20428468,Open Proteomics J,Unknown,2008,10.2174/1875039700801010106,https://benthamopen.com/ABSTRACT/TOPROTJ-1-106
18978959,Open Sleep J,Unknown,2008,10.2174/1874620900801010011,https://benthamopen.com/ABSTRACT/TOSLPJ-1-11
23439988,J Epithel Biol Pharmacol,Unknown,2012,10.2174/1875044301205010001,https://benthamopen.com/ABSTRACT/JEBP-5-1
20559454,J Epithel Biol Pharmacol,Unknown,2010,10.2174/1875044301003010034,https://benthamopen.com/ABSTRACT/JEBP-3-34
19337565,Open Inorg Chem J,Unknown,2008,10.2174/1874098700802010022,https://benthamopen.com/ABSTRACT/TOICJ-2-22
25663952,Open Rehabil J,Unknown,2014,10.2174/1874943701407010001,https://benthamopen.com/ABSTRACT/TOREHJ-7-1
24273626,Open Genomics J,Unknown,2012,10.2174/1875693X01205010018,https://benthamopen.com/ABSTRACT/TOGENJ-5-18
20502619,Open Genomics J,Unknown,2009,10.2174/1875693X00902010015,https://benthamopen.com/ABSTRACT/TOGENJ-2-15
20676226,Open Transl Med J,Unknown,2009,10.2174/1876399500901010016,https://benthamopen.com/ABSTRACT/TOTRANSMJ-1-16
24790680,Open Cancer J,Unknown,2011,10.2174/1874079001104010001,https://benthamopen.com/ABSTRACT/TOCJ-4-1
20664806,Open Cancer J,Unknown,2008,10.2174/1874079000802010001,https://benthamopen.com/ABSTRACT/TOCJ-2-1
23565132,Open Longev Sci,Unknown,2012,10.2174/1876326X01206010064,https://benthamopen.com/ABSTRACT/TOLSJ-6-64
22081777,Open Prost Cancer J,Unknown,2009,10.2174/1876822900902010059,https://benthamopen.com/ABSTRACT/TOPCANJ-2-59
22318973,Open Allergy J,Unknown,2011,10.2174/1874838401104010016,https://benthamopen.com/ABSTRACT/TOALLJ-4-16
20717503,Open Geriatr Med J,Unknown,2010,10.2174/1874827901003010001,https://benthamopen.com/ABSTRACT/TOGERIMJ-3-1
24465289,Open Pediatr Med Journal,Unknown,2013,10.2174/1874309920130621002,https://benthamopen.com/ABSTRACT/TOPEDJ-7-40
22180764,Open Enzym Inhib J,Unknown,2010,10.2174/1874940201003010008,https://benthamopen.com/ABSTRACT/TOEIJ-3-8
20664805,Open Enzym Inhib J,Unknown,2009,10.2174/1874940200902010012,https://benthamopen.com/ABSTRACT/TOEIJ-2-12
20640171,Open Glycosci,Unknown,2008,10.2174/1875398100801010031,https://benthamopen.com/ABSTRACT/TOGLYJ-1-31
24932317,Open Transplant J,Unknown,2011,10.2174/1874418401105010015,https://benthamopen.com/ABSTRACT/TOTRANSJ-5-15
30069430,Curr Chem Genom Transl Med,Unknown,2018,10.2174/2213988501812010009,https://benthamopen.com/FULLTEXT/CCGTM-12-9
24396729,Curr Chem Genom Transl Med,Unknown,2013,10.2174/2213988501307010001,https://benthamopen.com/ABSTRACT/CCGTM-7-1
