PMID,Journal,publisher_guess,year,doi,doi_url
30220786,J Raptor Res,Unknown,2017,10.3356/JRR-16-77.1,https://bioone.org/journals/journal-of-raptor-research/volume-51/issue-3/JRR-16-77.1/Spatial-Demographic-Models-to-Inform-Conservation-Planning-of-Golden-Eagles/10.3356/JRR-16-77.1.full
25580093,Comp Parasitol,Unknown,2014,10.1654/4665.1,https://bioone.org/journals/comparative-parasitology/volume-81/issue-2/4665.1/A-New-Species-of-Eimeria-Apicomplexa--Eimeriidae-from-the/10.1654/4665.1.short
27917072,Comp Parasitol,Unknown,2015,10.1654/4699.1,https://bioone.org/journals/comparative-parasitology/volume-82/issue-1/4699.1/A-New-Host-for-Caryospora-lampropeltis-Apicomplexa--Eimeriidae-from/10.1654/4699.1.short
27158247,Tree Ring Res,Unknown,2016,10.3959/1536-1098-72.01.23,https://bioone.org/journals/tree-ring-research/volume-72/issue-1/1536-1098-72.01.23/X-ray-Densitometry-of-Norway-Spruce-Subfossil-Wood-From-the/10.3959/1536-1098-72.01.23.short
20027236,Pan-Pac Entomol,Unknown,2008,10.3956/2007-38.1,https://bioone.org/journals/the-pan-pacific-entomologist/volume-84/issue-2/2007-38.1/Larval-keys-to-the-genera-of-Ixodidae-Acari-and-species/10.3956/2007-38.1.short
28649148,Copeia,Unknown,2017,10.1643/CG-16-501,https://bioone.org/journals/copeia/volume-105/issue-2/CG-16-501/Origins-and-Genetic-Diversity-of-Introduced-Populations-of-the-Puerto/10.1643/CG-16-501.short
31031419,Ann Mo Bot Gard,Unknown,2015,10.3417/2014033,https://bioone.org/journals/annals-of-the-missouri-botanical-garden/volume-100/issue-4/2014033/Assessing-the-Fossil-Record-of-Asterids-in-the-Context-of/10.3417/2014033.short
38287979,J Shellfish Res,Unknown,2022,10.2983/035.041.0206,https://bioone.org/journals/journal-of-shellfish-research/volume-41/issue-2/035.041.0206/Simulation-Modeling-of-a-High-Throughput-Oyster-Cryopreservation-Pathway/10.2983/035.041.0206.short
19865596,Am Malacol Bull,Unknown,2008,10.4003/006.026.0203,https://bioone.org/journals/american-malacological-bulletin/volume-26/issue-1_2f_2/006.026.0203/Rho-Signaling-Mediates-Cytoskeletal-Re-arrangements-in-Octopus-Photoreceptors/10.4003/006.026.0203.short
38875213,J Zoo Wildl Med,Unknown,2024,10.1638/2023-0067,https://bioone.org/journals/journal-of-zoo-and-wildlife-medicine/volume-55/issue-2/2023-0067/SCHIZANGIELLA-INFECTIONS-IN-AN-EASTERN-RATSNAKE-PANTHEROPHIS-ALLEGHANIENSIS-AND-A/10.1638/2023-0067.short
37817627,J Zoo Wildl Med,Unknown,2023,10.1638/2023-0005,https://bioone.org/journals/journal-of-zoo-and-wildlife-medicine/volume-54/issue-3/2023-0005/RENAL-PATHOLOGY-IN-CAPTIVE-ADULT-ALAOTRAN-GENTLE-LEMURS-HAPALEMUR-ALAOTRENSIS/10.1638/2023-0005.short
