PMID,Journal,publisher_guess,year,doi,doi_url
28758136,Arch Neurosci,Unknown,2017,10.5812/archneurosci.44254,https://brieflands.com/articles/ans-14612.html
26835472,Arch Neurosci,Unknown,2015,10.5812/archneurosci.25364,https://brieflands.com/articles/ans-20584.html
27843473,Iran J Psychiatry Behav Sci,Unknown,2016,10.17795/ijpbs-2778,https://brieflands.com/articles/ijpbs-2778.html
27803723,Iran J Psychiatry Behav Sci,Unknown,2016,10.17795/ijpbs-4500,https://brieflands.com/articles/ijpbs-4500.html
27822344,Iran J Cancer Prev,Unknown,2016,10.17795/ijcp-5810,https://brieflands.com/articles/ijcm-5810.html
27413513,Iran J Cancer Prev,Unknown,2016,10.17795/ijcp-3972,https://brieflands.com/articles/ijcm-3972.html
29805963,Int J High Risk Behav Addict,Unknown,2018,10.5812/ijhrba.67601,https://brieflands.com/articles/ijhrba-67601.html
25593890,Int J High Risk Behav Addict,Unknown,2014,10.5812/ijhrba.11358,https://brieflands.com/articles/ijhrba-19598.html
28138380,Jundishapur J Microbiol,Unknown,2016,10.5812/jjm.41798,https://brieflands.com/articles/jjm-56740.html
27303614,Jundishapur J Microbiol,Unknown,2016,10.5812/jjm.30708,https://brieflands.com/articles/jjm-56633.html
38694238,Int J Endocrinol Metab,Unknown,2023,10.5812/ijem-135866,https://brieflands.com/articles/ijem-135866
36060451,Int J Endocrinol Metab,Unknown,2022,10.5812/ijem-120867,https://brieflands.com/articles/ijem-120867.html
38655235,Iran J Pharm Res,Unknown,2023,10.5812/ijpr-140447,https://brieflands.com/articles/ijpr-140447
38116555,Iran J Pharm Res,Unknown,2023,10.5812/ijpr-134772,https://brieflands.com/articles/ijpr-134772.html
38827388,Anesth Pain Med,Unknown,2023,10.5812/aapm-144495,https://brieflands.com/articles/aapm-144495
38024006,Anesth Pain Med,Unknown,2023,10.5812/aapm-136360,https://brieflands.com/articles/aapm-136360.html
25866726,Jundishapur J Nat Pharm Prod,Unknown,2015,10.17795/jjnpp-23919,https://brieflands.com/articles/jjnpp-18412.html
24644438,Jundishapur J Nat Pharm Prod,Unknown,2014,10.17795/jjnpp-12530,https://brieflands.com/articles/jjnpp-18335.html
27895882,Iran J Radiol,Unknown,2016,10.5812/iranjradiol.41066,https://brieflands.com/articles/ijradiology-18129
27853499,Iran J Radiol,Unknown,2016,10.5812/iranjradiol.34985,https://brieflands.com/articles/ijradiology-56246
27933279,Nephrourol Mon,Unknown,2016,10.5812/numonthly.41505,https://brieflands.com/articles/num-17276.html
27713869,Nephrourol Mon,Unknown,2016,10.5812/numonthly.38052,https://brieflands.com/articles/num-17258.html
28144416,Asian J Sports Med,Unknown,2016,10.5812/asjsm.41301,https://brieflands.com/articles/asjsm-61685.html
26448853,Asian J Sports Med,Unknown,2015,10.5812/asjsm.24621,https://brieflands.com/articles/asjsm-21619.html
28203340,Iran J Pediatr,Unknown,2016,10.5812/ijp.8191,https://brieflands.com/articles/ijp-8191.html
27307967,Iran J Pediatr,Unknown,2016,10.5812/ijp.3898,https://brieflands.com/articles/ijp-3898.html
29888762,Gene Cell Tissue,Unknown,2016,10.17795/gct-35961,https://brieflands.com/articles/gct-14838.html
32266317,Arch Clin Infect Dis,Unknown,2019,10.5812/archcid.96531,https://brieflands.com/articles/archcid-96531.html
29354800,Int J Cancer Manag,Unknown,2017,10.5812/ijcm.9430,https://brieflands.com/articles/ijcm-9430.html
30467514,Hepat Mon,Unknown,2018,10.5812/hepatmon.82345,https://brieflands.com/articles/hepatmon-82345.html
27257427,Hepat Mon,Unknown,2016,10.5812/hepatmon.35357,https://brieflands.com/articles/hepatmon-15616.html
