PMID,Journal,publisher_guess,year,doi,doi_url
22590771,Z Relig Geistesgesch,Unknown,1999,10.1163/157007399x00045,https://brill.com/view/journals/zrgg/51/1/article-p30_4.xml
11633243,Southeast Eur,Unknown,1980,10.1163/187633380x00128,https://brill.com/view/journals/seeu/7/1/article-p147_12.xml
11618220,Toung Pao,Unknown,1987,10.1163/156853287x00032,https://brill.com/view/journals/tpao/73/4/article-p217_3.xml
11633264,Sov Union,Unknown,1981,10.1163/187633281x00128,https://brill.com/view/journals/spsr/8/1/article-p147_12.xml
11633263,Sov Union,Unknown,1975,10.1163/187633275x00099,https://brill.com/view/journals/spsr/2/1/article-p117_9.xml
19642255,Quaerendo,Unknown,2009,10.1163/157006909x439377,https://brill.com/view/journals/qua/39/2/article-p168_3.xml
11617990,Quaerendo,Unknown,1976,10.1163/157006976x00135,https://brill.com/view/journals/qua/6/1/article-p16_3.xml
38593416,Folia Primatol (Basel),Unknown,2023,10.1163/14219980-bja10012,https://brill.com/view/journals/ijfp/94/4-6/article-p207_2.xml
32294644,Folia Primatol (Basel),Unknown,2020,10.1159/000506768,https://brill.com/view/journals/ijfp/91/5/article-p512_7.xml
11664121,Rev Social Law,Unknown,1975,10.1163/187529875x00189,https://brill.com/view/journals/rsl/1/1/article-p253_18.xml
24605044,Insect Syst Evol,Unknown,2012,10.1163/187631212X649541,https://brill.com/view/journals/ise/43/2/article-p117_2.xml
18084637,Insect Syst Evol,Unknown,2006,10.1163/187631206788831083,https://brill.com/view/journals/ise/37/2/article-p197_5.xml
26966344,Res Soc Sci Study Relig,Unknown,2013,10.1163/9789004252073_012,https://brill.com/display/book/9789004252073/B9789004252073_012.xml
37065684,Timing Time Percept,Unknown,2023,10.1163/22134468-bja10052,https://brill.com/view/journals/time/11/1-4/article-p242_010.xml
27867839,Timing Time Percept,Unknown,2016,10.1163/22134468-00002059,https://brill.com/view/journals/time/4/2/article-p147_2.xml
21038745,Nan Nu,Unknown,2002,10.1163/156852602100402314,https://brill.com/view/journals/nanu/4/1/article-p1_1.xml
19484899,Nan Nu,Unknown,2001,10.1163/156852601750123008,https://brill.com/view/journals/nanu/3/1/article-p77_5.xml
38350484,Benef Microbes,Unknown,2023,10.1163/18762891-20230046,https://brill.com/view/journals/bm/14/6/article-p609_5.xml
29081728,Asian Med (Leiden),Unknown,2016,10.1163/15734218-12341377,https://brill.com/view/journals/asme/11/1-2/article-p21_2.xml
12338861,Explor Renaiss Cult,Unknown,1976,10.1163/23526963-90000017,https://brill.com/view/journals/erc/3/1/article-p21_3.xml
12222473,Ingu munje nonjip,Unknown,1986,10.1163/080382474x00121,https://brill.com/view/journals/ajss/2/1/article-p105_12.xml
11542513,Prim Sens Neuron,Unknown,1998,10.1163/092996398750132151,https://brill.com/view/journals/psn/2/4/article-p253_4.xml
18268833,Can Am Slav Stud,Unknown,2001,10.1163/221023901x00370,https://brill.com/view/journals/css/35/3/article-p245_1.xml
11631936,East Cent Eur,Unknown,1978,10.1163/187633078x00034,https://brill.com/view/journals/eceu/5/1/article-p69_3.xml
23833329,J Relig Afr,Unknown,2009,10.1163/157006609X461456,https://brill.com/view/journals/jra/39/3/article-p319_5.xml
36176722,Behaviour,Unknown,2021,10.1163/1568539x-bja10109,https://brill.com/view/journals/beh/158/11/article-p1007_4.xml
4781222,Behaviour,Unknown,1973,10.1163/156853974x00570,https://brill.com/view/journals/beh/45/1-2/article-p12_2.xml
29781591,Early Sci Med,Unknown,2017,10.1163/15733823-00221p05,https://brill.com/view/journals/esm/22/1/article-p103_5.xml
26856050,Early Sci Med,Unknown,2015,10.1163/15733823-02046p10,https://brill.com/view/journals/esm/20/4-6/article-p536_10.xml
20506898,Nuncius,Unknown,2009,10.1163/182539109x00660,https://brill.com
38670540,Rev Synth,Unknown,2024,10.1163/19552343-14234055,https://brill.com/view/journals/rds/145/1-2/article-p1_1.xml
25311892,Rev Synth,Unknown,2014,10.1007/s11873-014-0252-4,https://brill.com/view/journals/rds/135/2-3/article-p203_4.xml
22984299,Phronesis,Unknown,2012,10.1163/156852812X629005,https://brill.com/view/journals/phro/57/2/article-p164_3.xml
12735432,Front Med Biol Eng,Unknown,2002,10.1163/156855701321138978,https://brill.com/view/journals/fmbe/11/4/article-p335.xml
11014678,Front Med Biol Eng,Unknown,2000,10.1163/15685570052062567,https://brill.com/view/journals/fmbe/10/3/article-p167.xml
19891853,Spat Vis,Unknown,2009,10.1163/156856809789822952,https://brill.com/view/journals/sv/22/6/article-p555_5.xml
19017478,Spat Vis,Unknown,2008,10.1163/156856808786451435,https://brill.com/view/journals/sv/21/6/article-p489_1.xml
12317142,Southeast Asian J Soc Sci,Unknown,1990,10.1163/080382490x00187,https://brill.com/view/journals/ajss/18/1/article-p85_10.xml
33488276,Nematology,Unknown,2019,10.1163/15685411-00003291,https://brill.com/view/journals/nemy/22/1/article-p1_1.xml
32704234,Nematology,Unknown,2017,10.1163/15685411-00003084,https://brill.com/view/journals/nemy/19/7/article-p751_1.xml
35440836,Amphib Reptil,Unknown,2022,10.1163/15685381-bja10081,https://brill.com/view/journals/amre/43/1/article-p1_2.xml
25104868,Amphib Reptil,Unknown,2014,10.1163/15685381-00002940,https://brill.com/view/journals/amre/35/2/article-p243_9.xml
21038708,Nieuwe West Indische Gids,Unknown,2002,10.1163/13822373-90002535,https://brill.com/view/journals/nwig/76/3-4/article-p211_2.xml
23193607,Seeing Perceiving,Unknown,2012,10.1163/18784763-00002391,https://brill.com/view/journals/sp/25/5/article-p493_7.xml
21864453,Seeing Perceiving,Unknown,2011,10.1163/187847511X568180,https://brill.com/view/journals/sp/24/2/article-p91_1.xml
24058323,J Cogn Cult,Unknown,2012,10.1163/15685373-12342076,https://brill.com/view/journals/jocc/12/3-4/article-p265_6.xml
34108848,Isr J Ecol Evol,Unknown,2020,10.1163/22244662-20191062,https://brill.com/view/journals/ijee/66/1-2/article-p26_26.xml
23741205,Isr J Ecol Evol,Unknown,2010,10.1560/IJEE.55.3-4.371,https://brill.com/view/journals/ijee/56/3-4/article-p371_10.xml
38623184,J Moral Philos,Unknown,2023,10.1163/17455243-20233725,https://brill.com/view/journals/jmp/21/1-2/article-p85_004.xml
38889901,Multisens Res,Unknown,2024,10.1163/22134808-bja10126,https://brill.com/view/journals/msr/aop/article-10.1163-22134808-bja10126/article-10.1163-22134808-bja10126.xml
33706261,Multisens Res,Unknown,2020,10.1163/22134808-bja10005,https://brill.com/view/journals/msr/33/6/article-p693_6.xml
33123681,J Appl Hist,Unknown,2020,10.1163/25895893-00101003,https://brill.com/view/journals/joah/1/1-2/article-p53_5.xml
28090197,Anim Biol Leiden Neth,Unknown,2016,10.1163/15707563-00002495,https://brill.com/view/journals/ab/66/2/article-p173_5.xml
19890448,Asian Med (Leiden),Unknown,2009,10.1163/157342109X423793,https://brill.com/view/journals/asme/4/1/article-p201_8.xml
20209047,Terr Arthropod Rev,Unknown,2009,10.1163/187498308X414742,https://brill.com/view/journals/tar/1/2/article-p125_3.xml
19946379,Sens Neur,Unknown,2001,10.1163/156856501750387256,https://brill.com
21984878,Eur J East Asian Stud,Unknown,2009,10.1163/156805809X439895,https://brill.com/view/journals/ejea/8/1/article-p61_4.xml
20029999,Eur J East Asian Stud,Unknown,2001,10.1163/157006102775123049,https://brill.com/view/journals/ejea/1/1/article-p103_8.xml
20229663,Russ Hist (Pittsburgh),Unknown,2001,10.1163/187633101x00118,https://brill.com/view/journals/ruhi/28/1-4/article-p171_11.xml
