PMID,Journal,publisher_guess,year,doi,doi_url
38174597,Longit Life Course Stud,Unknown,2023,10.1332/175795921X16822409446639,https://bristoluniversitypressdigital.com/view/journals/llcs/15/1/article-p109.xml
35900894,Longit Life Course Stud,Unknown,2022,10.1332/175795921X16424353247247,https://bristoluniversitypressdigital.com/view/journals/llcs/13/4/article-p647.xml
12285390,Policy Polit,Unknown,1991,10.1332/030557391782454269,https://bristoluniversitypressdigital.com/view/journals/pp/19/3/article-p199.xml
25960869,Fam Relatsh Soc,Unknown,2014,10.1332/204674314X14110461422823,https://bristoluniversitypressdigital.com/view/journals/frs/3/3/article-p481.xml
24382984,J Poverty Soc Justice,Unknown,2013,10.1332/175982713x664029,https://bristoluniversitypressdigital.com/view/journals/jpsj/21/1/article-p5.xml
38911233,Evid Policy,Unknown,2024,10.1332/17442648y2023d000000016,https://bristoluniversitypressdigital.com/view/journals/evp/20/1/article-p15.xml
21258626,Evid Policy,Unknown,2009,10.1332/174426409X463811,https://bristoluniversitypressdigital.com/view/journals/evp/5/3/article-p267.xml
37849529,Crit Radic Soc Work,Unknown,2023,10.1332/204986022X16703011487757,https://bristoluniversitypressdigital.com/view/journals/crsw/11/3/article-p360.xml
38706535,Int J Care Caring,Unknown,2024,10.1332/239788221X16819328227036,https://bristoluniversitypressdigital.com/view/journals/ijcc/8/2/article-p246.xml
28825046,Int J Care Caring,Unknown,2017,10.1332/239788217X14866284542346,https://bristoluniversitypressdigital.com/view/journals/ijcc/1/1/article-p45.xml
