PMID,Journal,publisher_guess,year,doi,doi_url
25082999,Mouv Soc,Unknown,2014,10.3917/lms.247.0065,https://www.cairn.info/revue-le-mouvement-social1-2014-2-page-65.htm?ref=doi
11632753,Presence Afr,Unknown,1978,10.3917/presa.108.0038,https://www.cairn.info/revue-presence-africaine-1978-4-page-38.htm?ref=doi
11635552,Presence Afr,Unknown,1976,10.3917/presa.097.0138,https://www.cairn.info/revue-presence-africaine-1976-1-page-138.htm?ref=doi
12238513,Trav Hum,Unknown,2001,10.3917/th.643.0247,https://www.cairn.info/revue-le-travail-humain-2001-3-page-247.htm
37709665,Rech Soins Infirm,Unknown,2023,10.3917/rsi.153.0040,https://www.cairn.info/revue-recherche-en-soins-infirmiers-2023-2-page-40.htm?ref=doi
35795871,Ann Demogr Hist (Paris),Unknown,2019,10.3917/adh.138.0143,https://www.cairn.info/revue-annales-de-demographie-historique-2019-2-page-143.htm?ref=doi
38834529,Sante Publique,Unknown,2024,10.3917/spub.242.0091,https://www.cairn.info/revue-sante-publique-2024-2-page-91.htm?ref=doi
34538877,Enfance,Unknown,2021,10.4074/S0013754517003056,https://www.cairn.info/revue-enfance2-2017-3-page-349.htm
25221431,Psychotr (Paris),Unknown,2003,10.3917/psyt.093.0203,https://www.cairn.info/revue-psychotropes-2003-3-page-203.htm
27867453,Prat Organ Soins,Unknown,2009,10.3917/pos.402.0125,https://www.cairn.info/revue-pratiques-et-organisation-des-soins-2009-2-page-125.htm?ref=doi
28804226,Rev Econ Financ,Unknown,2016,10.3917/ecofi.122.0083,https://www.cairn.info/revue-d-economie-financiere-2016-2-page-83.htm?ref=doi
25937640,Annee Psychol,Unknown,2014,10.4074/S0003503314004072,https://www.cairn.info/revue-l-annee-psychologique1-2014-4-page-753.htm
38423971,J Int Bioethique Ethique Sci,Unknown,2024,10.3917/jibes.343.0011,https://www.cairn.info/revue-journal-international-de-bioethique-et-d-ethique-des-sciences-2023-3-page-11.htm?ref=doi
