PMID,Journal,publisher_guess,year,doi,doi_url
27867447,J Educ Develop Psychol,Unknown,2016,10.5539/jedp.v6n1p140,https://www.ccsenet.org/journal/index.php/jedp/article/view/54383
25247027,J Educ Develop Psychol,Unknown,2014,10.5539/jedp.v4n1p163,https://www.ccsenet.org/journal/index.php/jedp/article/view/35057
33312318,J Food Res,Unknown,2019,10.5539/jfr.v8n5p59,https://www.ccsenet.org/journal/index.php/jfr/article/view/0/40413
25250101,J Politics Law,Unknown,2013,10.5539/jpl.v6n3p1,https://www.ccsenet.org/journal/index.php/jpl/article/view/29972
23814630,Asian Soc Sci,Unknown,2012,10.5539/ass.v8n13p29,https://www.ccsenet.org/journal/index.php/ass/article/view/21484
28603578,Cancer Clin Oncol,Unknown,2017,10.5539/cco.v6n1p12,https://www.ccsenet.org/journal/index.php/cco/article/view/64320
24058390,Cancer Clin Oncol,Unknown,2012,10.5539/cco.v1n1p21,https://www.ccsenet.org/journal/index.php/cco/article/view/15040
38235348,Glob J Health Sci,Unknown,2024,10.5539/gjhs.v16n2p31,https://ccsenet.org/journal/index.php/gjhs/article/view/0/49693
37163144,Glob J Health Sci,Unknown,2021,10.5539/gjhs.v13n6p69,https://www.ccsenet.org/journal/index.php/gjhs/article/view/0/45240
38318241,Int J Stat Probab,Unknown,2023,10.5539/ijsp.v12n6p66,https://ccsenet.org/journal/index.php/ijsp/article/view/0/49794
37799376,Int J Psychol Stud,Unknown,2022,10.5539/ijps.v14n4p1,https://ccsenet.org/journal/index.php/ijps/article/view/0/47873
26052372,Int J Psychol Stud,Unknown,2014,10.5539/ijps.v6n4p12,https://www.ccsenet.org/journal/index.php/ijps/article/view/38473
26435762,Int J Engl Linguist,Unknown,2013,10.5539/ijel.v3n2p1,https://www.ccsenet.org/journal/index.php/ijel/article/view/23793
26478760,Environ Pollut (Tor),Unknown,2014,10.5539/ep.v3n4p79,https://www.ccsenet.org/journal/index.php/ep/article/view/38291
29201262,Int J Biol,Unknown,2016,10.5539/ijb.v8n3p10,https://www.ccsenet.org/journal/index.php/ijb/article/view/59331
29152022,J Mol Biol Res,Unknown,2017,10.5539/jmbr.v7n1p50,https://www.ccsenet.org/journal/index.php/jmbr/article/view/66593
27594931,J Sustain Dev,Unknown,2014,10.5539/jsd.v7n2p173,https://www.ccsenet.org/journal/index.php/jsd/article/view/31886
29187915,Rev Eur Stud,Unknown,2016,10.5539/res.v8n2p1,https://www.ccsenet.org/journal/index.php/res/article/view/58057
34484494,Int J Chem,Unknown,2021,10.5539/ijc.v13n2p17,https://www.ccsenet.org/journal/index.php/ijc/article/view/0/45546
