PMID,Journal,publisher_guess,year,doi,doi_url
38742652,Genome,Unknown,2024,10.1139/gen-2023-0096,https://cdnsciencepub.com/doi/10.1139/gen-2023-0096
38579337,Genome,Unknown,2024,10.1139/gen-2023-0115,https://cdnsciencepub.com/doi/10.1139/gen-2023-0115
38905704,Can J Microbiol,Unknown,2024,10.1139/cjm-2024-0017,https://cdnsciencepub.com/doi/10.1139/cjm-2024-0017
38901043,Can J Physiol Pharmacol,Unknown,2024,10.1139/cjpp-2024-0061,https://cdnsciencepub.com/doi/10.1139/cjpp-2024-0061
37976472,Can J Physiol Pharmacol,Unknown,2024,10.1139/cjpp-2023-0171,https://cdnsciencepub.com/doi/10.1139/cjpp-2023-0171
35185156,Can J Zool,Unknown,2022,10.1139/cjz-2021-0134,https://cdnsciencepub.com/doi/10.1139/cjz-2021-0134
37942173,Can J Fish Aquat Sci,Unknown,2023,10.1139/cjfas-2022-0127,https://cdnsciencepub.com/doi/10.1139/cjfas-2022-0127
35619733,Can J Fish Aquat Sci,Unknown,2021,10.1139/cjfas-2020-0224,https://cdnsciencepub.com/doi/10.1139/cjfas-2020-0224
38843556,Biochem Cell Biol,Unknown,2024,10.1139/bcb-2024-0034,https://cdnsciencepub.com/doi/10.1139/bcb-2024-0034
36318825,Biochem Cell Biol,Unknown,2023,10.1139/bcb-2022-0205,https://cdnsciencepub.com/doi/10.1139/bcb-2022-0205
38885533,Appl Physiol Nutr Metab,Unknown,2024,10.1139/apnm-2024-0100,https://cdnsciencepub.com/doi/10.1139/apnm-2024-0100
38052023,Appl Physiol Nutr Metab,Unknown,2024,10.1139/apnm-2023-0326,https://cdnsciencepub.com/doi/10.1139/apnm-2023-0326
38550267,Can J Chem,Unknown,2023,10.1139/cjc-2023-0033,https://cdnsciencepub.com/doi/10.1139/cjc-2023-0033
