PMID,Journal,publisher_guess,year,doi,doi_url
38857970,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,Unknown,2024,10.16250/j.32.1374.2024028,https://www.chndoi.org/Resolution/Handler?doi=10.16250/j.32.1374.2024028
38857957,Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,Unknown,2024,10.16250/j.32.1374.2023195,https://www.chndoi.org/Resolution/Handler?doi=10.16250/j.32.1374.2023195
38897811,Zhen Ci Yan Jiu,Unknown,2024,10.13702/j.1000-0607.20221418,https://www.chndoi.org/Resolution/Handler?doi=10.13702/j.1000-0607.20221418
38146246,Zhen Ci Yan Jiu,Unknown,2023,10.13702/j.1000-0607.20221056,https://www.chndoi.org/Resolution/Handler?doi=10.13702/j.1000-0607.20221056
27469257,Dongwuxue Yanjiu,Unknown,2016,10.13918/j.issn.2095-8137.2016.4.252,https://www.chndoi.org/Resolution/Handler?doi=10.13918/j.issn.2095-8137.2016.4.252
38812240,Zhongguo Zhong Yao Za Zhi,Unknown,2024,10.19540/j.cnki.cjcmm.20240118.104,https://www.chndoi.org/Resolution/Handler?doi=10.19540/j.cnki.cjcmm.20240118.104
38812199,Zhongguo Zhong Yao Za Zhi,Unknown,2024,10.19540/j.cnki.cjcmm.20231211.201,https://www.chndoi.org/Resolution/Handler?doi=10.19540/j.cnki.cjcmm.20231211.201
27642241,Zhongguo Sheng Wu Hua Xue Yu Fen Zi Sheng Wu Xue Bao,Unknown,2015,10.13865/j.cnki.cjbmb.2015.12.05,https://www.chndoi.org/Resolution/Handler?doi=10.13865/j.cnki.cjbmb.2015.12.05
38886443,Ying Yong Sheng Tai Xue Bao,Unknown,2024,10.13287/j.1001-9332.202405.029,https://www.chndoi.org/Resolution/Handler?doi=10.13287/j.1001-9332.202405.029
38646771,Ying Yong Sheng Tai Xue Bao,Unknown,2024,10.13287/j.1001-9332.202403.008,https://www.chndoi.org/Resolution/Handler?doi=10.13287/j.1001-9332.202403.008
38867638,Zhongguo Zhen Jiu,Unknown,2024,10.13703/j.0255-2930.20230828-k0005,https://www.chndoi.org/Resolution/Handler?doi=10.13703/j.0255-2930.20230828-k0005
38764112,Zhongguo Zhen Jiu,Unknown,2024,10.13703/j.0255-2930.20240115-0001,https://www.chndoi.org/Resolution/Handler?doi=10.13703/j.0255-2930.20240115-0001
38858125,Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi,Unknown,2024,10.13201/j.issn.2096-7993.2024.06.019,https://www.chndoi.org/Resolution/Handler?doi=10.13201/j.issn.2096-7993.2024.06.019
31404459,Kou Qiang Yi Xue Yan Jui,Unknown,2018,10.13701/j.cnki.kqyxyj.2018.03.029,https://www.chndoi.org/Resolution/Handler?doi=10.13701/j.cnki.kqyxyj.2018.03.029
38864144,Beijing Da Xue Xue Bao Yi Xue Ban,Unknown,2024,10.19723/j.issn.1671-167X.2024.03.025,https://www.chndoi.org/Resolution/Handler?doi=10.19723/j.issn.1671-167X.2024.03.025
38864141,Beijing Da Xue Xue Bao Yi Xue Ban,Unknown,2024,10.19723/j.issn.1671-167X.2024.03.022,https://www.chndoi.org/Resolution/Handler?doi=10.19723/j.issn.1671-167X.2024.03.022
38897795,Huan Jing Ke Xue,Unknown,2024,10.13227/j.hjkx.202305089,https://www.chndoi.org/Resolution/Handler?doi=10.13227/j.hjkx.202305089
38629539,Huan Jing Ke Xue,Unknown,2024,10.13227/j.hjkx.202305251,https://www.chndoi.org/Resolution/Handler?doi=10.13227/j.hjkx.202305251
29399666,Dian Hua Xue,Unknown,2017,10.13208/j.electrochem.161250,https://www.chndoi.org/Resolution/Handler?doi=10.13208/j.electrochem.161250
