PMID,Journal,publisher_guess,year,doi,doi_url
38868450,Int J Reprod Biomed,Unknown,2023,10.18502/ijrm.v22i3.16161,https://chooser.crossref.org/?doi=10.18502%2Fijrm.v22i3.16161
37727393,Int J Reprod Biomed,Unknown,2023,10.18502/ijrm.v21i7.13893,https://chooser.crossref.org/?doi=10.18502%2Fijrm.v21i7.13893
38868814,Int J Hematol Oncol Stem Cell Res,Unknown,2024,10.18502/ijhoscr.v18i2.15378,https://chooser.crossref.org/?doi=10.18502%2Fijhoscr.v18i2.15378
37638283,Int J Hematol Oncol Stem Cell Res,Unknown,2023,10.18502/ijhoscr.v17i1.11706,https://chooser.crossref.org/?doi=10.18502%2Fijhoscr.v17i1.11706
38863846,J Family Reprod Health,Unknown,2024,10.18502/jfrh.v18i1.15433,https://chooser.crossref.org/?doi=10.18502%2Fjfrh.v18i1.15433
37465433,J Family Reprod Health,Unknown,2022,10.18502/jfrh.v16i4.11348,https://chooser.crossref.org/?doi=10.18502%2Fjfrh.v16i4.11348
26855567,Retrovirology (Auckl),Unknown,2015,10.4137/RRT.S31632,https://chooser.crossref.org/?doi=10.4137%2FRRT.S31632
11115231,Arch Fam Med,Unknown,2000,10.1001/archfami.9.10.1197,https://chooser.crossref.org/?doi=10.1001%2Farchfami.9.10.1197
11031397,Arch Fam Med,Unknown,2000,10.1001/archfami.9.9.892,https://chooser.crossref.org/?doi=10.1001%2Farchfami.9.9.892
18665243,Open Clin Cancer J,Unknown,2007,10.2174/1874189400701010001,https://chooser.crossref.org/?doi=10.2174%2F1874189400701010001
37873493,Geol Soc Spec Publ,Unknown,2023,10.1144/SP529-2022-227,https://chooser.crossref.org/?doi=10.1144%2FSP529-2022-227
29731538,Geol Soc Spec Publ,Unknown,2017,10.1144/SP467.6,https://chooser.crossref.org/?doi=10.1144%2FSP467.6
38894829,Iran J Public Health,Unknown,2024,10.18502/ijph.v53i2.14921,https://chooser.crossref.org/?doi=10.18502%2Fijph.v53i2.14921
36340438,Curr Med Mycol,Unknown,2022,10.18502/cmm.8.1.9212,https://chooser.crossref.org/?doi=10.18502%2Fcmm.8.1.9212
23741531,IBMS Bonekey,Unknown,2012,10.1038/bonekey.2012.210,https://chooser.crossref.org/?doi=10.1038%2Fbonekey.2012.210
24062618,Healthy Aging Clin Care Elder,Unknown,2013,10.4137/HACCE.S11528,https://chooser.crossref.org/?doi=10.4137%2FHACCE.S11528
25045283,Healthy Aging Clin Care Elder,Unknown,2012,10.4137/HACCE.S10596,https://chooser.crossref.org/?doi=10.4137%2FHACCE.S10596
38164434,J Reprod Infertil,Unknown,2023,10.18502/jri.v24i4.14153,https://chooser.crossref.org/?doi=10.18502%2Fjri.v24i4.14153
36919055,J Reprod Infertil,Unknown,2023,10.18502/jri.v24i1.11903,https://chooser.crossref.org/?doi=10.18502%2Fjri.v24i1.11903
38433818,J Med Ethics Hist Med,Unknown,2023,10.18502/jmehm.v16i15.14614,https://chooser.crossref.org/?doi=10.18502%2Fjmehm.v16i15.14614
34055239,J Med Ethics Hist Med,Unknown,2020,10.18502/jmehm.v13i23.4954,https://chooser.crossref.org/?doi=10.18502%2Fjmehm.v13i23.4954
26702252,Cell Commun Insights,Unknown,2015,10.4137/CCI.S29840,https://chooser.crossref.org/?doi=10.4137%2FCCI.S29840
24839392,Cell Commun Insights,Unknown,2013,10.4137/CCI.S12484,https://chooser.crossref.org/?doi=10.4137%2FCCI.S12484
22389581,Clin Med Rev Ther,Unknown,2011,10.4137/CMRT.S5022,https://chooser.crossref.org/?doi=10.4137%2FCMRT.S5022
21785568,Clin Med Rev Ther,Unknown,2011,10.4137/CMRT.S1637,https://chooser.crossref.org/?doi=10.4137%2FCMRT.S1637
22442648,Hum Genomics Proteomics,Unknown,2011,10.4061/2011/323629,https://chooser.crossref.org/?doi=10.4061%2F2011%2F323629
20981323,Hum Genomics Proteomics,Unknown,2009,10.4061/2009/453634,https://chooser.crossref.org/?doi=10.4061%2F2009%2F453634
25798201,J Dent Biomech,Unknown,2015,10.1177/1758736015576009,https://chooser.crossref.org/?doi=10.1177%2F1758736015576009
23554848,J Dent Biomech,Unknown,2013,10.1177/1758736013483747,https://chooser.crossref.org/?doi=10.1177%2F1758736013483747
24771995,Clin Med Rev Oncol,Unknown,2010,10.4137/CMRO.S1551,https://chooser.crossref.org/?doi=10.4137%2FCMRO.S1551
28277563,Bonekey Rep,Unknown,2017,10.1038/bonekey.2016.87,https://chooser.crossref.org/?doi=10.1038%2Fbonekey.2016.87
27688878,Bonekey Rep,Unknown,2016,10.1038/bonekey.2016.69,https://chooser.crossref.org/?doi=10.1038%2Fbonekey.2016.69
