PMID,Journal,publisher_guess,year,doi,doi_url
38323093,Int J Sports Exerc Med,Unknown,2022,10.23937/2469-5718/1510232,https://clinmedjournals.org/articles/ijsem/international-journal-of-sports-and-exercise-medicine-ijsem-8-232.php
27642647,Int J Sports Exerc Med,Unknown,2016,10.23937/2469-5718/1510036,https://clinmedjournals.org/articles/ijsem/international-journal-of-sports-and-exercise-medicine-ijsem-2-036.php?jid=ijsem
34632463,Int J Clin Biostat Biom,Unknown,2021,10.23937/2469-5831/1510038,https://www.clinmedjournals.org/articles/ijcbb/international-journal-of-clinical-biostatistics-and-biometrics-ijcbb-7-038.php?jid=ijcbb
26688834,Int J Clin Biostat Biom,Unknown,2015,10.23937/2469-5831/1510003,https://clinmedjournals.org/articles/ijcbb/international-journal-of-clinical-biostatistics-and-biometrics-ijcbb-1-003.php?jid=ijcbb
26807442,J Genet Genome Res,Unknown,2015,10.23937/2378-3648/1410017,https://clinmedjournals.org/articles/jggr/journal-of-genetics-and-genome-research-jggr-2-017.php?jid=jggr
33511321,J Geriatr Med Gerontol,Unknown,2020,10.23937/2469-5858/1510092,https://www.clinmedjournals.org/articles/jgmg/journal-of-geriatric-medicine-and-gerontology-jgmg-6-092.php?jid=jgmg
27606358,J Geriatr Med Gerontol,Unknown,2015,10.23937/2469-5858/1510004,https://clinmedjournals.org/articles/jgmg/journal-of-geriatric-medicine-and-gerontology-jgmg-1-004.php?jid=jgmg
31579301,J Obes Weight Loss Medicat,Unknown,2018,10.23937/2572-4010.1510022,https://www.clinmedjournals.org/articles/jowm/journal-of-obesity-and-weight-loss-medication-jowm-4-022.php?jid=jowm
27182560,J Obes Weight Loss Medicat,Unknown,2015,10.23937/2572-4010.1510004,https://clinmedjournals.org/articles/jowm/jowm-1-004.php?jid=jowm
29264400,Int J Neurol Neurother,Unknown,2017,10.23937/2378-3001/1410067,https://clinmedjournals.org/articles/ijnn/international-journal-of-neurology-and-neurotherapy-ijnn-4-067.php?jid=ijnn
32083188,Int J Immunol Immunother,Unknown,2016,10.23937/2378-3672/1410018,https://clinmedjournals.org/articles/ijii/international-journal-of-immunology-and-immunotherapy-ijii-3-018.php?jid=ijii
37220589,J Rheum Dis Treat,Unknown,2016,10.23937/2469-5726/1510033,https://clinmedjournals.org/articles/jrdt/journal-of-rheumatic-diseases-and-treatment-jrdt-2-033.php?jid=jrdt
27110599,J Rheum Dis Treat,Unknown,2015,10.23937/2469-5726/1510027,https://clinmedjournals.org/articles/jrdt/journal-of-rheumatic-diseases-and-treatment-jrdt-1-027.php?jid=jrdt
26457334,Int J Psychol Psychoanal,Unknown,2015,10.23937/2572-4037.1510003,https://clinmedjournals.org/articles/ijpp/ijpp-1-003.php?jid=ijpp
35342792,Int J Cancer Clin Res,Unknown,2021,10.23937/2378-3419/1410152,https://www.clinmedjournals.org/articles/ijccr/international-journal-of-cancer-and-clinical-research-ijccr-8-152.php?jid=ijccr
26878064,Int J Cancer Clin Res,Unknown,2016,10.23937/2378-3419/3/1/1037,https://clinmedjournals.org/articles/ijccr/international-journal-of-cancer-and-clinical-research-ijccr-3-037.php?jid=ijccr
29963638,Int J Anesth Anesth,Unknown,2018,10.23937/2377-4630/1410064,https://www.clinmedjournals.org/articles/ijaa/international-journal-of-anesthetics-and-anesthesiology-ijaa-5-064.php?jid=ijaa
