PMID,Journal,publisher_guess,year,doi,doi_url
36724062,Brain Plast,Unknown,2022,10.3233/BPL-219002,https://content.iospress.com:443/articles/brain-plasticity/bpl219002
29765847,Brain Plast,Unknown,2016,10.3233/BPL-160028,https://content.iospress.com:443/articles/brain-plasticity/bpl160028
26855687,Adv Neuroimmune Biol,Unknown,2015,10.3233/NIB-150101,https://content.iospress.com:443/articles/advances-in-neuroimmune-biology/nib150101
33134014,Int J Dev Sci,Unknown,2019,10.3233/dev-190266,https://content.iospress.com:443/articles/international-journal-of-developmental-science/dev190266
27713857,Int J Dev Sci,Unknown,2016,10.3233/DEV-160185,https://content.iospress.com:443/articles/international-journal-of-developmental-science/dev160185
20351798,Int J Hybrid Intell Syst,Unknown,2004,10.3233/his-2004-11-210,https://content.iospress.com:443/articles/international-journal-of-hybrid-intelligent-systems/his010
36312514,Appl Ontol,Unknown,2022,10.3233/ao-210260,https://content.iospress.com:443/articles/applied-ontology/ao210260
19789731,Appl Ontol,Unknown,2008,10.3233/AO-2008-0051,https://content.iospress.com:443/articles/applied-ontology/ao051
38905060,J Neonatal Perinatal Med,Unknown,2024,10.3233/NPM-240017,https://content.iospress.com:443/articles/journal-of-neonatal-perinatal-medicine/npm240017
38160367,J Neonatal Perinatal Med,Unknown,2024,10.3233/NPM-230099,https://content.iospress.com:443/articles/journal-of-neonatal-perinatal-medicine/npm230099
38905064,J Pediatr Rehabil Med,Unknown,2024,10.3233/PRM-249003,https://content.iospress.com:443/articles/journal-of-pediatric-rehabilitation-medicine/prm249003
38552121,J Pediatr Rehabil Med,Unknown,2024,10.3233/PRM-220100,https://content.iospress.com:443/articles/journal-of-pediatric-rehabilitation-medicine/prm220100
38905068,J Vestib Res,Unknown,2024,10.3233/VES-220094,https://content.iospress.com:443/articles/journal-of-vestibular-research/ves220094
37248929,J Vestib Res,Unknown,2023,10.3233/VES-220127,https://content.iospress.com:443/articles/journal-of-vestibular-research/ves220127
38905067,Technol Health Care,Unknown,2024,10.3233/THC-240202,https://content.iospress.com:443/articles/technology-and-health-care/thc240202
38905065,Technol Health Care,Unknown,2024,10.3233/THC-231191,https://content.iospress.com:443/articles/technology-and-health-care/thc231191
38905038,Clin Hemorheol Microcirc,Unknown,2024,10.3233/CH-242281,https://content.iospress.com:443/articles/clinical-hemorheology-and-microcirculation/ch242281
37927253,Clin Hemorheol Microcirc,Unknown,2024,10.3233/CH-231963,https://content.iospress.com:443/articles/clinical-hemorheology-and-microcirculation/ch231963
38905039,Hum Antibodies,Unknown,2024,10.3233/HAB-240002,https://content.iospress.com:443/articles/human-antibodies/hab240002
33554897,Hum Antibodies,Unknown,2021,10.3233/HAB-200436,https://content.iospress.com:443/articles/human-antibodies/hab200436
38489168,Biorheology,Unknown,2024,10.3233/BIR-239002,https://content.iospress.com:443/articles/biorheology/bir239002
31561320,Biorheology,Unknown,2019,10.3233/BIR-190216,https://content.iospress.com:443/articles/biorheology/bir190216
20191097,J Pediatr Neurol,Unknown,2009,10.3233/JPN-2009-0270,https://content.iospress.com:443/articles/journal-of-pediatric-neurology/jpn00270
6592006,Biorheology Suppl,Unknown,1984,10.3233/bir-1984-23s116,https://content.iospress.com:443/articles/biorheology/bir23-s1-16
6592004,Biorheology Suppl,Unknown,1984,10.3233/bir-1984-23s103,https://content.iospress.com:443/articles/biorheology/bir23-s1-03
38848165,Biomed Mater Eng,Unknown,2024,10.3233/BME-230217,https://content.iospress.com:443/articles/bio-medical-materials-and-engineering/bme230217
38517766,Biomed Mater Eng,Unknown,2024,10.3233/BME-230185,https://content.iospress.com:443/articles/bio-medical-materials-and-engineering/bme230185
35663921,J Econ Soc Meas,Unknown,2022,10.3233/jem-210480,https://content.iospress.com:443/articles/journal-of-economic-and-social-measurement/jem210480
26113770,J Econ Soc Meas,Unknown,2014,10.3233/JEM-140388,https://content.iospress.com:443/articles/journal-of-economic-and-social-measurement/jem00388
38875046,J Neuromuscul Dis,Unknown,2024,10.3233/JND-240056,https://content.iospress.com:443/articles/journal-of-neuromuscular-diseases/jnd240056
38701157,J Neuromuscul Dis,Unknown,2024,10.3233/JND-230251,https://content.iospress.com:443/articles/journal-of-neuromuscular-diseases/jnd230251
25705320,Nutr Aging (Amst),Unknown,2014,10.3233/NUA-130034,https://content.iospress.com:443/articles/nutrition-and-aging/nua034
37927254,In Silico Biol,Unknown,2023,10.3233/ISB-220252,https://content.iospress.com:443/articles/in-silico-biology/isb220252
36502315,In Silico Biol,Unknown,2023,10.3233/ISB-220253,https://content.iospress.com:443/articles/in-silico-biology/isb220253
38905052,J Alzheimers Dis,Unknown,2024,10.3233/JAD-249012,https://content.iospress.com:443/articles/journal-of-alzheimers-disease/jad249012
38848173,J Alzheimers Dis,Unknown,2024,10.3233/JAD-230915,https://content.iospress.com:443/articles/journal-of-alzheimers-disease/jad230915
34421288,Technol Disabil,Unknown,2020,10.3233/tad-200289,https://content.iospress.com:443/articles/technology-and-disability/tad200289
25530692,Technol Disabil,Unknown,1993,10.3233/TAD-1993-2110,https://content.iospress.com:443/articles/technology-and-disability/tad2-1-10
24967156,Physiother Pract Res,Unknown,2013,10.3233/PPR-130020,https://content.iospress.com:443/articles/physiotherapy-practice-and-research/ppr020
24078783,J Pediatr Neuroradiol,Unknown,2012,10.3233/PNR-2012-027,https://content.iospress.com:443/articles/journal-of-pediatric-neuroradiology/pnr027
33488319,Model Assist Stat Appl,Unknown,2020,10.3233/mas-200505,https://content.iospress.com:443/articles/model-assisted-statistics-and-applications/mas200505
31649493,Model Assist Stat Appl,Unknown,2019,10.3233/MAS-190462,https://content.iospress.com:443/articles/model-assisted-statistics-and-applications/mas190462
34141562,Biomed Spectrosc Imaging,Unknown,2020,10.3233/BSI-200204,https://content.iospress.com:443/articles/biomedical-spectroscopy-and-imaging/bsi200204
31788419,Biomed Spectrosc Imaging,Unknown,2019,10.3233/BSI-190186,https://content.iospress.com:443/articles/biomedical-spectroscopy-and-imaging/bsi190186
35310961,Kidney Cancer J,Unknown,2022,10.3233/kca-210010,https://content.iospress.com:443/articles/kidney-cancer/kca210010
38875047,Int J Risk Saf Med,Unknown,2024,10.3233/JRS-230049,https://content.iospress.com:443/articles/international-journal-of-risk-and-safety-in-medicine/jrs230049
37718853,Int J Risk Saf Med,Unknown,2024,10.3233/JRS-230011,https://content.iospress.com:443/articles/international-journal-of-risk-and-safety-in-medicine/jrs230011
31093004,Integr Comput Aided Eng,Unknown,2018,10.3233/ICA-180570,https://content.iospress.com:443/articles/integrated-computer-aided-engineering/ica570
21686030,Integr Comput Aided Eng,Unknown,2009,10.3233/ICA-2009-0315,https://content.iospress.com:443/articles/integrated-computer-aided-engineering/ica00315
37810907,J Vocat Rehabil,Unknown,2023,10.3233/jvr-230036,https://content.iospress.com:443/articles/journal-of-vocational-rehabilitation/jvr230036
31105415,J Vocat Rehabil,Unknown,2016,10.3233/JVR-150777,https://content.iospress.com:443/articles/journal-of-vocational-rehabilitation/jvr777
24339479,Isokinet Exerc Sci,Unknown,2011,10.3233/IES-2011-0400,https://content.iospress.com:443/articles/isokinetics-and-exercise-science/ies00400
38905054,J Huntingtons Dis,Unknown,2024,10.3233/JHD-240018,https://content.iospress.com:443/articles/journal-of-huntingtons-disease/jhd240018
35570498,J Huntingtons Dis,Unknown,2022,10.3233/JHD-229002,https://content.iospress.com:443/articles/journal-of-huntingtons-disease/jhd229002
23970824,Inf Knowl Syst Manage,Unknown,2011,10.3233/IKS-2012-0197,https://content.iospress.com:443/articles/information-knowledge-systems-management/iks00197
24357890,Fundam Inform,Unknown,2012,10.3233/FI-2012-720,https://content.iospress.com:443/articles/fundamenta-informaticae/fi118-4-04
35720431,Inf Serv Use,Unknown,2022,10.3233/ISU-220149,https://content.iospress.com:443/articles/information-services-and-use/isu220149
35600129,Inf Serv Use,Unknown,2022,10.3233/ISU-210141,https://content.iospress.com:443/articles/information-services-and-use/isu210141
38905034,Cancer Biomark,Unknown,2024,10.3233/CBM-230388,https://content.iospress.com:443/articles/cancer-biomarkers/cbm230388
38073376,Cancer Biomark,Unknown,2023,10.3233/CBM-230054,https://content.iospress.com:443/articles/cancer-biomarkers/cbm230054
38905079,J Xray Sci Technol,Unknown,2024,10.3233/XST-240059,https://content.iospress.com:443/articles/journal-of-x-ray-science-and-technology/xst240059
38457139,J Xray Sci Technol,Unknown,2024,10.3233/XST-230251,https://content.iospress.com:443/articles/journal-of-x-ray-science-and-technology/xst230251
29732390,Bladder Cancer,Unknown,2018,10.3233/BLC-170156,https://content.iospress.com:443/articles/bladder-cancer/blc170156
38905058,J Parkinsons Dis,Unknown,2024,10.3233/JPD-240080,https://content.iospress.com:443/articles/journal-of-parkinsons-disease/jpd240080
38277304,J Parkinsons Dis,Unknown,2024,10.3233/JPD-230366,https://content.iospress.com:443/articles/journal-of-parkinsons-disease/jpd230366
30505251,Semant Web,Unknown,2018,10.3233/SW-170280,https://content.iospress.com:443/articles/semantic-web/sw280
28819351,Semant Web,Unknown,2017,10.3233/sw-160238,https://content.iospress.com:443/articles/semantic-web/sw238
38800620,Stat J IAOS,Unknown,2024,10.3233/sji-230125,https://content.iospress.com:443/articles/statistical-journal-of-the-iaos/sji230125
27617044,J Ambient Intell Smart Environ,Unknown,2016,10.3233/AIS-160385,https://content.iospress.com:443/articles/journal-of-ambient-intelligence-and-smart-environments/ais385
25302084,J Ambient Intell Smart Environ,Unknown,2013,10.3233/AIS-130230,https://content.iospress.com:443/articles/journal-of-ambient-intelligence-and-smart-environments/ais230
38820024,Restor Neurol Neurosci,Unknown,2024,10.3233/RNN-231378,https://content.iospress.com:443/articles/restorative-neurology-and-neuroscience/rnn231378
34219678,Restor Neurol Neurosci,Unknown,2021,10.3233/RNN-201070,https://content.iospress.com:443/articles/restorative-neurology-and-neuroscience/rnn201070
31929684,J Comput Secur,Unknown,2019,10.3233/JCS-191315,https://content.iospress.com:443/articles/journal-of-computer-security/jcs191315
38420616,Kidney Cancer,Unknown,2024,10.3233/KCA-230024,https://content.iospress.com:443/articles/kidney-cancer/kca230024
34632169,Kidney Cancer,Unknown,2021,10.3233/KCA-210119,https://content.iospress.com:443/articles/kidney-cancer/kca210119
33312086,Strength Fract Complex,Unknown,2018,10.3233/SFC-180223,https://content.iospress.com:443/articles/strength-fracture-and-complexity/sfc180223
38905080,Work,Unknown,2024,10.3233/WOR-246013,https://content.iospress.com:443/articles/work/wor246013
38640183,Work,Unknown,2024,10.3233/WOR-230200,https://content.iospress.com:443/articles/work/wor230200
38905062,NeuroRehabilitation,Unknown,2024,10.3233/NRE-240068,https://content.iospress.com:443/articles/neurorehabilitation/nre240068
37927281,NeuroRehabilitation,Unknown,2023,10.3233/NRE-230103,https://content.iospress.com:443/articles/neurorehabilitation/nre230103
11540598,Clin Hemorheol,Unknown,1986,10.3233/ch-1986-6509,https://content.iospress.com:443/articles/clinical-hemorheology-and-microcirculation/ch6-5-09
38905033,J Back Musculoskelet Rehabil,Unknown,2024,10.3233/BMR-240024,https://content.iospress.com:443/articles/journal-of-back-and-musculoskeletal-rehabilitation/bmr240024
38217580,J Back Musculoskelet Rehabil,Unknown,2024,10.3233/BMR-230263,https://content.iospress.com:443/articles/journal-of-back-and-musculoskeletal-rehabilitation/bmr230263
38905027,Breast Dis,Unknown,2024,10.3233/BD-230047,https://content.iospress.com:443/articles/breast-disease/bd230047
36641651,Breast Dis,Unknown,2022,10.3233/BD-210083,https://content.iospress.com:443/articles/breast-disease/bd210083
38013773,Nutr Healthy Aging,Unknown,2023,10.3233/NHA-220192,https://content.iospress.com:443/articles/nutrition-and-healthy-aging/nha220192
28035338,Nutr Healthy Aging,Unknown,2016,10.3233/NHA-150002,https://content.iospress.com:443/articles/nutrition-and-healthy-aging/nha150002
38910947,J Alzheimers Dis Rep,Unknown,2024,10.3233/ADR-230206,https://content.iospress.com:443/articles/journal-of-alzheimers-disease-reports/adr230206
38405352,J Alzheimers Dis Rep,Unknown,2024,10.3233/ADR-230194,https://content.iospress.com:443/articles/journal-of-alzheimers-disease-reports/adr230194
30636993,J Berry Res,Unknown,2018,10.3233/JBR-180337,https://content.iospress.com:443/articles/journal-of-berry-research/jbr180337
27594930,J Berry Res,Unknown,2016,10.3233/JBR-160125,https://content.iospress.com:443/articles/journal-of-berry-research/jbr125
27867313,Occup Ergon,Unknown,2016,10.3233/OER-160235,https://content.iospress.com:443/articles/occupational-ergonomics/oer235
35892038,Transl Sci Rare Dis,Unknown,2022,10.3233/trd-220054,https://content.iospress.com:443/articles/translational-science-of-rare-diseases/trd220054
33344172,Transl Sci Rare Dis,Unknown,2020,10.3233/TRD-200048,https://content.iospress.com:443/articles/translational-science-of-rare-diseases/trd200048
30705744,Med J Nutrition Metab,Unknown,2014,10.3233/MNM-140016,https://content.iospress.com:443/articles/mediterranean-journal-of-nutrition-and-metabolism/mnm016
22962628,Med J Nutrition Metab,Unknown,2012,10.1007/s12349-012-0105-z,https://content.iospress.com:443/articles/mediterranean-journal-of-nutrition-and-metabolism/mnm5-2-01
