PMID,Journal,publisher_guess,year,doi,doi_url
11633621,Z Aegypt Sprach Altertumskd,Unknown,1974,10.1524/zaes.1974.100.2.125,https://www.degruyter.com/document/doi/10.1524/zaes.1974.100.2.125/html
11618328,Z Rom Philol,Unknown,1987,10.1515/zrph.1987.103.3-4.271,https://www.degruyter.com/document/doi/10.1515/zrph.1987.103.3-4.271/html
38869142,Phonetica,Unknown,2024,10.1515/phon-2023-0049,https://www.degruyter.com/document/doi/10.1515/phon-2023-0049/html
31112958,Phonetica,Unknown,2019,10.1159/000493982,https://www.degruyter.com/document/doi/10.1159/000493982/html
36701212,Int J Soc Lang,Unknown,2023,10.1515/ijsl-2021-0099,https://www.degruyter.com/document/doi/10.1515/ijsl-2021-0099/html
29033477,Int J Soc Lang,Unknown,2017,10.1515/ijsl-2017-0005,https://www.degruyter.com/document/doi/10.1515/ijsl-2017-0005/html
34290454,Mammalia,Unknown,2020,10.1515/mammalia-2019-0036,https://www.degruyter.com/document/doi/10.1515/mammalia-2019-0036/html
33227128,J Am Osteopath Assoc,Unknown,2020,10.7556/jaoa.2020.157,https://www.degruyter.com/document/doi/10.7556/jaoa.2020.157/html
32717089,J Am Osteopath Assoc,Unknown,2020,10.7556/jaoa.2020.088,https://www.degruyter.com/document/doi/10.7556/jaoa.2020.088/html
6549303,Hoppe Seylers Z Physiol Chem,Unknown,1984,10.1515/bchm2.1984.365.2.1451,https://www.degruyter.com/document/doi/10.1515/bchm2.1984.365.2.1451/html
6090301,Hoppe Seylers Z Physiol Chem,Unknown,1984,10.1515/bchm2.1984.365.2.773,https://www.degruyter.com/document/doi/10.1515/bchm2.1984.365.2.773/html
38911933,Open Life Sci,Unknown,2024,10.1515/biol-2022-0888,https://www.degruyter.com/document/doi/10.1515/biol-2022-0888/html
38911930,Open Life Sci,Unknown,2024,10.1515/biol-2022-0889,https://www.degruyter.com/document/doi/10.1515/biol-2022-0889/html
38911257,Open Med (Wars),Unknown,2024,10.1515/med-2024-0983,https://www.degruyter.com/document/doi/10.1515/med-2024-0983/html
38584847,Open Med (Wars),Unknown,2024,10.1515/med-2023-0867,https://www.degruyter.com/document/doi/10.1515/med-2023-0867/html
35880037,J Homel Secur Emerg Manag,Unknown,2022,10.1515/jhsem-2021-0013,https://www.degruyter.com/document/doi/10.1515/jhsem-2021-0013/html
26692825,J Homel Secur Emerg Manag,Unknown,2014,10.1515/jhsem-2013-0106,https://www.degruyter.com/document/doi/10.1515/jhsem-2013-0106/html
26740937,Open Linguist,Unknown,2015,10.1515/opli-2015-0021,https://www.degruyter.com/document/doi/10.1515/opli-2015-0021/html
38812923,J Transl Int Med,Unknown,2024,10.2478/jtim-2024-0005,https://www.degruyter.com/document/doi/10.2478/jtim-2024-0005/html
36860627,J Transl Int Med,Unknown,2022,10.2478/jtim-2022-0034,https://www.degruyter.com/document/doi/10.2478/jtim-2022-0034/html
26807291,Addict Genet,Unknown,2015,10.1515/addge-2015-0001,https://www.degruyter.com/document/doi/10.1515/addge-2015-0001/html
38361970,J Causal Inference,Unknown,2024,10.1515/jci-2023-0031,https://www.degruyter.com/document/doi/10.1515/jci-2023-0031/html
29387520,J Causal Inference,Unknown,2017,10.1515/jci-2016-0006,https://www.degruyter.com/document/doi/10.1515/jci-2016-0006/html
25295224,Bioinorg React Mech,Unknown,2013,10.1515/irm-2013-0001,https://www.degruyter.com/document/doi/10.1515/irm-2013-0001/html
25485265,Mesoporous Biomater,Unknown,2014,10.2478/mesbi-2014-0002,https://www.degruyter.com/document/doi/10.2478/mesbi-2014-0002/html
38916102,Scand J Pain,Unknown,2024,10.1515/sjpain-2024-0044,https://www.degruyter.com/document/doi/10.1515/sjpain-2024-0044/html
38495000,Scand J Pain,Unknown,2024,10.1515/sjpain-2023-0082,https://www.degruyter.com/document/doi/10.1515/sjpain-2023-0082/html
29098149,Endoplasmic Reticulum Stress Dis,Unknown,2017,10.1515/ersc-2017-0001,https://www.degruyter.com/document/doi/10.1515/ersc-2017-0001/html
28217691,Endoplasmic Reticulum Stress Dis,Unknown,2016,10.1515/ersc-2016-0004,https://www.degruyter.com/document/doi/10.1515/ersc-2016-0004/html
32851833,Met Ions Life Sci,Unknown,2020,10.1515/9783110589757-018,https://www.degruyter.com/document/doi/10.1515/9783110589757-018/html
21760964,Stud Ethics Law Technol,Unknown,2010,10.2202/1941-6008.1124,https://www.degruyter.com/document/doi/10.2202/1941-6008.1124/html
19750128,Stud Ethics Law Technol,Unknown,2007,10.2202/1941-6008.1000,https://www.degruyter.com/document/doi/10.2202/1941-6008.1000/html
36726404,B E J Econom Anal Policy,Unknown,2023,10.1515/bejeap-2021-0309,https://www.degruyter.com/document/doi/10.1515/bejeap-2021-0309/html
38889403,Rev Neurosci,Unknown,2024,10.1515/revneuro-2024-0043,https://www.degruyter.com/document/doi/10.1515/revneuro-2024-0043/html
36073599,Rev Neurosci,Unknown,2023,10.1515/revneuro-2022-0049,https://www.degruyter.com/document/doi/10.1515/revneuro-2022-0049/html
25367614,Drug Metabol Drug Interact,Unknown,2014,10.1515/dmdi-2014-0030,https://www.degruyter.com/document/doi/10.1515/dmdi-2014-0030/html
24468611,Drug Metabol Drug Interact,Unknown,2014,10.1515/dmdi-2013-0068,https://www.degruyter.com/document/doi/10.1515/dmdi-2013-0068/html
4405255,Z Naturforsch B Anorg Chem Org Chem Biochem Biophys Biol,Unknown,1972,10.1515/znb-1972-1021,https://www.degruyter.com/document/doi/10.1515/znb-1972-1021/html
3993183,Z Naturforsch C Biosci,Unknown,1985,10.1515/znc-1985-1-219,https://www.degruyter.com/document/doi/10.1515/znc-1985-1-219/html
37000690,Botanica Marina,Unknown,2023,10.1515/bot-2022-0074,https://www.degruyter.com/document/doi/10.1515/bot-2022-0074/html
38900218,Biol Chem,Unknown,2024,10.1515/hsz-2024-0087,https://www.degruyter.com/document/doi/10.1515/hsz-2024-0087/html
38353111,Biol Chem,Unknown,2024,10.1515/hsz-2023-0321,https://www.degruyter.com/document/doi/10.1515/hsz-2023-0321/html
38860648,Biomed Tech (Berl),Unknown,2024,10.1515/bmt-2024-0002,https://www.degruyter.com/document/doi/10.1515/bmt-2024-0002/html
36862718,Biomed Tech (Berl),Unknown,2023,10.1515/bmt-2022-0179,https://www.degruyter.com/document/doi/10.1515/bmt-2022-0179/html
38909275,Z Naturforsch C J Biosci,Unknown,2024,10.1515/znc-2024-0062,https://www.degruyter.com/document/doi/10.1515/znc-2024-0062/html
38414256,Z Naturforsch C J Biosci,Unknown,2024,10.1515/znc-2023-0157,https://www.degruyter.com/document/doi/10.1515/znc-2023-0157/html
8590627,Biol Chem Hoppe Seyler,Unknown,1995,10.1515/bchm3.1995.376.10.587,https://www.degruyter.com/document/doi/10.1515/bchm3.1995.376.10.587/html
38101803,Forum Health Econ Policy,Unknown,2023,10.1515/fhep-2022-0025,https://www.degruyter.com/document/doi/10.1515/fhep-2022-0025/html
29057196,Int J Disabil Hum Dev,Unknown,2014,10.1515/ijdhd-2014-0334,https://www.degruyter.com/document/doi/10.1515/ijdhd-2014-0334/html
38013834,Apeiron,Unknown,2023,10.1515/apeiron-2023-0045,https://www.degruyter.com/document/doi/10.1515/apeiron-2023-0045/html
11616596,Apeiron,Unknown,1990,10.1515/apeiron.1990.23.2.87,https://www.degruyter.com/document/doi/10.1515/APEIRON.1990.23.2.87/html
38856001,J Basic Clin Physiol Pharmacol,Unknown,2024,10.1515/jbcpp-2024-0058,https://www.degruyter.com/document/doi/10.1515/jbcpp-2024-0058/html
36972321,J Basic Clin Physiol Pharmacol,Unknown,2023,10.1515/jbcpp-2023-0059,https://www.degruyter.com/document/doi/10.1515/jbcpp-2023-0059/html
38899865,Int J Adolesc Med Health,Unknown,2024,10.1515/ijamh-2024-0070,https://www.degruyter.com/document/doi/10.1515/ijamh-2024-0070/html
37624369,Int J Adolesc Med Health,Unknown,2023,10.1515/ijamh-2023-0023,https://www.degruyter.com/document/doi/10.1515/ijamh-2023-0023/html
12320210,Jahrb Natl Okon Stat,Unknown,1995,10.1515/jbnst-1995-0306,https://www.degruyter.com/document/doi/10.1515/jbnst-1995-0306/html
38905455,J Perinat Med,Unknown,2024,10.1515/jpm-2024-0119,https://www.degruyter.com/document/doi/10.1515/jpm-2024-0119/html
38126220,J Perinat Med,Unknown,2024,10.1515/jpm-2023-0409,https://www.degruyter.com/document/doi/10.1515/jpm-2023-0409/html
25505358,J Mech Behav Mater,Unknown,2013,10.1515/jmbm-2013-0024,https://www.degruyter.com/document/doi/10.1515/jmbm-2013-0024/html
7735379,J Pediatr Endocrinol,Unknown,1994,10.1515/jpem.1994.7.4.373,https://www.degruyter.com/document/doi/10.1515/JPEM.1994.7.4.373/html
