PMID,Journal,publisher_guess,year,doi,doi_url
38883979,J Interdiscip Hist,Unknown,2024,10.1162/jinh_a_02001,https://direct.mit.edu/jinh/article/54/3/323/120708/Stalking-Wild-Maize-Taxonomy-Plant-Exploration-and
37168289,Daedalus,Unknown,2021,10.1162/daed_a_01848,https://direct.mit.edu/daed/article/150/2/91/98316/The-Racialization-of-Illegality
38776969,Neural Comput,Unknown,2024,10.1162/neco_a_01674,https://direct.mit.edu/neco/article/36/7/1332/121125/Bioplausible-Unsupervised-Delay-Learning-for
36944234,Neural Comput,Unknown,2023,10.1162/neco_a_01576,https://direct.mit.edu/neco/article/35/5/853/115250/Body-Mechanics-Optimality-and-Sensory-Feedback-in
38913402,Artif Life,Unknown,2024,10.1162/artl_a_00442,https://direct.mit.edu/artl/article/doi/10.1162/artl_a_00442/122657/Heterogeneous-Thresholds-Social-Ranking-and-the
35929774,Artif Life,Unknown,2022,10.1162/artl_a_00372,https://direct.mit.edu/artl/article/28/4/423/112512/Using-the-Comparative-Hybrid-Approach-to
34334943,Comput Linguist Assoc Comput Linguist,Unknown,2015,10.1162/coli_a_00232,https://direct.mit.edu/coli/article/41/4/549-578/1514
25838637,Comput Linguist Assoc Comput Linguist,Unknown,2012,10.1162/COLI_a_00114,https://direct.mit.edu/coli/article/38/3/469-478/2162
36303892,Trans Assoc Comput Linguist,Unknown,2022,10.1162/tacl_a_00500,https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00500/112917/Adapting-to-the-Long-Tail-A-Meta-Analysis-of
25593564,Educ Finance Policy,Unknown,2013,10.1162/EDFP_a_00089,https://direct.mit.edu/edfp/article/8/2/168-207/12338
37193577,Rev Econ Stat,Unknown,2023,10.1162/rest_a_01070,https://direct.mit.edu/rest/article/105/2/237/102833/The-Two-Margin-Problem-in-Insurance-Markets
28690342,Rev Econ Stat,Unknown,2016,10.1162/REST_a_00544,https://direct.mit.edu/rest/article/98/3/591-600/58354
27019649,Glob Environ Polit,Unknown,2013,10.1162/GLEP_a_00153,https://direct.mit.edu/glep/article/13/1/49-68/14602
38911464,Neurobiol Lang (Camb),Unknown,2024,10.1162/nol_a_00139,https://direct.mit.edu/nol/article/5/2/454/119559/Pars-Opercularis-Underlies-Efferent-Predictions
38645620,Neurobiol Lang (Camb),Unknown,2024,10.1162/nol_a_00090,https://direct.mit.edu/nol/article/5/1/248/113681/Dissociable-Neural-Mechanisms-for-Human-Inference
33103120,Data Intell,Unknown,2020,10.1162/dint_a_00058,https://direct.mit.edu/dint/article/2/4/443-486/94892
22328864,Linguist Inq,Unknown,2012,10.1162/LING_a_00075,https://direct.mit.edu/ling/article/43/1/97-119/497
29622948,Perspect Sci,Unknown,2017,10.1162/POSC_a_00255,https://direct.mit.edu/posc/article/25/5/585-605/15541
20217987,Perspect Sci,Unknown,2001,10.1162/106361401317447264,https://direct.mit.edu/posc/article/9/2/147-172/15098
38889350,Evol Comput,Unknown,2024,10.1162/evco_a_00354,https://direct.mit.edu/evco/article/doi/10.1162/evco_a_00354/122628/Large-Scale-Multiobjective-Evolutionary-Algorithm
32567957,Evol Comput,Unknown,2021,10.1162/evco_a_00276,https://direct.mit.edu/evco/article/29/1/157-186/97345
38865201,J Cogn Neurosci,Unknown,2024,10.1162/jocn_a_02122,https://direct.mit.edu/jocn/article/36/8/1557/119428/Perception-action-Dissociations-as-a-Window-into
38437175,J Cogn Neurosci,Unknown,2024,10.1162/jocn_a_02134,https://direct.mit.edu/jocn/article/36/6/1141/119829/Lesion-symptom-Mapping-of-Acceptability-Judgments
38895041,Open Mind (Camb),Unknown,2024,10.1162/opmi_a_00145,https://direct.mit.edu/opmi/article/doi/10.1162/opmi_a_00145/122242/Unconscious-Perception-of-Vernier-Offsets
37946851,Open Mind (Camb),Unknown,2023,10.1162/opmi_a_00108,https://direct.mit.edu/opmi/article/doi/10.1162/opmi_a_00108/117916/A-Shared-Intuitive-Mis-understanding-of
24348003,Presence (Camb),Unknown,2012,10.1162/pres_a_00115,https://direct.mit.edu/pvar/article/21/3/305-320/18832
11540645,Presence (Camb),Unknown,1997,10.1162/pres.1997.6.1.87,https://direct.mit.edu/pvar/article/6/1/87-105/18150
38711544,Netw Neurosci,Unknown,2024,10.1162/netn_a_00355,https://direct.mit.edu/netn/article/8/1/355/118706/Altered-topological-structure-of-the-brain-white
38144689,Netw Neurosci,Unknown,2023,10.1162/netn_a_00333,https://direct.mit.edu/netn/article/7/4/1404/117283/Age-related-variability-in-network-engagement
