PMID,Journal,publisher_guess,year,doi,doi_url
26949753,Proc Wirel Health,Unknown,2015,10.1145/2811780.2811932,https://dl.acm.org/doi/10.1145/2811780.2811932
28345080,Proc Wirel Health,Unknown,2012,10.1145/2448096.2448103,https://dl.acm.org/doi/10.1145/2448096.2448103
34262408,Proc Annu Int Conf Mob Comput Netw,Unknown,2019,10.1145/3300061.3345432,https://dl.acm.org/doi/10.1145/3300061.3345432
26834512,Proc Annu Int Conf Mob Comput Netw,Unknown,2015,10.1145/2789168.2790108,https://dl.acm.org/doi/10.1145/2789168.2790108
26742547,DH15 (2015),Unknown,2015,10.1145/2750511.2750517,https://dl.acm.org/doi/10.1145/2750511.2750517
26677461,Proc ACM Symp Doc Eng,Unknown,2015,10.1145/2682571.2797066,https://dl.acm.org/doi/10.1145/2682571.2797066
27077137,Proc ACM Int Workshop Data Text Min Biomed Inform,Unknown,2013,10.1145/2512089.2512101,https://dl.acm.org/doi/10.1145/2512089.2512101
27239556,AI Matters,Unknown,2015,10.1145/2757001.2757003,https://dl.acm.org/doi/10.1145/2757001.2757003
35647617,Proc Int Conf Web Search Data Min,Unknown,2022,10.1145/3488560.3498416,https://dl.acm.org/doi/10.1145/3488560.3498416
28286885,Proc ACM SIGCOMM Conf,Unknown,2015,10.1145/2829988.2787477,https://dl.acm.org/doi/10.1145/2829988.2787477
27314106,Proc Fourth Workshop Data Anal Scale Danac 2015 (2015),Unknown,2015,10.1145/2799562.2799641,https://dl.acm.org/doi/10.1145/2799562.2799641
29515937,ACM Trans Interact Intell Syst,Unknown,2018,10.1145/3152888,https://dl.acm.org/doi/10.1145/3152888
28966875,ACM Trans Interact Intell Syst,Unknown,2016,10.1145/2882970,https://dl.acm.org/doi/10.1145/2882970
25505797,Creat Cognit,Unknown,2013,10.1145/2466627.2466673,https://dl.acm.org/doi/10.1145/2466627.2466673
33585839,IUI,Unknown,2020,10.1145/3377325.3377540,https://dl.acm.org/doi/10.1145/3377325.3377540
25859567,IUI,Unknown,2015,10.1145/2732158.2732192,https://dl.acm.org/doi/10.1145/2732158.2732192
38898884,Ext Abstr Hum Factors Computing Syst,Unknown,2024,10.1145/3613905.3651051,https://dl.acm.org/doi/10.1145/3613905.3651051
35727721,Ext Abstr Hum Factors Computing Syst,Unknown,2022,10.1145/3491101.3519858,https://dl.acm.org/doi/10.1145/3491101.3519858
37694216,ACM Trans Comput Hum Interact,Unknown,2023,10.1145/3582431,https://dl.acm.org/doi/10.1145/3582431
35185311,ACM Trans Comput Hum Interact,Unknown,2021,10.1145/3462326,https://dl.acm.org/doi/10.1145/3462326
29204108,ACM Trans Knowl Discov Data,Unknown,2017,10.1145/3056562,https://dl.acm.org/doi/10.1145/3056562
20072710,ACM Trans Knowl Discov Data,Unknown,2009,10.1145/1552303.1552304,https://dl.acm.org/doi/10.1145/1552303.1552304
21660208,ACM Trans Reconfigurable Technol Syst,Unknown,2010,10.1145/1862648.1862653,https://dl.acm.org/doi/10.1145/1862648.1862653
19492068,ACM Trans Reconfigurable Technol Syst,Unknown,2008,10.1145/1371579.1371581,https://dl.acm.org/doi/10.1145/1371579.1371581
34651144,IPSN,Unknown,2021,10.1145/3412382.3458776,https://dl.acm.org/doi/10.1145/3412382.3458776
35531063,CODASPY,Unknown,2022,10.1145/3508398.3511519,https://dl.acm.org/doi/10.1145/3508398.3511519
25485309,CODASPY,Unknown,2011,10.1145/1943513.1943524,https://dl.acm.org/doi/10.1145/1943513.1943524
33927914,ACM Trans Manag Inf Syst,Unknown,2021,10.1145/3403950,https://dl.acm.org/doi/10.1145/3403950
31355050,ACM Trans Manag Inf Syst,Unknown,2019,10.1145/3329717,https://dl.acm.org/doi/10.1145/3329717
30788464,SC Conf Proc,Unknown,2015,10.1145/2807591.2807595,https://dl.acm.org/doi/10.1145/2807591.2807595
25632406,ACM Conf Bioinform Comput Biol Biomed Inform (2013),Unknown,2013,10.1145/2506583.2506589,https://dl.acm.org/doi/10.1145/2506583.2506589
