PMID,Journal,publisher_guess,year,doi,doi_url
38804555,Crit Rev Ther Drug Carrier Syst,Unknown,2024,10.1615/CritRevTherDrugCarrierSyst.2024051126,"https://www.dl.begellhouse.com/journals/3667c4ae6e8fd136,2e2c83d01c4b6c1e,71531f6d3368a6f5.html"
33639066,Crit Rev Ther Drug Carrier Syst,Unknown,2021,10.1615/CritRevTherDrugCarrierSyst.2020033839,"https://www.dl.begellhouse.com/journals/3667c4ae6e8fd136,6c0081ec1af0d4ec,2d1eb32c3d8a1ec4.html"
19409059,Crit Rev Neurobiol,Unknown,2007,10.1615/critrevneurobiol.v19.i2-3.30,"https://www.dl.begellhouse.com/journals/7b004699754c9fe6,438f99ed28246ab2,6fb5f9252b2b5efa.html"
38884212,Crit Rev Biomed Eng,Unknown,2024,10.1615/CritRevBiomedEng.2024053066,"https://www.dl.begellhouse.com/journals/4b27cbfc562e21b8,4617d01a7979047b,23ca40381a4d3555.html"
33389895,Crit Rev Biomed Eng,Unknown,2020,10.1615/CritRevBiomedEng.2020034847,"https://www.dl.begellhouse.com/journals/4b27cbfc562e21b8,2d3b84786ae3f3e4,458bec905702388a.html"
38683157,Crit Rev Oncog,Unknown,2024,10.1615/CritRevOncog.2024051599,"https://www.dl.begellhouse.com/journals/439f422d0783386a,34626d19187f05e2,5b40bc4d0485bba2.html"
38050979,Crit Rev Oncog,Unknown,2023,10.1615/CritRevOncog.2023049659,"https://www.dl.begellhouse.com/journals/439f422d0783386a,194d12262d20a1b9,11d586040b9d18b0.html"
38842237,J Long Term Eff Med Implants,Unknown,2024,10.1615/JLongTermEffMedImplants.2024047947,"https://www.dl.begellhouse.com/journals/1bef42082d7a0fdf,5dc8ec536b500415,22016f43510627dc.html"
38305371,J Long Term Eff Med Implants,Unknown,2024,10.1615/JLongTermEffMedImplants.2023048123,"https://www.dl.begellhouse.com/journals/1bef42082d7a0fdf,6a31c4ce3e5f7188,4530dae94019719f.html"
38912964,Crit Rev Eukaryot Gene Expr,Unknown,2024,10.1615/CritRevEukaryotGeneExpr.2024053646,"https://www.dl.begellhouse.com/journals/6dbf508d3b17c437,5e26170318c965c3,7ede823d332fa64c.html"
36017918,Crit Rev Eukaryot Gene Expr,Unknown,2022,10.1615/CritRevEukaryotGeneExpr.2022043175,"https://www.dl.begellhouse.com/journals/6dbf508d3b17c437,737d79211cc2cc1b,0a47010b63ee98f5.html"
38608147,J Environ Pathol Toxicol Oncol,Unknown,2024,10.1615/JEnvironPatholToxicolOncol.2024050455,"https://www.dl.begellhouse.com/journals/0ff459a57a4c08d0,5e83aab85340e4b1,3c0137a7311386df.html"
34936303,J Environ Pathol Toxicol Oncol,Unknown,2021,10.1615/JEnvironPatholToxicolOncol.2021039471,"https://www.dl.begellhouse.com/journals/0ff459a57a4c08d0,409a1f1c6642d947,31a3ee2433b8b52b.html"
25750485,Crit Rev Phys Rehabil Med,Unknown,2013,10.1615/CritRevPhysRehabilMed.2013007944,"https://www.dl.begellhouse.com/journals/757fcb0219d89390,43a5b3f6365fc080,554935127a1055e7.html"
25541570,Crit Rev Phys Rehabil Med,Unknown,2013,10.1615/CritRevPhysRehabilMed.2013008120,"https://www.dl.begellhouse.com/journals/757fcb0219d89390,43a5b3f6365fc080,2c2ca83e3f22c796.html"
25635242,Interfacial Phenom Heat Transf,Unknown,2013,10.1615/InterfacPhenomHeatTransfer.v1.i4.40,"https://www.dl.begellhouse.com/journals/728e68e739b67efe,7e2b39386dbdfe7f,16da26f479f4db8d.html"
24833890,Heat Transf Res,Unknown,2013,10.1615/HeatTransRes.2012006187,"https://www.dl.begellhouse.com/journals/46784ef93dddff27,614148a2796729f7,7a7a33c30a735d9b.html"
35330633,Int J Multiscale Comput Eng,Unknown,2021,10.1615/intjmultcompeng.2021039845,"https://www.dl.begellhouse.com/journals/61fd1b191cf7e96f,6cd7873d3aec47b1,75086009651d6035.html"
32831809,Int J Multiscale Comput Eng,Unknown,2020,10.1615/intjmultcompeng.2020035097,"https://www.dl.begellhouse.com/journals/61fd1b191cf7e96f,63d72f6c52649c9b,54bdf00a73b2433a.html"
38884265,Int J Med Mushrooms,Unknown,2024,10.1615/IntJMedMushrooms.2024053282,"https://www.dl.begellhouse.com/journals/708ae68d64b17c52,3360fe912a836f75,0e28e8902811740c.html"
37824407,Int J Med Mushrooms,Unknown,2023,10.1615/IntJMedMushrooms.2023049470,"https://www.dl.begellhouse.com/journals/708ae68d64b17c52,50d10c7f0c96e039,08ab8f4a1adc251a.html"
32494116,J Porous Media,Unknown,2020,10.1615/JPorMedia.2020028229,"https://www.dl.begellhouse.com/journals/49dcde6d4c0809db,0e39b0426d3caca9,75a944436bf22cf1.html"
38770223,Ethics Biol Eng Med,Unknown,2019,10.1615/EthicsBiologyEngMed.2020033718,"https://www.dl.begellhouse.com/journals/6ed509641f7324e6,09bd16bd0325faaa,06135cef3b45b1aa.html"
24600534,Ethics Biol Eng Med,Unknown,2011,10.1615/EthicsBiologyEngMed.2012004545,"https://www.dl.begellhouse.com/journals/6ed509641f7324e6,506493d3007368d9,1b9410ca722f1df9.html"
34007522,Int J Uncertain Quantif,Unknown,2020,10.1615/int.j.uncertaintyquantification.2020033241,"https://www.dl.begellhouse.com/journals/52034eb04b657aea,3673619972b2eee6,1e15e45e2066d5e0.html"
30854158,Plasma Med,Unknown,2017,10.1615/PlasmaMed.2017019506,"https://www.dl.begellhouse.com/journals/5a5b4a3d419387fb,333d4750362ddd86,254c9c515a385cb6.html"
30701122,For Immunopathol Dis Therap,Unknown,2016,10.1615/ForumImmunDisTher.2017020293,"https://www.dl.begellhouse.com/journals/2c6306423483e001,6deddb8911c6adff,60b813817b293c0d.html"
24286018,For Immunopathol Dis Therap,Unknown,2011,10.1615/ForumImmunDisTher.v2.i2.90,"https://www.dl.begellhouse.com/journals/2c6306423483e001,7fbbfe03365afb86,5143b84d465315b5.html"
37593076,J Women Minor Sci Eng,Unknown,2023,10.1615/jwomenminorscieneng.2022043449,"https://www.dl.begellhouse.com/journals/00551c876cc2f027,5da9f057587a6aeb,1a29001f625fd793.html"
21841904,J Women Minor Sci Eng,Unknown,2009,10.1615/JWomenMinorScienEng.v15.i1.20,"https://www.dl.begellhouse.com/journals/00551c876cc2f027,46b542644d425a20,27f3462c5f03da27.html"
