PMID,Journal,publisher_guess,year,doi,doi_url
38860316,Clin Nephrol,Unknown,2024,10.5414/CN111396,https://www.dustri.com/article-response-page.html?artId=191242&doi=10.5414%2FCN111396
38629745,Clin Nephrol,Unknown,2024,10.5414/CN111295,https://www.dustri.com/article_response_page.html?artId=191152&doi=10.5414/CN111295&L=0
38818730,Clin Neuropathol,Unknown,2024,10.5414/NP301624,https://www.dustri.com/article-response-page.html?artId=191227&doi=10.5414%2FNP301624
37969088,Clin Neuropathol,Unknown,2024,10.5414/NP301594,https://www.dustri.com/article_response_page.html?artId=190742&doi=10.5414/NP301594&L=0
38726563,Int J Clin Pharmacol Ther,Unknown,2024,10.5414/CP204568,https://www.dustri.com/article_response_page.html?artId=191200&doi=10.5414/CP204568&L=0
38660885,Int J Clin Pharmacol Ther,Unknown,2024,10.5414/CP204435,https://www.dustri.com/article_response_page.html?artId=191162&doi=10.5414/CP204435&L=0
38716112,Clin Nephrol Case Stud,Unknown,2024,10.5414/CNCS111301,https://www.dustri.com/article_response_page.html?artId=191169&doi=10.5414/CNCS111301&L=0
37082719,Clin Nephrol Case Stud,Unknown,2023,10.5414/CNCS110854,https://www.dustri.com/article_response_page.html?artId=190238&doi=10.5414/CNCS110854&L=0
38872873,Allergol Select,Unknown,2024,10.5414/ALX02400ECorr,https://www.dustri.com/article_response_page.html?artId=191243&doi=10.5414/ALX02400ECorr&L=0
33615122,Allergol Select,Unknown,2021,10.5414/ALX02204E,https://www.dustri.com/article_response_page.html?artId=187701&doi=10.5414/ALX02204E&L=0
