PMID,Journal,publisher_guess,year,doi,doi_url
38809693,Community Dent Health,Unknown,2024,10.1922/CDH_00060Thwin06,https://dx.doi.org/10.1922/CDH_00060Thwin06
35852365,Can J Microbiol,Unknown,2022,10.1139/cjm-2022-0003,https://dx.doi.org/10.1139/cjm-2022-0003
38228596,Chirurgia (Bucur),Unknown,2023,10.21614/chirurgia.2023.v.118.i.6.p.642,https://dx.doi.org/10.21614/chirurgia.2023.v.118.i.6.p.642
38808439,Zhonghua Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn112139-20240403-00164,https://dx.doi.org/10.3760/cma.j.cn112139-20240403-00164
38808429,Zhonghua Wai Ke Za Zhi,Unknown,2024,10.3760/cma.j.cn112139-20240314-00124,https://dx.doi.org/10.3760/cma.j.cn112139-20240314-00124
12394553,CLAO J,Unknown,2002,10.1097/01.ICL.0000032344.00995.5C,https://dx.doi.org/10.1097/01.ICL.0000032344.00995.5C
30650177,Am J Orthop (Belle Mead NJ),Unknown,2018,10.12788/ajo.2018.0113,https://dx.doi.org/10.12788/ajo.2018.0113
38899568,Ann Ig,Unknown,2024,10.7416/ai.2024.2643,https://dx.doi.org/10.7416/ai.2024.2643
36896954,Ann Ig,Unknown,2023,10.7416/ai.2023.2558,https://dx.doi.org/10.7416/ai.2023.2558
38816244,Br J Gen Pract,Unknown,2024,10.3399/bjgp24X738357,https://dx.doi.org/10.3399/bjgp24X738357
34519647,Magnes Res,Unknown,2021,10.1684/mrh.2021.0483,https://dx.doi.org/10.1684/mrh.2021.0483
38901417,Dermatology,Unknown,2024,10.1159/000539926,https://dx.doi.org/10.1159/000539926
36380831,J Extra Corpor Technol,Unknown,2022,10.1182/ject-50-60,https://dx.doi.org/10.1182/ject-50-60
38814098,Eur J Prosthodont Restor Dent,Unknown,2024,10.1922/EJPRD_2661Comisi13,https://dx.doi.org/10.1922/EJPRD_2661Comisi13
