PMID,Journal,publisher_guess,year,doi,doi_url
38736621,Am J Clin Exp Urol,Unknown,2024,10.62347/MEQO6014,https://e-century.us/files/ajceu/12/2/ajceu0154098.pdf
38859920,Int J Clin Exp Pathol,Unknown,2024,10.62347/IPTW9741,https://e-century.us/files/ijcep/17/5/ijcep0154487.pdf
38883395,Am J Transl Res,Unknown,2024,10.62347/OBQN3015,https://e-century.us/files/ajtr/16/5/ajtr0156070.pdf
38715828,Am J Transl Res,Unknown,2024,10.62347/HCZJ5883,https://e-century.us/files/ajtr/16/4/ajtr0156435.pdf
38765808,Int J Physiol Pathophysiol Pharmacol,Unknown,2024,10.62347/PTUU2265,https://e-century.us/files/ijppp/16/2/ijppp0152319.pdf
38736754,Int J Mol Epidemiol Genet,Unknown,2024,10.62347/EJQK3362,https://e-century.us/files/ijmeg/15/2/ijmeg0154748.pdf
38765876,Int J Biochem Mol Biol,Unknown,2024,10.62347/UVSH8436,https://e-century.us/files/ijbmb/15/2/ijbmb0154788.pdf
38765019,Am J Clin Exp Immunol,Unknown,2024,10.62347/ANLV4963,https://e-century.us/files/ajcei/13/2/ajcei0156730.pdf
38765806,Am J Stem Cells,Unknown,2024,10.62347/DTAP3592,https://e-century.us/files/ajsc/13/2/ajsc0154857.pdf
38764893,Int J Burns Trauma,Unknown,2024,10.62347/MLIW4300,https://e-century.us/files/ijbt/14/2/ijbt0154738.pdf
38737462,Am J Neurodegener Dis,Unknown,2024,10.62347/BKEX3282,https://e-century.us/files/ajnd/13/1/ajnd0155206.pdf
38859869,Am J Cancer Res,Unknown,2024,10.62347/QJBG3026,https://e-century.us/files/ajcr/14/5/ajcr0157251.pdf
38590414,Am J Cancer Res,Unknown,2024,10.62347/TDIV2436,https://e-century.us/files/ajcr/14/3/ajcr0154899.pdf
38737647,Am J Nucl Med Mol Imaging,Unknown,2024,10.62347/GIKK5707,https://e-century.us/files/ajnmmi/14/2/ajnmmi0155751.pdf
38223315,Am J Blood Res,Unknown,2023,10.62347/GPME5540,https://e-century.us/files/ajbr/13/6/ajbr0152876.pdf
38764551,Am J Cardiovasc Dis,Unknown,2024,10.62347/TWBY9801,https://e-century.us/files/ajcd/14/2/ajcd0154910.pdf
