PMID,Journal,publisher_guess,year,doi,doi_url
37042408,Praxis,Unknown,2023,10.1024/1661-8157/a004011,https://econtent.hogrefe.com/doi/10.1024/1661-8157/a004011
38682782,Exp Psychol,Unknown,2024,10.1027/1618-3169/a000608,https://econtent.hogrefe.com/doi/10.1027/1618-3169/a000608
36916698,Exp Psychol,Unknown,2023,10.1027/1618-3169/a000576,https://econtent.hogrefe.com/doi/10.1027/1618-3169/a000576
37214235,J Individ Differ,Unknown,2023,10.1027/1614-0001/a000383,https://econtent.hogrefe.com/doi/10.1027/1614-0001/a000383
25309304,J Individ Differ,Unknown,2013,10.1027/1614-0001/a000103,https://econtent.hogrefe.com/doi/10.1027/1614-0001/a000103
37485035,Eur J Psychol Assess,Unknown,2023,10.1027/1015-5759/a000707,https://econtent.hogrefe.com/doi/10.1027/1015-5759/a000707
34764628,Eur J Psychol Assess,Unknown,2020,10.1027/1015-5759/a000624,https://econtent.hogrefe.com/doi/10.1027/1015-5759/a000624
38770800,Crisis,Unknown,2024,10.1027/0227-5910/a000961,https://econtent.hogrefe.com/doi/10.1027/0227-5910/a000961
35723060,Crisis,Unknown,2023,10.1027/0227-5910/a000863,https://econtent.hogrefe.com/doi/10.1027/0227-5910/a000863
14725102,Swiss Surg,Unknown,2003,10.1024/1023-9332.9.6.315,https://econtent.hogrefe.com/doi/10.1024/1023-9332.9.6.315
38887916,Pflege,Unknown,2024,10.1024/1012-5302/a001002,https://econtent.hogrefe.com/doi/10.1024/1012-5302/a001002
38088250,Pflege,Unknown,2023,10.1024/1012-5302/a000967,https://econtent.hogrefe.com/doi/10.1024/1012-5302/a000967
25419211,Z Klin Psychol Psychother (Gott),Unknown,2013,10.1026/1616-3443/a000213,https://econtent.hogrefe.com/doi/10.1026/1616-3443/a000213
34732969,J Psychophysiol,Unknown,2021,10.1027/0269-8803/a000275,https://econtent.hogrefe.com/doi/10.1027/0269-8803/a000275
22318972,Swiss J Psychol,Unknown,2009,10.1024/1421-0185.68.3.143,https://econtent.hogrefe.com/doi/10.1024/1421-0185.68.3.143
35502297,Sucht,Unknown,2022,10.1024/0939-5911/a000758,https://econtent.hogrefe.com/doi/10.1024/0939-5911/a000758
38904980,Int J Vitam Nutr Res,Unknown,2024,10.1024/0300-9831/a000809,https://econtent.hogrefe.com/doi/10.1024/0300-9831/a000809
34521264,Int J Vitam Nutr Res,Unknown,2022,10.1024/0300-9831/a000728,https://econtent.hogrefe.com/doi/10.1024/0300-9831/a000728
32273834,Z Sportpsychol,Unknown,2019,10.1026/1612-5010/a000273,https://econtent.hogrefe.com/doi/10.1026/1612-5010/a000273
36168524,Eur J Health Psychol,Unknown,2021,10.1027/2512-8442/a000084,https://econtent.hogrefe.com/doi/10.1027/2512-8442/a000084
32671321,Eur J Health Psychol,Unknown,2018,10.1027/2512-8442/a000016,https://econtent.hogrefe.com/doi/10.1027/2512-8442/a000016
29147141,J Media Psychol,Unknown,2017,10.1027/1864-1105/a000222,https://econtent.hogrefe.com/doi/10.1027/1864-1105/a000222
26491487,J Media Psychol,Unknown,2013,10.1027/1864-1105/a000098,https://econtent.hogrefe.com/doi/10.1027/1864-1105/a000098
33927913,Int Perspect Psychol,Unknown,2020,10.1037/ipp0000125,https://econtent.hogrefe.com/doi/10.1037/ipp0000125
25328817,Int Perspect Psychol,Unknown,2014,10.1037/ipp0000016,https://econtent.hogrefe.com/doi/10.1037/ipp0000016
37994309,Eur Psychol,Unknown,2023,10.1027/1016-9040/a000493,https://econtent.hogrefe.com/doi/10.1027/1016-9040/a000493
31496632,Eur Psychol,Unknown,2019,10.1027/1016-9040/a000330,https://econtent.hogrefe.com/doi/10.1027/1016-9040/a000330
28630602,Methodology (Gott),Unknown,2016,10.1027/1614-2241/a000114,https://econtent.hogrefe.com/doi/10.1027/1614-2241/a000114
38809160,Z Kinder Jugendpsychiatr Psychother,Unknown,2024,10.1024/1422-4917/a000981,https://econtent.hogrefe.com/doi/10.1024/1422-4917/a000981
36330728,Z Kinder Jugendpsychiatr Psychother,Unknown,2023,10.1024/1422-4917/a000905,https://econtent.hogrefe.com/doi/10.1024/1422-4917/a000905
37067092,Ther Umsch,Unknown,2023,10.1024/0040-5930/a001413,https://econtent.hogrefe.com/doi/10.1024/0040-5930/a001413
38874211,Vasa,Unknown,2024,10.1024/0301-1526/a001128,https://econtent.hogrefe.com/doi/10.1024/0301-1526/a001128
37122278,Vasa,Unknown,2023,10.1024/0301-1526/a001058,https://econtent.hogrefe.com/doi/10.1024/0301-1526/a001058
28239255,Rorschachiana,Unknown,2016,10.1027/1192-5604/a000076,https://econtent.hogrefe.com/doi/10.1027/1192-5604/a000076
38213784,GeroPsych (Bern),Unknown,2023,10.1024/1662-9647/a000307,https://econtent.hogrefe.com/doi/10.1024/1662-9647/a000307
34326756,GeroPsych (Bern),Unknown,2020,10.1024/1662-9647/a000241,https://econtent.hogrefe.com/doi/10.1024/1662-9647/a000241
30519524,Z Psychol,Unknown,2018,10.1027/2151-2604/a000327,https://econtent.hogrefe.com/doi/10.1027/2151-2604/a000327
36090009,Soc Psychol (Gott),Unknown,2020,10.1027/1864-9335/a000426,https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000426
