PMID,Journal,publisher_guess,year,doi,doi_url
38654894,GMS Interdiscip Plast Reconstr Surg DGPW,Unknown,2024,10.3205/iprs000186,https://www.egms.de/static/en/journals/iprs/2024-13/iprs000186.shtml
38024100,GMS Interdiscip Plast Reconstr Surg DGPW,Unknown,2023,10.3205/iprs000180,https://www.egms.de/static/en/journals/iprs/2023-12/iprs000180.shtml
38779701,GMS J Med Educ,Unknown,2024,10.3205/zma001674,https://www.egms.de/static/en/journals/zma/2024-41/zma001674.shtml
38779699,GMS J Med Educ,Unknown,2024,10.3205/zma001672,https://www.egms.de/static/en/journals/zma/2024-41/zma001672.shtml
24403968,Psychosoc Med,Unknown,2013,10.3205/psm000100,https://www.egms.de/static/en/journals/psm/2013-10/psm000100.shtml
22205919,Thorac Surg Sci,Unknown,2011,10.3205/tss000021,https://www.egms.de/static/en/journals/tss/2011-8/tss000021.shtml
29503670,GMS Curr Top Otorhinolaryngol Head Neck Surg,Unknown,2017,10.3205/cto000144,https://www.egms.de/static/en/journals/cto/2018-16/cto000144.shtml
22558050,GMS Krankenhhyg Interdiszip,Unknown,2012,10.3205/dgkh000200,https://www.egms.de/static/en/journals/dgkh/2012-7/dgkh000200.shtml
20941341,GMS Krankenhhyg Interdiszip,Unknown,2010,10.3205/dgkh000148,https://www.egms.de/static/en/journals/dgkh/2010-5/dgkh000148.shtml
38883339,Ger Med Sci,Unknown,2024,10.3205/000331,https://www.egms.de/static/en/journals/gms/2024-22/000331.shtml
30996721,Ger Med Sci,Unknown,2019,10.3205/000268,https://www.egms.de/static/en/journals/gms/2019-17/000268.shtml
31015866,GMS Health Technol Assess,Unknown,2018,10.3205/hta000130,https://www.egms.de/static/en/journals/hta/2018-14/hta000130.shtml
38883408,GMS Hyg Infect Control,Unknown,2024,10.3205/dgkh000485,https://www.egms.de/static/en/journals/dgkh/2024-19/dgkh000485.shtml
38655119,GMS Hyg Infect Control,Unknown,2024,10.3205/dgkh000465,https://www.egms.de/static/en/journals/dgkh/2024-19/dgkh000465.shtml
26677513,GMS Z Med Ausbild,Unknown,2015,10.3205/zma000977,https://www.egms.de/static/en/journals/zma/2015-32/zma000977.shtml
26413167,GMS Z Med Ausbild,Unknown,2015,10.3205/zma000971,https://www.egms.de/static/en/journals/zma/2015-32/zma000971.shtml
38655192,GMS Health Innov Technol,Unknown,2024,10.3205/hta000139,https://www.egms.de/static/en/journals/hta/2024-18/hta000139.shtml
38550665,GMS Health Innov Technol,Unknown,2024,10.3205/hta000138,https://www.egms.de/static/en/journals/hta/2024-18/hta000138.shtml
38883974,GMS Ophthalmol Cases,Unknown,2024,10.3205/oc000237,https://www.egms.de/static/en/journals/oc/2024-14/oc000237.shtml
38111470,GMS Ophthalmol Cases,Unknown,2023,10.3205/oc000228,https://www.egms.de/static/en/journals/oc/2023-13/oc000228.shtml
38764941,GMS Infect Dis,Unknown,2024,10.3205/id000086,https://www.egms.de/static/en/journals/id/2024-12/id000086.shtml
32373443,GMS Infect Dis,Unknown,2020,10.3205/id000062,https://www.egms.de/static/en/journals/id/2020-8/id000062.shtml
