PMID,Journal,publisher_guess,year,doi,doi_url
38566880,Med Arch,Unknown,2024,10.5455/medarh.2024.78.177-179,https://www.ejmanager.com/fulltextpdf.php?mno=194832
29644116,Ann Paediatr Rheumatol,Unknown,2017,10.5455/apr.031320170835,https://www.ejmanager.com/fulltextpdf.php?mno=256075
38590604,Mater Sociomed,Unknown,2024,10.5455/msm.2024.36.82-89,https://www.ejmanager.com/fulltextpdf.php?mno=195573
32566928,Ann Med Res,Unknown,2019,10.5455/annalsmedres.2019.09.542,https://www.ejmanager.com/fulltextpdf.php?mno=65197
38808298,Open Vet J,Unknown,2024,10.5455/OVJ.2024.v14.i4.10,https://www.ejmanager.com/fulltextpdf.php?mno=185110
38633163,Open Vet J,Unknown,2024,10.5455/OVJ.2024.v14.i1.42,https://www.ejmanager.com/fulltextpdf.php?mno=181966
28894634,J Intercult Ethnopharmacol,Unknown,2017,10.5455/jice.20170511061624,https://www.ejmanager.com/fulltextpdf.php?mno=259510
38680816,J Adv Vet Anim Res,Unknown,2024,10.5455/javar.2024.k747,https://www.ejmanager.com/fulltextpdf.php?mno=165308
38370887,J Adv Vet Anim Res,Unknown,2023,10.5455/javar.2023.j731,https://www.ejmanager.com/fulltextpdf.php?mno=172501
37663109,Sudan J Paediatr,Unknown,2023,10.24911/SJP.106-1686963698,https://www.ejmanager.com/fulltextpdf.php?mno=157822
35221425,Sudan J Paediatr,Unknown,2021,10.24911/SJP.106-1602600969,https://www.ejmanager.com/fulltextpdf.php?mno=12863
37180492,Alex J Vet Sci,Unknown,2021,10.5455/ajvs.59420,https://www.ejmanager.com/fulltextpdf.php?mno=59420
