PMID,Journal,publisher_guess,year,doi,doi_url
11617596,Libr Rev (Lond),Unknown,1969,10.1108/eb012521,https://www.emerald.com/insight/content/doi/10.1108/eb012521/full/html
26855615,Clin Gov,Unknown,2014,10.1108/CGIJ-03-2014-0015,https://www.emerald.com/insight/content/doi/10.1108/CGIJ-03-2014-0015/full/html
27066217,Adv Ment Health Intellect Disabil,Unknown,2016,10.1108/AMHID-10-2015-0050,https://www.emerald.com/insight/content/doi/10.1108/AMHID-10-2015-0050/full/html
28824338,Res Sociol Educ,Unknown,2016,10.1108/s1479-353920150000019003,https://www.emerald.com/insight/content/doi/10.1108/S1479-353920150000019003/full/html
25414590,J Financ Crime,Unknown,2010,10.1108/13590791011056318,https://www.emerald.com/insight/content/doi/10.1108/13590791011056318/full/html
25346778,Ethn Inequal Health Soc Care,Unknown,2013,10.1108/EIHSC-08-2013-0013,https://www.emerald.com/insight/content/doi/10.1108/EIHSC-08-2013-0013/full/html
35432816,Ment Illn,Unknown,2021,10.1108/MIJ-05-2021-0002,https://www.emerald.com/insight/content/doi/10.1108/MIJ-05-2021-0002/full/html
32742627,Ment Illn,Unknown,2020,10.1108/MIJ-10-2019-0002,https://www.emerald.com/insight/content/doi/10.1108/MIJ-10-2019-0002/full/html
37957840,Int J Health Care Qual Assur,Unknown,2023,10.1108/IJHCQA-06-2023-0045,https://www.emerald.com/insight/content/doi/10.1108/IJHCQA-06-2023-0045/full/html
32129579,Int J Health Care Qual Assur,Unknown,2020,10.1108/IJHCQA-08-2018-0212,https://www.emerald.com/insight/content/doi/10.1108/IJHCQA-08-2018-0212/full/html
12534168,J Manag Med,Unknown,2002,10.1108/02689230210450016,https://www.emerald.com/insight/content/doi/10.1108/02689230210450016/full/html
10787501,J Manag Med,Unknown,1999,10.1108/02689239910294655,https://www.emerald.com/insight/content/doi/10.1108/02689239910294655/full/html
12280422,Eur J Mark,Unknown,1982,10.1108/eum0000000004854,https://www.emerald.com/insight/content/doi/10.1108/EUM0000000004854/full/html
37192870,Policing,Unknown,2022,10.1108/pijpsm-02-2022-0022,https://www.emerald.com/insight/content/doi/10.1108/PIJPSM-02-2022-0022/full/html
32714068,Policing,Unknown,2019,10.1108/pijpsm-04-2019-0055,https://www.emerald.com/insight/content/doi/10.1108/PIJPSM-04-2019-0055/full/html
38884379,Leadersh Health Serv (Bradf Engl),Unknown,2024,10.1108/LHS-01-2024-0008,https://www.emerald.com/insight/content/doi/10.1108/LHS-01-2024-0008/full/html
