PMID,Journal,publisher_guess,year,doi,doi_url
38239761,Multiscale Model Simul,Unknown,2021,10.1137/20m1343166,https://epubs.siam.org/doi/10.1137/20M1343166
19081755,Multiscale Model Simul,Unknown,2006,10.1137/060663040,https://epubs.siam.org/doi/10.1137/060663040
38550750,SIAM J Imaging Sci,Unknown,2024,10.1137/22m1516907,https://epubs.siam.org/doi/10.1137/22M1516907
29051796,SIAM J Imaging Sci,Unknown,2017,10.1137/16M1058601,https://epubs.siam.org/doi/10.1137/16M1058601
35509686,Proc SIAM Int Conf Data Min,Unknown,2022,10.1137/1.9781611977172.81,https://epubs.siam.org/doi/10.1137/1.9781611977172.81
21544257,Proc SIAM Int Conf Data Min,Unknown,2010,10.1137/1.9781611972801.55,https://epubs.siam.org/doi/10.1137/1.9781611972801.55
28983130,SIAM J Numer Anal,Unknown,2017,10.1137/15M1040244,https://epubs.siam.org/doi/10.1137/15M1040244
23637467,SIAM J Numer Anal,Unknown,2011,10.1137/100785946,https://epubs.siam.org/doi/10.1137/100785946
32273646,SIAM J Discret Math,Unknown,2020,10.1137/19m1262206,https://epubs.siam.org/doi/10.1137/19M1262206
38835972,SIAM J Appl Dyn Syst,Unknown,2023,10.1137/22m1521201,https://epubs.siam.org/doi/10.1137/22M1521201
25620893,SIAM J Appl Dyn Syst,Unknown,2015,10.1137/140975929,https://epubs.siam.org/doi/10.1137/140975929
30287973,SIAM Rev Soc Ind Appl Math,Unknown,2018,10.1137/16M1096840,https://epubs.siam.org/doi/10.1137/16M1096840
18080006,SIAM Rev Soc Ind Appl Math,Unknown,2006,10.1137/050632907,https://epubs.siam.org/doi/10.1137/050632907
38239302,SIAM J Matrix Anal Appl,Unknown,2022,10.1137/21m1418927,https://epubs.siam.org/doi/10.1137/21M1418927
34295018,SIAM J Matrix Anal Appl,Unknown,2018,10.1137/17m1133312,https://epubs.siam.org/doi/10.1137/17M1133312
33071533,SIAM J Sci Comput,Unknown,2020,10.1137/19M1275280,https://epubs.siam.org/doi/10.1137/19M1275280
28190948,SIAM J Sci Comput,Unknown,2016,10.1137/15M1014784,https://epubs.siam.org/doi/10.1137/15M1014784
37200831,SIAM J Optim,Unknown,2022,10.1137/21m1422707,https://epubs.siam.org/doi/10.1137/21M1422707
29805242,SIAM J Optim,Unknown,2018,10.1137/16M108940X,https://epubs.siam.org/doi/10.1137/16M108940X
38912397,SIAM J Appl Math,Unknown,2024,10.1137/22m1509308,https://epubs.siam.org/doi/10.1137/22M1509308
36314039,SIAM J Appl Math,Unknown,2022,10.1137/21m1434180,https://epubs.siam.org/doi/10.1137/21M1434180
36338855,SIAM J Control Optim,Unknown,2022,10.1137/20m1353289,https://epubs.siam.org/doi/10.1137/20M1353289
31772419,SIAM J Control Optim,Unknown,2018,10.1137/15M1047805,https://epubs.siam.org/doi/10.1137/15M1047805
37576699,SIAM J Math Data Sci,Unknown,2022,10.1137/21m1456807,https://epubs.siam.org/doi/10.1137/21M1456807
37859797,SIAM J Math Data Sci,Unknown,2021,10.1137/20m133097x,https://epubs.siam.org/doi/10.1137/20M133097X
38835617,Proc Annu ACM SIAM Symp Discret Algorithms,Unknown,2023,10.1137/1.9781611977554.ch187,https://epubs.siam.org/doi/10.1137/1.9781611977554.ch187
33163826,SIAM J Appl Algebr Geom,Unknown,2019,10.1137/18m1194134,https://epubs.siam.org/doi/10.1137/18M1194134
