PMID,Journal,publisher_guess,year,doi,doi_url
24244045,Etud Int,Unknown,2010,10.7202/045563ar,https://www.erudit.org/fr/revues/ei/2010-v41-n4-ei3995/045563ar/
16808054,Rev Hist Am Fr,Unknown,2001,10.7202/010368ar,https://www.erudit.org/fr/revues/haf/2001-v55-n2-haf856/010368ar/
29445251,Criminologie (Montr),Unknown,2017,10.7202/1039801ar,https://www.erudit.org/fr/revues/crimino/2017-v50-n1-crimino03059/1039801ar/
11614608,Hist Pap Can Hist Assoc,Unknown,1977,10.7202/030824ar,https://www.erudit.org/fr/revues/hp/1977-v12-n1-hp1112/030824ar/
22043659,Sci Can,Unknown,2010,10.7202/1006149ar,https://www.erudit.org/fr/revues/scientia/2010-v33-n2-scientia1821474/1006149ar/
11613672,Hstc Bull,Unknown,1983,10.7202/800166ar,https://www.erudit.org/fr/revues/hstc/1983-v7-n2-hstc3214/800166ar/
27226654,Sociol Soc,Unknown,2014,10.7202/1027149ar,https://www.erudit.org/fr/revues/socsoc/2014-v46-n2-socsoc01572/1027149ar/
24795486,Serv Soc Que,Unknown,2009,10.7202/029491ar,https://www.erudit.org/fr/revues/ss/2009-v55-n1-ss2891/029491ar/
27346921,Cah Que Demogr,Unknown,2009,10.7202/039991ar,https://www.erudit.org/fr/revues/cqd/2009-v38-n1-cqd3867/039991ar/
11656761,Rev Gen Droit,Unknown,1996,10.7202/1035839ar,https://www.erudit.org/fr/revues/rgd/1996-v27-n1-rgd02434/1035839ar/
