PMID,Journal,publisher_guess,year,doi,doi_url
29200509,Scott Hist Rev,Unknown,2017,10.3366/shr.2017.0335,https://www.euppublishing.com/doi/10.3366/shr.2017.0335
22276330,Scott Hist Rev,Unknown,1999,10.3366/shr.1999.78.2.192,https://www.euppublishing.com/doi/10.3366/shr.1999.78.2.192
18072305,Libr Hist,Unknown,2001,10.1179/lib.2001.17.2.83,https://www.euppublishing.com/doi/10.1179/lib.2001.17.2.83
18982547,North Scotl,Unknown,2001,10.3366/nor.2001.0003,https://www.euppublishing.com/doi/10.3366/nor.2001.0003
18649424,North Scotl,Unknown,2001,10.3366/nor.2001.0009,https://www.euppublishing.com/doi/10.3366/nor.2001.0009
31523202,Psychoanal Hist,Unknown,2019,10.3366/pah.2019.0281,https://www.euppublishing.com/doi/10.3366/pah.2019.0281
21970024,Psychoanal Hist,Unknown,2011,10.3366/pah.2011.0088,https://www.euppublishing.com/doi/10.3366/pah.2011.0088
19489176,Scott Econ Soc Hist,Unknown,2002,10.3366/jshs.2002.22.1.23,https://www.euppublishing.com/doi/10.3366/jshs.2002.22.1.23
18217292,Hist Comput,Unknown,2001,10.3366/hac.2001.13.2.199,https://www.euppublishing.com/doi/10.3366/hac.2001.13.2.199
12227361,Hist Comput,Unknown,1999,10.3366/hac.1999.11.3.195,https://www.euppublishing.com/doi/10.3366/hac.1999.11.3.195
25684835,Arch Nat Hist,Unknown,2013,10.3366/anh.2013.0155,https://www.euppublishing.com/doi/10.3366/anh.2013.0155
11622401,Arch Nat Hist,Unknown,1987,10.3366/anh.1987.14.1.3,https://www.euppublishing.com/doi/10.3366/anh.1987.14.1.3
32733118,Scott Aff,Unknown,2020,10.3366/scot.2020.0304,https://www.euppublishing.com/doi/10.3366/scot.2020.0304
