PMID,Journal,publisher_guess,year,doi,doi_url
38751602,Curr Genomics,Unknown,2024,10.2174/0113892029284920240212091903,https://www.eurekaselect.com/article/138536
36778193,Curr Genomics,Unknown,2022,10.2174/1389202923666220518095758,https://www.eurekaselect.com/article/123710
38867537,Curr Mol Med,Unknown,2024,10.2174/0115665240310818240531080353,https://www.eurekaselect.com/article/140986
37877564,Curr Mol Med,Unknown,2023,10.2174/0115665240264547231017110613,https://www.eurekaselect.com/article/135529
38867521,Curr Top Med Chem,Unknown,2024,10.2174/0115680266297662240527105450,https://www.eurekaselect.com/article/140968
38318823,Curr Top Med Chem,Unknown,2024,10.2174/0115680266280249240126052505,https://www.eurekaselect.com/article/138316
27853671,Curr Tissue Eng,Unknown,2016,10.2174/2211542005666160725154356,https://www.eurekaselect.com/article/77323
26767546,Recent Adv Cardiovasc Drug Discov,Unknown,2015,10.2174/157489011001160111163856,https://www.eurekaselect.com/article/72994
26567722,Recent Adv Cardiovasc Drug Discov,Unknown,2015,10.2174/1574890110666151116144725,https://www.eurekaselect.com/article/71877
35178342,Clin Cancer Drugs,Unknown,2021,10.2174/2212697x08666210219101023,https://www.eurekaselect.com/article/114375
29046866,Clin Cancer Drugs,Unknown,2016,10.2174/2212697X03666160610085943,https://www.eurekaselect.com/article/76451
35782673,Antiinfect Agents,Unknown,2022,10.2174/2211352520666220104104747,https://www.eurekaselect.com/article/119931
27088075,Antiinfect Agents,Unknown,2016,10.2174/2211352514666151119211107,https://www.eurekaselect.com/article/71963
34504762,Curr Chromatogr,Unknown,2020,10.2174/2213240606666190912161221,https://www.eurekaselect.com/article/100775
28553575,Nat Prod J,Unknown,2016,10.2174/2210315506999151207145020,https://www.eurekaselect.com/article/72298
29213223,Curr Pharm Anal,Unknown,2017,10.2174/1573412913666170330150807,https://www.eurekaselect.com/article/82580
27134615,Curr Pharm Anal,Unknown,2008,10.2174/157341208783497579,https://www.eurekaselect.com/article/11302
38841735,Microrna,Unknown,2024,10.2174/221153661301240226102741,https://www.eurekaselect.com/article/138773
35307000,Microrna,Unknown,2022,10.2174/2211536611666220318142031,https://www.eurekaselect.com/article/121695
30450022,Curr Womens Health Rev,Unknown,2018,10.2174/1573404813666170323154244,https://www.eurekaselect.com/article/82459
25473384,Curr Womens Health Rev,Unknown,2011,10.2174/157340411796355216,https://www.eurekaselect.com/article/33409
32013813,Curr Med Imaging Rev,Unknown,2019,10.2174/1573405614666181115120109,https://www.eurekaselect.com/article/94570
32008558,Curr Med Imaging Rev,Unknown,2019,10.2174/1573405614666180807113422,https://www.eurekaselect.com/article/92217
19865585,Curr Med Chem Immunol Endocr Metab Agents,Unknown,2005,10.2174/156801305774962204,https://www.eurekaselect.com/article/35336
35967986,Lett Org Chem,Unknown,2022,10.2174/1570178619666211231113033,https://www.eurekaselect.com/article/119844
26120289,Lett Org Chem,Unknown,2015,10.2174/1570178612666150220225335,https://www.eurekaselect.com/article/65342
29151823,Curr Proteomics,Unknown,2017,10.2174/1570164614666170310142405,https://www.eurekaselect.com/article/82237
25705143,Curr Proteomics,Unknown,2011,10.2174/157016411798220871,https://www.eurekaselect.com/article/39808
38812423,Curr Hypertens Rev,Unknown,2024,10.2174/0115734021283836240522120929,https://www.eurekaselect.com/article/140694
31721716,Curr Hypertens Rev,Unknown,2020,10.2174/1573402115666191112122339,https://www.eurekaselect.com/article/102270
37900701,Curr Bioact Compd,Unknown,2023,10.2174/1573407218666220615143502,https://www.eurekaselect.com/article/124494
27630537,Curr Bioact Compd,Unknown,2009,10.2174/157340709789054722,https://www.eurekaselect.com/article/14871
36561765,Curr Anal Chem,Unknown,2022,10.2174/1573411018666220321102736,https://www.eurekaselect.com/article/121723
30581377,Curr Anal Chem,Unknown,2018,10.2174/1573411013666171113144352,https://www.eurekaselect.com/article/86837
38879777,Curr Rheumatol Rev,Unknown,2024,10.2174/0115733971304742240531080936,https://www.eurekaselect.com/article/141074
38314593,Curr Rheumatol Rev,Unknown,2024,10.2174/0115733971263972231124111042,https://www.eurekaselect.com/article/137724
38867524,Curr Comput Aided Drug Des,Unknown,2024,10.2174/0115734099305519240531053135,https://www.eurekaselect.com/article/140980
37309761,Curr Comput Aided Drug Des,Unknown,2024,10.2174/1573409919666230612120819,https://www.eurekaselect.com/article/132467
38500957,Curr Bioinform,Unknown,2024,10.2174/1574893618666230505101059,https://www.eurekaselect.com/article/131515
22438836,Curr Bioinform,Unknown,2012,10.2174/157489312799304431,https://www.eurekaselect.com/article/34572
26005400,Curr Signal Transduct Ther,Unknown,2014,10.2174/1574362410666150205165504,https://www.eurekaselect.com/article/65019
20396401,Curr Signal Transduct Ther,Unknown,2010,10.2174/157436210790226537,https://www.eurekaselect.com/article/30368
27594818,Curr Drug ther,Unknown,2016,10.2174/1574885511666160421145036,https://www.eurekaselect.com/article/75119
20160875,Curr Drug ther,Unknown,2009,10.2174/157488509788185123,https://www.eurekaselect.com/article/14054
30369968,Immunol Endocr Metab Agents Med Chem,Unknown,2018,10.2174/1871522218666180608114536,https://www.eurekaselect.com/article/92845
26635907,Immunol Endocr Metab Agents Med Chem,Unknown,2009,10.2174/187152209788009850,https://www.eurekaselect.com/article/29198
38910271,Curr Aging Sci,Unknown,2024,10.2174/0118746098308597240527114223,https://www.eurekaselect.com/article/141127
34109918,Curr Aging Sci,Unknown,2022,10.2174/1874609814666210607154838,https://www.eurekaselect.com/article/116010
19829748,Curr Med Chem Anti Inflamm Anti Allergy Agents,Unknown,2005,10.2174/156801405774933188,https://www.eurekaselect.com/article/35290
38860906,Curr Gene Ther,Unknown,2024,10.2174/0115665232291487240603093218,https://www.eurekaselect.com/article/140949
35345999,Curr Gene Ther,Unknown,2023,10.2174/1566523222666220328142427,https://www.eurekaselect.com/article/121940
38910429,Curr Protein Pept Sci,Unknown,2024,10.2174/0113892037274615240528113148,https://www.eurekaselect.com/article/141201
37102480,Curr Protein Pept Sci,Unknown,2023,10.2174/1389203724666230427112149,https://www.eurekaselect.com/article/131253
38860904,Curr Cancer Drug Targets,Unknown,2024,10.2174/0115680096298370240520093003,https://www.eurekaselect.com/article/140951
38623975,Curr Cancer Drug Targets,Unknown,2024,10.2174/0115680096295070240318075023,https://www.eurekaselect.com/article/139738
38910421,Protein Pept Lett,Unknown,2024,10.2174/0109298665312274240530060233,https://www.eurekaselect.com/article/141206
37231716,Protein Pept Lett,Unknown,2023,10.2174/0929866530666230525162545,https://www.eurekaselect.com/article/132096
30271314,Curr Respir Med Rev,Unknown,2018,10.2174/1573398X14666180430144452,https://www.eurekaselect.com/article/90086
35505688,Curr Respir Med Rev,Unknown,2013,10.2174/1573398x09666131121231852,https://www.eurekaselect.com/article/57585
38676510,Curr Mol Pharmacol,Unknown,2024,10.2174/0118761429257350231212093136,https://www.eurekaselect.com/article/138645
36263474,Curr Mol Pharmacol,Unknown,2023,10.2174/1874467216666221017122105,https://www.eurekaselect.com/article/127016
29714154,Curr Drug Abuse Rev,Unknown,2017,10.2174/1874473711666180418164130,https://www.eurekaselect.com/article/89830
24308519,Curr Drug Abuse Rev,Unknown,2013,10.2174/1874473706666131205152404,https://www.eurekaselect.com/article/57874
33327908,Curr Clin Pharmacol,Unknown,2020,10.2174/157488471503201110093435,https://www.eurekaselect.com/article/111319
31750806,Curr Clin Pharmacol,Unknown,2020,10.2174/1574884714666191120124548,https://www.eurekaselect.com/article/102497
38910480,Curr Drug Saf,Unknown,2024,10.2174/0115748863297885240604111018,https://www.eurekaselect.com/article/141159
36515032,Curr Drug Saf,Unknown,2023,10.2174/1574886318666221213102924,https://www.eurekaselect.com/article/128232
