journal_abbrev,oldest_PMID,newest_PMID,random_PMID,FindIt_coverage
AADE Ed J,6964300,6964300,6939207,False
AANA J,38809212,38809212,37987722,False
AARN News Lett,10594996,10594996,9306757,False
Nihon Shika Hyoron,6576592,6576592,6576563,False
Acad Peru Cir,5840606,5840606,14324647,False
Acad Rev Calif Acad Periodontol,5213408,5213408,5213406,False
Acarologia,6516720,6516720,773075,False
Acquis Med Recent,7315176,7315176,757741,False
Act Nerv Super (Praha),2127979,2127979,2363344,False
Acta Allergol,579540,579540,70944,False
Acta Anaesthesiol,5172570,5172570,5538131,False
Acta Anaesthesiol Belg,27363215,27363215,26767231,False
Acta Anaesthesiol Scand,N/A,N/A,N/A,True
Acta Anaesthesiol Scand Suppl,19519680,19519680,9420991,False
Acta Anat (Basel),10072572,10072572,9852349,False
Kaibogaku Zasshi,30290086,30290086,20030187,False
Acta Biochim Biophys Acad Sci Hung,3939389,3939389,6121442,False
Acta Biochim Pol,38863652,38863652,37672720,False
Across Board (NY),10301935,10301935,10260565,False
Acta Biol Acad Sci Hung,7180321,7180321,6452779,False
Acad Manage Rev,16871321,16871321,10106335,False
Acta Biochim Biophys Hung,1844807,1844807,3137755,False
Acta Biol Exp (Warsz),5393933,5393933,5393933,False
Acad Manage J,26412860,26412860,10246525,False
Acta Belg Med Phys,2151500,2151500,2690544,False
Shi Yan Sheng Wu Xue Bao,16416974,16416974,16231693,False
Acta Biol Hung,30587025,30587025,30587020,False
Acta Biol Med (Gdansk),4845771,4845771,4845767,False
Acta Biol Med Ger,7170874,7170874,7164703,False
Acta Biomed Ateneo Parmense,12233272,12233272,11424810,False
Acta Biotheor,38869631,38869631,36378337,False
Acta Cancerol (Lima),5856766,5856766,13944018,False
Acta Cardiol,N/A,N/A,N/A,True
Acta Chem Scand A,11542008,11542008,4462353,False
Acta Chem Scand B,3239322,3239322,3577554,False
Acta Chir Acad Sci Hung,7186253,7186253,7168269,False
Acta Chir Hung,10935145,10935145,10596328,False
Acta Cardiol Suppl,1950295,1950295,6977977,False
Acta Chir Belg,38904551,38904551,37615953,False
Acta Chir Ital,5317126,5317126,5523157,False
Acta Chir Iugosl,25782238,25782238,24669565,False
Acta Chir Orthop Traumatol Cech,38801669,38801669,38191545,False
Acta Chir Plast,38704238,38704238,35397780,False
Acta Chir Scand,2075781,2075781,2190440,False
Acta Chir Scand Suppl,1828126,1828126,1705072,False
Acta Cient Venez,15916183,15916183,15916174,False
Acta Clin Belg,38869234,38869234,35876324,False
Acta Clin Belg Suppl,8517096,8517096,2239065,False
Acta Clin Odontol,2135765,2135765,3269141,False
Acta Crystallogr,5630502,5630502,14289668,False
Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr,5501893,5501893,5799609,False
Acta Cytol,N/A,N/A,N/A,True
Acta Embryol Morphol Exp (Halocynthia Assoc),6686912,6686912,6277123,False
Acta Dermatol Kyoto Engl Ed,5756554,5756554,5756962,False
Acta Derm Venereol,38899442,38899442,38348724,False
Acta Derm Venereol Suppl (Stockh),16568575,16568575,8073831,False
Hifuka Kiyo,5170323,5170323,4164332,False
Acta Diabetol Lat,N/A,N/A,N/A,True
Acta Embryol Exp (Palermo),583557,583557,562573,False
Acta Embryol Morphol Exp,6686912,6686912,5756459,False
Acta Endocrinol (Copenh),8109193,8109193,8237252,False
Acta Endocrinol Suppl (Copenh),3165235,3165235,3475923,False
Acta Eur Fertil,9098478,9098478,7985464,False
Acta Gastroenterol Belg,38431795,38431795,38431791,False
Acta Gastroenterol Latinoam,28704024,28704024,28590107,False
Acta Genet Stat Med,N/A,N/A,N/A,True
Acta Genet Med Gemellol (Roma),10916571,10916571,8872021,False
Acta Gerontol (Milano),5026653,5026653,5606554,False
Acta Ginecol (Madr),12281277,12281277,1124635,False
Acta Gynaecol Obstet Hisp Lusit,6011250,6011250,14055737,False
Acta Haematol,N/A,N/A,N/A,True
Nihon Ketsueki Gakkai Zasshi,2386010,2386010,2588943,False
Acta Haematol Pol,32226060,32226060,32226059,False
Acta Hepatogastroenterol (Stuttg),549435,549435,37687,False
Acta Hist Sci Nat Med,11619800,11619800,24538335,False
Acta Histochem,N/A,N/A,N/A,True
Acta Iber Radiol Cancerol,5736860,5736860,14305933,False
Acta Isot (Padova),5527118,5527118,5746332,False
Acta Leiden,1485498,1485498,1820707,False
Igaku Kenkyu,8023655,8023655,8279242,False
Acta Med Acad Sci Hung,7185250,7185250,7180357,False
Acta Med Austriaca,15747996,15747996,14671824,False
Acta Med Austriaca Suppl,15202438,15202438,12506761,False
