PMID,Journal,publisher_guess,year,doi,doi_url
32219197,J Psychiatry Psychiatr Disord,Unknown,2019,10.26502/jppd.2572-519X0077,http://www.fortunejournals.com/articles/prenatal-exposure-to-famine-and-risk-for-development-of-psychopathology-in-adulthood-a-metaanalysis.html
37384337,J Food Sci Nutr Res,Unknown,2023,10.26502/jfsnr.2642-110000129,https://www.fortunejournals.com/articles/macronutrient-adequacy-of-a-mediterraneantype-meal-examined-at-recommended-and-below-recommended-energy-values.html
32455345,J Food Sci Nutr Res,Unknown,2019,10.26502/jfsnr.2642-11000022,http://www.fortunejournals.com/articles/timelimited-eating-in-pediatric-patients-with-obesitya-case-series.html
38344217,J Cancer Sci Clin Ther,Unknown,2024,10.26502/jcsct.5079218,https://www.fortunejournals.com/articles/a-web-application-for-predicting-drug-combination-efficacy-using-monotherapy-data-and-idacombo.html
35601813,J Cancer Sci Clin Ther,Unknown,2021,10.26502/jcsct.5079114,https://www.fortunejournals.com/articles/clinical-experience-using-osimertinib-in-patients-with-recurrent-malignant-gliomas-containing-egfr-alterations.html
38872898,J Surg Res (Houst),Unknown,2024,10.26502/jsr.10020363,https://www.fortunejournals.com/articles/understanding-fibrous-tissue-in-the-effective-healing-of-rotator-cuff-injury.html
36578374,J Surg Res (Houst),Unknown,2022,10.26502/jsr.10020250,https://www.fortunejournals.com/articles/mastectomy-and-immediate-breast-reconstruction-with-prepectoral-or-sub-pectoral-implant-assessing-clinical-practice-postsurgical-o.html
37583647,Arch Clin Biomed Res,Unknown,2023,10.26502/acbr.50170323,https://www.fortunejournals.com/articles/comparative-analysis-of-global-hepatic-gene-expression-in-adolescents-and-adults-with-nonalcoholic-fatty-liver-disease.html
36938368,Arch Clin Biomed Res,Unknown,2023,10.26502/acbr.50170318,https://www.fortunejournals.com/articles/rapid-realtime-squiggle-classification-for-read-until-using-rawmap.html
37034269,Arch Clin Med Case Rep,Unknown,2023,10.26502/acmcr.96550583,https://www.fortunejournals.com/articles/implantation-of-embryonic-cardiomyocytes-in-a-postinfarction-myocardium-a-longterm-outcome-after-25-years-of-followup.html
36873804,Arch Clin Med Case Rep,Unknown,2023,10.26502/acmcr.96550573,https://www.fortunejournals.com/articles/ovarian-dysgerminoma-ndash-challenging-presurgical-diagnosis-and-minimally-invasive-treatment.html
37288271,J Womens Health Dev,Unknown,2023,10.26502/fjwhd.2644-288400108,https://www.fortunejournals.com/articles/placental-fatty-acid-metabolism-and-transport-in-a-rat-model-of-gestational-diabetes-mellitus.html
33860278,J Womens Health Dev,Unknown,2021,10.26502/fjwhd.2644-28840059,https://www.fortunejournals.com/articles/a-metaanalysis-of-postpartum-copper-iud-continuation-rates-in-low-and-middleincome-countries.html
38660332,J Pediatr Perinatol Child Health,Unknown,2024,10.26502/jppch.74050172,https://www.fortunejournals.com/articles/de-novo-crohnrsquos-disease-diagnosed-in-the-setting-of-acute-sarscov-2-infection-requiring-escalation-of-infliximab-therapy-guide.html
36398116,J Pediatr Perinatol Child Health,Unknown,2022,10.26502/jppch.74050129,https://www.fortunejournals.com/articles/system-space-staff-and-stuff-framework-in-establishing-a-new-pediatric-critical-care-unit-picu-4s-framework.html
38817407,Cardiol Cardiovasc Med,Unknown,2024,10.26502/fccm.92920380,https://www.fortunejournals.com/articles/targeting-oncostatin-m-receptor-to-attenuate-carotid-artery-plaque-vulnerability-in-hypercholesterolemic-microswine.html
34497977,Cardiol Cardiovasc Med,Unknown,2021,10.26502/fccm.92920215,https://www.fortunejournals.com/articles/transcriptional-regulation-of-structural-and-functional-adaptations-in-a-developing-adulthood-myocardium.html
