PMID,Journal,publisher_guess,year,doi,doi_url
38915889,Front Vet Sci,Unknown,2024,10.3389/fvets.2024.1393276,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2024.1393276/full
38863451,Front Vet Sci,Unknown,2024,10.3389/fvets.2024.1394055,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2024.1394055/full
38915744,Front Cardiovasc Med,Unknown,2024,10.3389/fcvm.2024.1367623,https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2024.1367623/full
38911519,Front Cardiovasc Med,Unknown,2024,10.3389/fcvm.2024.1359657,https://www.frontiersin.org/journals/cardiovascular-medicine/articles/10.3389/fcvm.2024.1359657/full
38915904,Front Chem,Unknown,2024,10.3389/fchem.2024.1426634,https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2024.1426634/full
38903204,Front Chem,Unknown,2024,10.3389/fchem.2024.1420040,https://www.frontiersin.org/journals/chemistry/articles/10.3389/fchem.2024.1420040/full
38915448,Front Cell Dev Biol,Unknown,2024,10.3389/fcell.2024.1397954,https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2024.1397954/full
38726320,Front Cell Dev Biol,Unknown,2024,10.3389/fcell.2024.1387198,https://www.frontiersin.org/journals/cell-and-developmental-biology/articles/10.3389/fcell.2024.1387198/full
38915337,Front Bioeng Biotechnol,Unknown,2024,10.3389/fbioe.2024.1384599,https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2024.1384599/full
38835975,Front Bioeng Biotechnol,Unknown,2024,10.3389/fbioe.2024.1356028,https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2024.1356028/full
38628570,Front Ecol Evol,Unknown,2024,10.3389/fevo.2024.1290090,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2024.1290090/full
31431897,Front Ecol Evol,Unknown,2019,10.3389/fevo.2019.00085,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2019.00085/full
23372549,Front Evol Neurosci,Unknown,2013,10.3389/fnevo.2013.00001,https://www.frontiersin.org/journals/evolutionary-neuroscience/articles/10.3389/fnevo.2013.00001/full
22180743,Front Evol Neurosci,Unknown,2011,10.3389/fnevo.2011.00006,https://www.frontiersin.org/journals/evolutionary-neuroscience/articles/10.3389/fnevo.2011.00006/full
38516293,Front Ecol Environ,Unknown,2023,10.3389/fevo.2023.1290662,https://www.frontiersin.org/journals/ecology-and-evolution/articles/10.3389/fevo.2023.1290662/full
36742289,Frontiers (Boulder),Unknown,2022,10.3389/fviro.2022.833106,https://www.frontiersin.org/journals/virology/articles/10.3389/fviro.2022.833106/full
38915938,Front Mol Neurosci,Unknown,2024,10.3389/fnmol.2024.1409401,https://www.frontiersin.org/journals/molecular-neuroscience/articles/10.3389/fnmol.2024.1409401/full
38650658,Front Mol Neurosci,Unknown,2024,10.3389/fnmol.2024.1268013,https://www.frontiersin.org/journals/molecular-neuroscience/articles/10.3389/fnmol.2024.1268013/full
38903957,Front Neural Circuits,Unknown,2024,10.3389/fncir.2024.1406218,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2024.1406218/full
37469833,Front Neural Circuits,Unknown,2023,10.3389/fncir.2023.1197541,https://www.frontiersin.org/journals/neural-circuits/articles/10.3389/fncir.2023.1197541/full
38915876,Front Cell Neurosci,Unknown,2024,10.3389/fncel.2024.1414142,https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1414142/full
38633446,Front Cell Neurosci,Unknown,2024,10.3389/fncel.2024.1397787,https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1397787/full
38808259,Front Syst Neurosci,Unknown,2024,10.3389/fnsys.2024.1414351,https://www.frontiersin.org/journals/systems-neuroscience/articles/10.3389/fnsys.2024.1414351/full
37021037,Front Syst Neurosci,Unknown,2023,10.3389/fnsys.2023.1112206,https://www.frontiersin.org/journals/systems-neuroscience/articles/10.3389/fnsys.2023.1112206/full
38903057,Front Neuroanat,Unknown,2024,10.3389/fnana.2024.1394766,https://www.frontiersin.org/journals/neuroanatomy/articles/10.3389/fnana.2024.1394766/full
38650594,Front Neuroanat,Unknown,2024,10.3389/fnana.2024.1364675,https://www.frontiersin.org/journals/neuroanatomy/articles/10.3389/fnana.2024.1364675/full
38903730,Front Comput Neurosci,Unknown,2024,10.3389/fncom.2024.1410335,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2024.1410335/full
38449671,Front Comput Neurosci,Unknown,2024,10.3389/fncom.2024.1345644,https://www.frontiersin.org/journals/computational-neuroscience/articles/10.3389/fncom.2024.1345644/full
38915819,Front Hum Neurosci,Unknown,2024,10.3389/fnhum.2024.1270377,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1270377/full
38638808,Front Hum Neurosci,Unknown,2024,10.3389/fnhum.2024.1401098,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1401098/full
38911604,Front Neurorobot,Unknown,2024,10.3389/fnbot.2024.1374531,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2024.1374531/full
38023457,Front Neurorobot,Unknown,2023,10.3389/fnbot.2023.1268447,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2023.1268447/full
38846339,Front Neuroinform,Unknown,2024,10.3389/fninf.2024.1292667,https://www.frontiersin.org/journals/neuroinformatics/articles/10.3389/fninf.2024.1292667/full
37396459,Front Neuroinform,Unknown,2023,10.3389/fninf.2023.1130845,https://www.frontiersin.org/journals/neuroinformatics/articles/10.3389/fninf.2023.1130845/full
24765075,Front Neuroenergetics,Unknown,2014,10.3389/fnene.2014.00001,https://www.frontiersin.org/journals/neuroenergetics/articles/10.3389/fnene.2014.00001/full
38915309,Front Neurosci,Unknown,2024,10.3389/fnins.2024.1426180,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2024.1426180/full
37854937,Front Mar Sci,Unknown,2023,10.3389/fmars.2023.1069599,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1069599/full
32133361,Front Mar Sci,Unknown,2019,10.3389/fmars.2019.00511,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2019.00511/full
38605818,Front Phys,Unknown,2024,10.3389/fphy.2024.1331047,https://www.frontiersin.org/journals/physics/articles/10.3389/fphy.2024.1331047/full
38915859,Front Nutr,Unknown,2024,10.3389/fnut.2024.1394673,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2024.1394673/full
38915854,Front Nutr,Unknown,2024,10.3389/fnut.2024.1414478,https://www.frontiersin.org/journals/nutrition/articles/10.3389/fnut.2024.1414478/full
38912399,Front Surg,Unknown,2024,10.3389/fsurg.2024.1433731,https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2024.1433731/full
38746621,Front Surg,Unknown,2024,10.3389/fsurg.2024.1374134,https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2024.1374134/full
38915768,Front Med (Lausanne),Unknown,2024,10.3389/fmed.2024.1399335,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1399335/full
38895185,Front Med (Lausanne),Unknown,2024,10.3389/fmed.2024.1411271,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2024.1411271/full
38915349,Front Aging Neurosci,Unknown,2024,10.3389/fnagi.2024.1411031,https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2024.1411031/full
38813533,Front Aging Neurosci,Unknown,2024,10.3389/fnagi.2024.1384554,https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2024.1384554/full
38915873,Front Pediatr,Unknown,2024,10.3389/fped.2024.1421051,https://www.frontiersin.org/journals/pediatrics/articles/10.3389/fped.2024.1421051/full
38863523,Front Pediatr,Unknown,2024,10.3389/fped.2024.1386280,https://www.frontiersin.org/journals/pediatrics/articles/10.3389/fped.2024.1386280/full
38915755,Front Public Health,Unknown,2024,10.3389/fpubh.2024.1335427,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1335427/full
38903574,Front Public Health,Unknown,2024,10.3389/fpubh.2024.1412547,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1412547/full
38915804,Front Neurol,Unknown,2024,10.3389/fneur.2024.1369947,https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2024.1369947/full
38882697,Front Neurol,Unknown,2024,10.3389/fneur.2024.1408220,https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2024.1408220/full
38915475,Front Pharmacol,Unknown,2024,10.3389/fphar.2024.1256992,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1256992/full
38895624,Front Pharmacol,Unknown,2024,10.3389/fphar.2024.1378358,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2024.1378358/full
38915459,Front Synaptic Neurosci,Unknown,2024,10.3389/fnsyn.2024.1432259,https://www.frontiersin.org/journals/synaptic-neuroscience/articles/10.3389/fnsyn.2024.1432259/full
35769072,Front Synaptic Neurosci,Unknown,2022,10.3389/fnsyn.2022.917285,https://www.frontiersin.org/journals/synaptic-neuroscience/articles/10.3389/fnsyn.2022.917285/full
38915781,Front Physiol,Unknown,2024,10.3389/fphys.2024.1393232,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2024.1393232/full
38887318,Front Physiol,Unknown,2024,10.3389/fphys.2024.1393952,https://www.frontiersin.org/journals/physiology/articles/10.3389/fphys.2024.1393952/full
38915301,Front Microbiol,Unknown,2024,10.3389/fmicb.2024.1291947,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1291947/full
38887717,Front Microbiol,Unknown,2024,10.3389/fmicb.2024.1399777,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2024.1399777/full
38915431,Front Psychol,Unknown,2024,10.3389/fpsyg.2024.1358424,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1358424/full
38915429,Front Psychol,Unknown,2024,10.3389/fpsyg.2024.1430893,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1430893/full
38915850,Front Psychiatry,Unknown,2024,10.3389/fpsyt.2024.1431389,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2024.1431389/full
38895036,Front Psychiatry,Unknown,2024,10.3389/fpsyt.2024.1354762,https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2024.1354762/full
38915925,Front Cell Infect Microbiol,Unknown,2024,10.3389/fcimb.2024.1334126,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2024.1334126/full
38912206,Front Cell Infect Microbiol,Unknown,2024,10.3389/fcimb.2024.1414067,https://www.frontiersin.org/journals/cellular-and-infection-microbiology/articles/10.3389/fcimb.2024.1414067/full
34164390,Front Energy Res,Unknown,2020,10.3389/fenrg.2020.00093,https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2020.00093/full
37692198,Front Comput Sci,Unknown,2022,10.3389/fcomp.2022.842637,https://www.frontiersin.org/journals/computer-science/articles/10.3389/fcomp.2022.842637/full
38915297,Front Sports Act Living,Unknown,2024,10.3389/fspor.2024.1397949,https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2024.1397949/full
38689871,Front Sports Act Living,Unknown,2024,10.3389/fspor.2024.1326807,https://www.frontiersin.org/journals/sports-and-active-living/articles/10.3389/fspor.2024.1326807/full
37207104,Front Educ (Lausanne),Unknown,2022,10.3389/feduc.2022.882959,https://www.frontiersin.org/journals/education/articles/10.3389/feduc.2022.882959/full
38903951,Front Big Data,Unknown,2024,10.3389/fdata.2024.1376023,https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2024.1376023/full
38628874,Front Big Data,Unknown,2024,10.3389/fdata.2024.1384460,https://www.frontiersin.org/journals/big-data/articles/10.3389/fdata.2024.1384460/full
38915906,Front Artif Intell,Unknown,2024,10.3389/frai.2024.1394101,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1394101/full
38887604,Front Artif Intell,Unknown,2024,10.3389/frai.2024.1401810,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2024.1401810/full
38915940,Front Mol Biosci,Unknown,2024,10.3389/fmolb.2024.1414572,https://www.frontiersin.org/journals/molecular-biosciences/articles/10.3389/fmolb.2024.1414572/full
38828395,Front Mol Biosci,Unknown,2024,10.3389/fmolb.2024.1346598,https://www.frontiersin.org/journals/molecular-biosciences/articles/10.3389/fmolb.2024.1346598/full
31106219,Front ICT,Unknown,2018,10.3389/fict.2018.00010,https://www.frontiersin.org/journals/ict/articles/10.3389/fict.2018.00010/full
36381649,Front Earth Sci (Lausanne),Unknown,2021,10.3389/feart.2021.641760,https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2021.641760/full
31807496,Front Earth Sci (Lausanne),Unknown,2019,10.3389/feart.2019.00235,https://www.frontiersin.org/journals/earth-science/articles/10.3389/feart.2019.00235/full
38915371,Front Robot AI,Unknown,2024,10.3389/frobt.2024.1248646,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1248646/full
38751575,Front Robot AI,Unknown,2024,10.3389/frobt.2024.1369438,https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1369438/full
37701859,Front Sustain Food Syst,Unknown,2023,10.3389/fsufs.2023.1091333,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2023.1091333/full
37680992,Front Sustain Food Syst,Unknown,2021,10.3389/fsufs.2021.650469,https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.650469/full
35465618,Front Mech Eng,Unknown,2021,10.3389/fmech.2021.705653,https://www.frontiersin.org/journals/mechanical-engineering/articles/10.3389/fmech.2021.705653/full
31516892,Front Mech Eng,Unknown,2017,10.3389/fmech.2017.00007,https://www.frontiersin.org/journals/mechanical-engineering/articles/10.3389/fmech.2017.00007/full
34159156,Front Built Environ,Unknown,2020,10.3389/fbuil.2020.568742,https://www.frontiersin.org/journals/built-environment/articles/10.3389/fbuil.2020.568742/full
31531308,Front Built Environ,Unknown,2018,10.3389/fbuil.2018.00058,https://www.frontiersin.org/journals/built-environment/articles/10.3389/fbuil.2018.00058/full
38818516,Front Appl Math Stat,Unknown,2024,10.3389/fams.2024.1360001,https://www.frontiersin.org/journals/applied-mathematics-and-statistics/articles/10.3389/fams.2024.1360001/full
