PMID,Journal,publisher_guess,year,doi,doi_url
31431797,ADHD Rep,Unknown,2019,10.1521/adhd.2019.27.4.8,https://guilfordjournals.com/doi/10.1521/adhd.2019.27.4.8
38857162,J Pers Disord,Unknown,2024,10.1521/pedi.2024.38.3.284,https://guilfordjournals.com/doi/10.1521/pedi.2024.38.3.284
37367822,J Pers Disord,Unknown,2023,10.1521/pedi.2023.37.3.285,https://guilfordjournals.com/doi/10.1521/pedi.2023.37.3.285
38648178,AIDS Educ Prev,Unknown,2024,10.1521/aeap.2024.36.2.113,https://guilfordjournals.com/doi/10.1521/aeap.2024.36.2.113
37535323,AIDS Educ Prev,Unknown,2023,10.1521/aeap.2023.35.4.320,https://guilfordjournals.com/doi/10.1521/aeap.2023.35.4.320
38836852,Bull Menninger Clin,Unknown,2024,10.1521/bumc.2024.88.2.101,https://guilfordjournals.com/doi/10.1521/bumc.2024.88.2.101
36856477,Bull Menninger Clin,Unknown,2023,10.1521/bumc.2023.87.1.46,https://guilfordjournals.com/doi/10.1521/bumc.2023.87.1.46
38551662,Psychoanal Rev,Unknown,2024,10.1521/prev.2024.111.1.5,https://guilfordjournals.com/doi/10.1521/prev.2024.111.1.5
35647804,Psychoanal Rev,Unknown,2022,10.1521/prev.2022.109.2.97,https://guilfordjournals.com/doi/10.1521/prev.2022.109.2.97
12817607,J Am Acad Psychoanal,Unknown,2002,10.1521/jaap.30.4.545.24193,https://guilfordjournals.com/doi/10.1521/jaap.30.4.545.24193
11490671,J Am Acad Psychoanal,Unknown,2001,10.1521/jaap.29.1.105.17190,https://guilfordjournals.com/doi/10.1521/jaap.29.1.105.17190
37701647,Soc Cogn,Unknown,2023,10.1521/soco.2023.41.3.303,https://guilfordjournals.com/doi/10.1521/soco.2023.41.3.303
33828353,Soc Cogn,Unknown,2019,10.1521/soco.2019.37.3.314,https://guilfordjournals.com/doi/10.1521/soco.2019.37.3.314
28701856,Child Adolesc Psychopharmacol News,Unknown,2014,10.1521/capn.2014.19.2.1,https://guilfordjournals.com/doi/10.1521/capn.2014.19.2.1
26949326,Child Adolesc Psychopharmacol News,Unknown,2010,10.1521/capn.2010.15.6.6,https://guilfordjournals.com/doi/10.1521/capn.2010.15.6.6
38829235,Psychodyn Psychiatry,Unknown,2024,10.1521/pdps.2024.52.2.218,https://guilfordjournals.com/doi/10.1521/pdps.2024.52.2.218
38829229,Psychodyn Psychiatry,Unknown,2024,10.1521/pdps.2024.52.2.237,https://guilfordjournals.com/doi/10.1521/pdps.2024.52.2.237
38031633,J Soc Clin Psychol,Unknown,2022,10.1521/jscp.2022.41.5.491,https://guilfordjournals.com/doi/10.1521/jscp.2022.41.5.491
29657357,J Soc Clin Psychol,Unknown,2018,10.1521/jscp.2018.37.1.1,https://guilfordjournals.com/doi/10.1521/jscp.2018.37.1.1
22168635,J Am Acad Psychoanal Dyn Psychiatry,Unknown,2011,10.1521/jaap.2011.39.4.749,https://guilfordjournals.com/doi/10.1521/jaap.2011.39.4.749
20001200,J Am Acad Psychoanal Dyn Psychiatry,Unknown,2009,10.1521/jaap.2009.37.4.683,https://guilfordjournals.com/doi/10.1521/jaap.2009.37.4.683
