PMID,Journal,publisher_guess,year,doi,doi_url
26998529,HSOA J Psychiatry Depress Anxiety,Unknown,2016,10.24966/pda-0150/100002,http://heraldopenaccess.us/openaccess/perils-of-pragmatic-psychiatry-how-we-can-do-better
30556061,HSOA J Psychiatry Depress Anxiety,Unknown,2016,10.24966/PDA-0150/100006,http://www.heraldopenaccess.us/openaccess/major-depressive-disorder-and-condom-use-in-young-adult-females
38707487,HSOA J Addict Addict Disord,Unknown,2023,10.24966/aad-7276/100144,https://www.heraldopenaccess.us/openaccess/relationship-oriented-recovery-system-for-youth-rorsy-clinical-protocol-for-transition-age-youth-with-opioid-use-disorders
26693184,HSOA J Community Med Public Health Care,Unknown,2015,10.24966/cmph-1978/100005,http://www.heraldopenaccess.us/openaccess/health-promotion-programs-and-healthy-lifestyle-first-generation-african-black-males-perspectives
34796266,HSOA J Stem Cells Res Dev Ther,Unknown,2021,10.24966/srdt-2060/100076,https://www.heraldopenaccess.us/openaccess/cancer-stem-cell-assay-for-the-treatment-of-platinum-resistant-recurrent-ovarian-cancer
30498787,HSOA J Infect Non Infect Dis,Unknown,2016,10.24966/INID-8654/100013,http://heraldopenaccess.us/fulltext/Infectious-&-Non-Infectious-Diseases/Factors-Associated-with-Self-Reported-HIV-Testing-Among-Persons-18-Years-and-Over-in-the-United-States-Findings-from-the-2012-Behavioral-Risk-Factor-Surveillance-System%20(BRFSS).php
30854519,HSOA Trends Anat Physiol,Unknown,2018,10.24966/TAP-7752/100001,http://www.heraldopenaccess.us/openaccess/anatomy-and-physiology-of-metabotropic-glutamate-receptors-in-mammalian-and-avian-auditory-system
30680372,HSOA J Reprod Med Gynaecol Obstet,Unknown,2017,10.24966/RMGO-2574/100008,http://www.heraldopenaccess.us/openaccess/treatment-of-endometriosis-related-chronic-pelvic-pain-with-ulipristal-acetate-and-associated-endometrial-changes
33163967,HSOA J Toxicol,Unknown,2020,10.24966/tcr-3735/100019,https://www.heraldopenaccess.us/openaccess/morphology-dependent-titanium-dioxide-nanoparticle-induced-keratinocyte-toxicity-and-exacerbation-of-allergic-contact-dermatitis
33937599,HSOA J Food Sci Nutr,Unknown,2018,10.24966/FSN-1076/100034,http://www.heraldopenaccess.us/openaccess/drivers-of-liking-dol-for-boiled-milk-among-women-of-reproductive-age-and-children-aged-between-one-and-five-years-in-peri-urban-communities-in-ghana
28944320,HSOA J Nephrol Ren Ther,Unknown,2016,10.24966/NRT-7313/100004,http://heraldopenaccess.us/openaccess/shift-in-focus-to-explore-the-role-of-the-endothelium-in-kidney-disease
29202126,HSOA J AIDS Clin Res STDs,Unknown,2017,10.24966/ACRS-7370/100008,http://www.heraldopenaccess.us/openaccess/the-role-of-sex-work-pay-in-moderating-the-effect-of-mobile-phone-solicitation-on-condom-practices-an-analysis-of-female-sex-workers-in-india
