PMID,Journal,publisher_guess,year,doi,doi_url
34094707,J Environ Anal Toxicol,Unknown,2021,10.4172/2161-0525.1000551,https://www.hilarispublisher.com/open-access/environmental-toxins-found-historically-in-the-polycythemia-veracluster-area-and-their-potential-for-inducing-dna-damage-2161-0525-1000551.pdf
27148470,J Environ Anal Toxicol,Unknown,2016,10.4172/2161-0525.1000353,https://www.hilarispublisher.com/open-access/assessment-of-concentrations-of-heavy-metals-and-phthalates-in-twourban-rivers-of-the-northeast-of-puerto-rico-2161-0525-1000353.pdf
26962471,J Vet Sci Technol,Unknown,2015,10.4172/2157-7579.1000276,https://www.hilarispublisher.com/open-access/comparison-of-two-methods-of-estradiol-replacement-their-physiological-and-behavioral-outcomes-2157-7579-1000276.pdf
27468362,J Bioprocess Biotech,Unknown,2016,10.4172/2155-9821.1000285,https://www.hilarispublisher.com/open-access/synthesizing-a-cellulase-like-chimeric-protein-by-recombinant-molecularbiology-techniques-2155-9821-1000285.pdf
29479491,J Trauma Treat,Unknown,2017,10.4172/2167-1222.1000384,https://www.hilarispublisher.com/open-access/systematic-review-on-the-functional-outcome-after-treatment-of-a-traumatic-bowing-fracture-of-the-lower-arm-in-children-2167-1222-1000384.pdf
25411657,J Gen Pract (Los Angel),Unknown,2014,10.4172/2329-9126.1000141,https://www.hilarispublisher.com/open-access/datadriven-ehrembedded-program-for-mailing-fit-kits-lessons-from-the-stop-crc-pilot-study-2329-9126.1000141.pdf
28220053,J Comput Sci Syst Biol,Unknown,2016,10.4172/jcsb.1000234,https://www.hilarispublisher.com/open-access/simulation-study-on-effects-of-order-and-step-size-of-rungekuttamethods-that-solve-contagious-disease-and-tumor-models-0974-7230-1000234.pdf
21976921,J Comput Sci Syst Biol,Unknown,2008,10.4172/jcsb.1000009,https://www.hilarispublisher.com/open-access/the-genetic-equidistance-result-of-molecular-evolution-is-independent-of-mutation-rates-jcsb.1000092.pdf
32952595,J Mol Genet Med,Unknown,2020,10.37421/jmgm.2020.14.457,https://www.hilarispublisher.com/open-access/ramatroban-as-a-novel-immunotherapy-for-covid19-47287.html
32566369,J Cytol Histol,Unknown,2020,10.37421/jch.2020.11.553,https://www.hilarispublisher.com/open-access/enhanced-methods-for-needle-biopsy-and-cryopreservation-of-skeletal-muscle-in-older-adults.pdf
31192032,J Cytol Histol,Unknown,2019,10.4172/2157-7099.1000509,https://www.hilarispublisher.com/open-access/in-situ-hybridisation-study-of-neuronal-neuropeptides-expression-inmodels-of-mandibular-denervation-with-or-without-inflammation-i-2157-7099-1000509.pdf
25525496,J Cancer Sci Ther,Unknown,2014,10.4172/1948-5956.1000266,https://www.hilarispublisher.com/open-access/synthesis-and-pharmacological-evolution-of-tetrahydroisoquinolines-as-anti-breast-cancer-agents-1948-5956.1000266.pdf
25584359,J Neurol Disord,Unknown,2014,10.4172/2329-6895.1000174,https://www.hilarispublisher.com/open-access/prostaglandin-i-ip-receptor-agonist-beraprost-prevents-transient-global-cerebral-ischemia-induced-hippocampal-ca-injury-in-aging-mice-2329-6895-2-174.pdf
25346867,Hum Genet Embryol,Unknown,2012,10.4172/2161-0436.S4-001,https://www.hilarispublisher.com/open-access/asymmetric-localization-of-ck2alpha-during-xenopus-oogenesis-2161-0436.S4-001.pdf
28824930,J Cardiovasc Dis Diagn,Unknown,2017,10.4172/2329-9517.1000275,https://www.hilarispublisher.com/open-access/a-historical-perspective-on-presentations-of-hypertensive-acute-heart-failure-2329-9517-1000275.pdf
25793216,J Cardiovasc Dis Diagn,Unknown,2014,10.4172/2329-9517.1000179,https://www.hilarispublisher.com/open-access/effect-of-alcohol-administration-on-mg-homeostasis-in-hc-cells-2329-9517.1000179.pdf
28868326,J Phylogenetics Evol Biol,Unknown,2016,10.4172/2329-9002.1000167,https://www.hilarispublisher.com/open-access/evolution-of-vertebrate-solute-carrier-family-9b-genes-and-proteins-slc9b-evidence-for-a-marsupial-origin-for-testis-specific-slc9-2329-9002-1000167.pdf
24949490,Altern Integr Med,Unknown,2013,10.4172/2327-5162.1000116,https://www.hilarispublisher.com/abstract/a-pilot-study-of-clinical-measures-to-assess-mindbody-intervention-effects-for-those-with-and-without-ptsd-39100.html
31057988,J Nucl Med Radiat Ther,Unknown,2019,10.4172/2155-9619.1000395,https://www.hilarispublisher.com/open-access/integrating-early-rapid-postpeptide-receptor-radionuclide-therapy-quality-assurance-scan-into-the-outpatient-setting.pdf
30310728,J Nucl Med Radiat Ther,Unknown,2013,10.4172/2155-9619.1000e110,https://www.hilarispublisher.com/open-access/new-pet-ct-features-for-the-evaluation-of-tumor-response-2155-9619.1000e110.pdf
28217402,Metabolomics (Los Angel),Unknown,2016,10.4172/2153-0769.1000183,https://www.hilarispublisher.com/open-access/effects-of-metformin-and-a-mammalian-target-of-rapamycin-mtor-atpcompetitiveinhibitor-on-targeted-metabolomics-in-pancreatic-cance-2153-0769-1000183.pdf
31565493,Metabolomics (Los Angel),Unknown,2011,10.4172/2153-0769.1000107e,https://www.hilarispublisher.com/open-access/probiotics-mediated-modulation-of-gut-flora-might-be-a-biotherapeutical-approach-for-obesity-and-type-2-diabetes-2153-0769.1000107e.pdf
30221034,Med Chem (Los Angeles),Unknown,2018,10.4172/2161-0444.1000495,https://www.hilarispublisher.com/open-access/1aminobenzotriazole-a-mechanismbased-cytochrome-p450-inhibitorand-probe-of-cytochrome-p450-biology-2161-0444-1000495.pdf
27429861,J Pulm Respir Med,Unknown,2016,10.4172/2161-105X.1000352,https://www.hilarispublisher.com/open-access/pleuropulmonary-kaposi-sarcoma-in-the-setting-of-immune-reactivation-2161-105X-1000352.pdf
