PMID,Journal,publisher_guess,year,doi,doi_url
38037606,Nurs Forum,Unknown,2023,10.1155/2023/1332479,https://www.hindawi.com/journals/nuf/2023/1332479/
24066241,Otolaryngology,Unknown,2013,10.1155/2013/698382,https://www.hindawi.com/journals/isrn/2013/698382/
38707514,Occup Ther Int,Unknown,2024,10.1155/2024/2077870,https://www.hindawi.com/journals/oti/2024/2077870/
37828969,Occup Ther Int,Unknown,2023,10.1155/2023/9871080,https://www.hindawi.com/journals/oti/2023/9871080/
36935875,Pain Res Manag,Unknown,2023,10.1155/2023/5326261,https://www.hindawi.com/journals/prm/2023/5326261/
37593547,ScientificWorldJournal,Unknown,2023,10.1155/2023/5517493,https://www.hindawi.com/journals/tswj/2023/5517493/
26473167,J Crit Care Med,Unknown,2015,10.1155/2015/526319,https://www.hindawi.com/journals/jccm/2015/526319/
37637779,Int J Chronic Dis,Unknown,2023,10.1155/2023/5616856,https://www.hindawi.com/journals/ijcd/2023/5616856/
26464866,Int J Chronic Dis,Unknown,2014,10.1155/2014/862091,https://www.hindawi.com/journals/ijcd/2014/862091/
26523277,J Biomed Educ,Unknown,2015,10.1155/2015/341759,https://www.hindawi.com/journals/jbe/2015/341759/
29176990,Appl Environ Soil Sci,Unknown,2014,10.1155/2014/462514,https://www.hindawi.com/journals/aess/2014/462514/
26949393,Appl Environ Soil Sci,Unknown,2013,10.1155/2013/283472,https://www.hindawi.com/journals/aess/2013/283472/
27099867,Adv Biol,Unknown,2014,10.1155/2014/157895,https://www.hindawi.com/journals/ab/2014/157895/
27034974,Adv Stat,Unknown,2014,10.1155/2014/432805,https://www.hindawi.com/journals/as/2014/432805/
27123468,J Viruses,Unknown,2015,10.1155/2015/646303,https://www.hindawi.com/journals/jvi/2015/646303/
24436780,ISRN Nanomater,Unknown,2012,10.5402/2012/816474,https://www.hindawi.com/journals/isrn/2012/816474/
29119035,J Sex Transm Dis,Unknown,2017,10.1155/2017/2857397,https://www.hindawi.com/journals/jstd/2017/2857397/
26345225,J Sex Transm Dis,Unknown,2015,10.1155/2015/260126,https://www.hindawi.com/journals/jstd/2015/260126/
38550348,Can J Gastroenterol Hepatol,Unknown,2024,10.1155/2024/2410643,https://www.hindawi.com/journals/cjgh/2024/2410643/
36262827,Can J Gastroenterol Hepatol,Unknown,2022,10.1155/2022/6413783,https://www.hindawi.com/journals/cjgh/2022/6413783/
24729913,New J Sci,Unknown,2014,10.1155/2014/815102,https://www.hindawi.com/journals/njos/2014/815102/
36510573,Case Rep Cardiol,Unknown,2022,10.1155/2022/4295247,https://www.hindawi.com/journals/cric/2022/4295247/
38808068,Case Rep Crit Care,Unknown,2024,10.1155/2024/3049691,https://www.hindawi.com/journals/cricc/2024/3049691/
33628522,Case Rep Crit Care,Unknown,2021,10.1155/2021/6698218,https://www.hindawi.com/journals/cricc/2021/6698218/
38774402,Case Rep Nephrol,Unknown,2024,10.1155/2024/7524714,https://www.hindawi.com/journals/crin/2024/7524714/
34306777,Case Rep Nephrol,Unknown,2021,10.1155/2021/8343022,https://www.hindawi.com/journals/crin/2021/8343022/
24734224,Int J Tissue Eng,Unknown,2013,10.1155/2013/198762,https://www.hindawi.com/journals/ijte/2013/198762/
24587982,ISRN Struct Biol,Unknown,2013,10.1155/2013/634341,https://www.hindawi.com/journals/isrn/2013/634341/
38799118,J Immunol Res,Unknown,2024,10.1155/2024/8757860,https://www.hindawi.com/journals/jir/2024/8757860/
37274867,J Immunol Res,Unknown,2023,10.1155/2023/2242577,https://www.hindawi.com/journals/jir/2023/2242577/
31984139,Int J Med Chem,Unknown,2019,10.1155/2019/7105834,https://www.hindawi.com/journals/ijmc/2019/7105834/
25610645,Int J Med Chem,Unknown,2014,10.1155/2014/162150,https://www.hindawi.com/journals/ijmc/2014/162150/
24729962,ISRN Comput Biol,Unknown,2014,10.1155/2014/581245,https://www.hindawi.com/journals/isrn/2014/581245/
30687733,ISRN Comput Biol,Unknown,2014,10.1155/2014/960902,https://www.hindawi.com/journals/isrn/2014/960902/
33564491,ISRN Infect Dis,Unknown,2014,10.1155/2014/501729,https://www.hindawi.com/journals/isrn/2014/501729/
25379322,ISRN Infect Dis,Unknown,2013,10.5402/2013/478192,https://www.hindawi.com/journals/isrn/2013/478192/
25285308,ISRN Trop Med,Unknown,2013,10.1155/2013/673798,https://www.hindawi.com/journals/isrn/2013/673798/
38469394,Aquac Nutr,Unknown,2024,10.1155/2024/8886237,https://www.hindawi.com/journals/anu/2024/8886237/
37312679,Aquac Nutr,Unknown,2023,10.1155/2023/2308669,https://www.hindawi.com/journals/anu/2023/2308669/
25083120,Discrete Dyn Nat Soc,Unknown,2013,10.1155/2013/720818,https://www.hindawi.com/journals/ddns/2013/720818/
25392739,ISRN Mol Imaging,Unknown,2013,10.1155/2013/689279,https://www.hindawi.com/journals/isrn/2013/689279/
25414852,ISRN Geriatr,Unknown,2013,10.1155/2013/542080,https://www.hindawi.com/journals/isrn/2013/542080/
25328882,J Mater,Unknown,2013,10.1155/2013/676920,https://www.hindawi.com/journals/jma/2013/676920/
25018772,Int J Spectrosc,Unknown,2013,10.1155/2013/245376,https://www.hindawi.com/journals/ijs/2013/245376/
