PMID,Journal,publisher_guess,year,doi,doi_url
27134698,Int J Gaming Comput Mediat Simul,Unknown,2016,10.4018/ijgcms.2014070101,https://www.igi-global.com/gateway/article/123194
24729759,J Organ End User Comput,Unknown,2011,10.4018/joeuc.2011100102,https://www.igi-global.com/gateway/article/58545
32913425,Int J Healthc Inf Syst Inform,Unknown,2018,10.4018/ijhisi.2018040101,https://www.igi-global.com/gateway/article/198490
24465189,Int J Semant Web Inf Syst,Unknown,2013,10.4018/jswis.2013010103,https://www.igi-global.com/gateway/article/77824
18974854,Int J Semant Web Inf Syst,Unknown,2007,10.4018/jswis.2007040101,https://www.igi-global.com/gateway/article/2832
19430576,Int J Inf Commun Technol Educ,Unknown,2009,10.4018/jicte.2009010105,https://www.igi-global.com/gateway/article/2366
25699133,Int J Virtual Communities Soc Netw,Unknown,2013,10.4018/ijvcsn.2013070105,https://www.igi-global.com/gateway/article/111359
20852677,Int J Educ Dev Using Inf Commun Technol,Unknown,2010,10.4018/jicte.2010091101,https://www.igi-global.com/gateway/article/38980
21037923,Int J Secur Softw Eng,Unknown,2010,10.4018/jsse.2010070103,https://www.igi-global.com/gateway/article/46151
24163721,Int J Agent Technol Syst,Unknown,2010,10.4018/jats.2010070102,https://www.igi-global.com/gateway/article/45908
26788417,Int J Monit Surveill Technol Res,Unknown,2014,10.4018/IJMSTR.2014070102,https://www.igi-global.com/gateway/article/130619
23565318,Int J Biomater Res Eng,Unknown,2011,10.4018/ijbre.2011010102,https://www.igi-global.com/gateway/article/63611
27868080,Int J Civ Engagem Soc Change,Unknown,2015,10.4018/IJCESC.2015010104,https://www.igi-global.com/gateway/article/139199
27867750,Int J Risk Conting Manag,Unknown,2015,10.4018/IJRCM.2015070104,https://www.igi-global.com/gateway/article/133547
29333492,J Nanotoxicol Nanomed,Unknown,2017,10.4018/JNN.2017010102,https://www.igi-global.com/gateway/article/188866
30271671,Int J Priv Health Inf Manag,Unknown,2017,10.4018/IJPHIM.2017070104,https://www.igi-global.com/gateway/article/182879
30637090,Int J Technoethics,Unknown,2015,10.4018/IJT.2015070104,https://www.igi-global.com/gateway/article/131423
24179597,Int J Comput Models Algorithms Med,Unknown,2012,10.4018/jcmam.2012040104,https://www.igi-global.com/gateway/article/72876
22022636,Int J Comput Models Algorithms Med,Unknown,2011,10.4018/jcmam.2011040101,https://www.igi-global.com/gateway/article/55490
