PMID,Journal,publisher_guess,year,doi,doi_url
38538529,Front Biosci (Elite Ed),Unknown,2024,10.31083/j.fbe1601010,https://www.imrpress.com/journal/FBE/16/1/10.31083/j.fbe1601010
36959106,Front Biosci (Elite Ed),Unknown,2023,10.31083/j.fbe1501007,https://www.imrpress.com/journal/FBE/15/1/10.31083/j.fbe1501007
38538347,Front Biosci (Schol Ed),Unknown,2024,10.31083/j.fbs1601007,https://www.imrpress.com/journal/FBS/16/1/10.31083/j.fbs1601007
38538346,Front Biosci (Schol Ed),Unknown,2024,10.31083/j.fbs1601006,https://www.imrpress.com/journal/FBS/16/1/10.31083/j.fbs1601006
34720368,Clin Exp Obstet Gynecol,Unknown,2021,10.31083/j.ceog4805168,https://www.imrpress.com/journal/CEOG/48/5/10.31083/j.ceog4805168
18508674,Front Biosci,Unknown,2008,10.2741/3168,https://www.imrpress.com/journal/FBL/13/17/10.2741/3168
38764610,Rev Cardiovasc Med,Unknown,2024,10.31083/j.rcm2503106,https://www.imrpress.com/journal/RCM/25/3/10.31083/j.rcm2503106
35345247,Rev Cardiovasc Med,Unknown,2022,10.31083/j.rcm2303080,https://www.imrpress.com/journal/RCM/23/3/10.31083/j.rcm2303080
38812330,Front Biosci (Landmark Ed),Unknown,2024,10.31083/j.fbl2905194,https://www.imrpress.com/journal/FBL/29/5/10.31083/j.fbl2905194
38682197,Front Biosci (Landmark Ed),Unknown,2024,10.31083/j.fbl2904155,https://www.imrpress.com/journal/FBL/29/4/10.31083/j.fbl2904155
38812399,J Integr Neurosci,Unknown,2024,10.31083/j.jin2305105,https://www.imrpress.com/journal/JIN/23/5/10.31083/j.jin2305105
38682228,J Integr Neurosci,Unknown,2024,10.31083/j.jin2304069,https://www.imrpress.com/journal/JIN/23/4/10.31083/j.jin2304069
