PMID,Journal,publisher_guess,year,doi,doi_url
25729572,Int J Quant Res Educ,Unknown,2013,10.1504/IJQRE.2013.056463,https://www.inderscienceonline.com/doi/abs/10.1504/IJQRE.2013.056463
27122658,Int J Biotechnol,Unknown,2015,10.1504/IJBT.2015.074797,https://www.inderscienceonline.com/doi/abs/10.1504/IJBT.2015.074797
24834105,Int J Metadata Semant Ontol,Unknown,2014,10.1504/IJMSO.2014.059126,https://www.inderscienceonline.com/doi/abs/10.1504/IJMSO.2014.059126
25383095,Int J Behav Healthc Res,Unknown,2011,10.1504/IJBHR.2011.043414,https://www.inderscienceonline.com/doi/abs/10.1504/IJBHR.2011.043414
23565122,Int J Biomed Eng Technol,Unknown,2012,10.1504/IJBET.2012.050263,https://www.inderscienceonline.com/doi/abs/10.1504/IJBET.2012.050263
20174479,Int J Biomed Eng Technol,Unknown,2009,10.1504/ijbet.2009.022911,https://www.inderscienceonline.com/doi/abs/10.1504/IJBET.2009.022911
19823594,Int J Risk Assess Manag,Unknown,2008,10.1504/IJRAM.2008.021054,https://www.inderscienceonline.com/doi/abs/10.1504/IJRAM.2008.021054
21765649,Int J Veh Saf,Unknown,2008,10.1504/IJVS.2008.020079,https://www.inderscienceonline.com/doi/abs/10.1504/IJVS.2008.020079
25419221,Int J Public Pol,Unknown,2014,10.1504/IJPP.2014.063094,https://www.inderscienceonline.com/doi/abs/10.1504/IJPP.2014.063094
25374609,Int J Public Pol,Unknown,2014,10.1504/IJPP.2014.063081,https://www.inderscienceonline.com/doi/abs/10.1504/IJPP.2014.063081
22899966,Int J Funct Inform Personal Med,Unknown,2010,10.1504/IJFIPM.2010.040211,https://www.inderscienceonline.com/doi/abs/10.1504/IJFIPM.2010.040211
26430470,Int J Funct Inform Personal Med,Unknown,2008,10.1504/ijfipm.2008.020183,https://www.inderscienceonline.com/doi/abs/10.1504/IJFIPM.2008.020183
22247736,Int J Immunol Stud,Unknown,2009,10.1504/IJIS.2009.023560,https://www.inderscienceonline.com/doi/abs/10.1504/IJIS.2009.023560
32153660,Int J Comput Biol Drug Des,Unknown,2020,10.1504/ijcbdd.2020.10026794,https://www.inderscienceonline.com/doi/abs/10.1504/IJCBDD.2020.105115
20046910,Int J Biom,Unknown,2009,10.1504/IJBM.2009.024279,https://www.inderscienceonline.com/doi/abs/10.1504/IJBM.2009.024279
25364381,Int J Migr Bord Stud,Unknown,2014,10.1504/IJMBS.2014.065069,https://www.inderscienceonline.com/doi/abs/10.1504/IJMBS.2014.065069
21643462,Int J Auton Adapt Commun Syst,Unknown,2011,10.1504/IJAACS.2011.039720,https://www.inderscienceonline.com/doi/abs/10.1504/IJAACS.2011.039720
24358055,Int J Comput Vis Robot,Unknown,2011,10.1504/IJCVR.2011.042271,https://www.inderscienceonline.com/doi/abs/10.1504/IJCVR.2011.042271
25031610,Int J Exp Comput Biomech,Unknown,2013,10.1504/IJECB.2013.056516,https://www.inderscienceonline.com/doi/abs/10.1504/IJECB.2013.056516
27708687,Int J Bus Inf Syst,Unknown,2016,10.1504/IJBIS.2016.10000351,https://www.inderscienceonline.com/doi/abs/10.1504/IJBIS.2016.079523
24228069,Int J Biomed Nanosci Nanotechnol,Unknown,2013,10.1504/IJBNN.2013.054508,https://www.inderscienceonline.com/doi/abs/10.1504/IJBNN.2013.054508
24693331,Int J Biomed Nanosci Nanotechnol,Unknown,2011,10.1504/IJBNN.2011.041000,https://www.inderscienceonline.com/doi/abs/10.1504/IJBNN.2011.041000
24416075,Int J Chin Cult Manag,Unknown,2012,10.1504/IJCCM.2012.046037,https://www.inderscienceonline.com/doi/abs/10.1504/IJCCM.2012.046037
23807869,Int J Nanotechnol,Unknown,2005,10.1504/IJNT.2005.008074,https://www.inderscienceonline.com/doi/abs/10.1504/IJNT.2005.008074
26642363,Int J Bioinform Res Appl,Unknown,2015,10.1504/ijbra.2015.073240,https://www.inderscienceonline.com/doi/abs/10.1504/IJBRA.2015.073240
23797996,Int J Bioinform Res Appl,Unknown,2013,10.1504/IJBRA.2013.054689,https://www.inderscienceonline.com/doi/abs/10.1504/IJBRA.2013.054689
26559074,Int J Electron Healthc,Unknown,2015,10.1504/ijeh.2015.071644,https://www.inderscienceonline.com/doi/abs/10.1504/IJEH.2015.071644
19174362,Int J Electron Healthc,Unknown,2008,10.1504/IJEH.2008.022664,https://www.inderscienceonline.com/doi/abs/10.1504/IJEH.2008.022664
29354189,Int J Data Min Bioinform,Unknown,2017,10.1504/IJDMB.2017.10008266,https://www.inderscienceonline.com/doi/abs/10.1504/IJDMB.2017.087178
24783408,Int J Data Min Bioinform,Unknown,2014,10.1504/ijdmb.2014.057780,https://www.inderscienceonline.com/doi/abs/10.1504/IJDMB.2014.057780
26361493,Int J Heavy Veh Syst,Unknown,2014,10.1504/IJHVS.2014.066080,https://www.inderscienceonline.com/doi/abs/10.1504/IJHVS.2014.066080
26925166,Int J Min Miner Eng,Unknown,2014,10.1504/IJMME.2014.066580,https://www.inderscienceonline.com/doi/abs/10.1504/IJMME.2014.066580
26213573,Int J Min Miner Eng,Unknown,2014,10.1504/IJMME.2014.060220,https://www.inderscienceonline.com/doi/abs/10.1504/IJMME.2014.060220
22262947,Int J Inf Syst Change Manag,Unknown,2011,10.1504/IJISCM.2011.039068,https://www.inderscienceonline.com/doi/abs/10.1504/IJISCM.2011.039068
28603554,Botulinum J,Unknown,2015,10.1504/TBJ.2015.078132,https://www.inderscienceonline.com/doi/abs/10.1504/TBJ.2015.078132
23205055,Botulinum J,Unknown,2011,10.1504/tbj.2011.041813,https://www.inderscienceonline.com/doi/abs/10.1504/TBJ.2011.041813
23105916,Int J Environ Waste Manag,Unknown,2009,10.1504/IJEWM.2009.026886,https://www.inderscienceonline.com/doi/abs/10.1504/IJEWM.2009.026886
23795207,Int J Comput Healthc,Unknown,2012,10.1504/IJCIH.2012.046995,https://www.inderscienceonline.com/doi/abs/10.1504/IJCIH.2012.046995
20057919,Int J Knowl Eng Soft Data Paradig,Unknown,2009,10.1504/IJKESDP.2009.021983,https://www.inderscienceonline.com/doi/abs/10.1504/IJKESDP.2009.021983
26566399,Int J Med Eng Inform,Unknown,2011,10.1504/IJMEI.2011.042874,https://www.inderscienceonline.com/doi/abs/10.1504/IJMEI.2011.042874
19966945,Int J Nanomanuf,Unknown,2009,10.1504/IJNM.2009.027501,https://www.inderscienceonline.com/doi/abs/10.1504/IJNM.2009.027501
29911681,Int J Prod Lifecycle Manag,Unknown,2018,10.1504/IJPLM.2017.090328,https://www.inderscienceonline.com/doi/abs/10.1504/IJPLM.2017.090328
33184571,Int J Model Identif Control,Unknown,2020,10.1504/ijmic.2020.10032851,https://www.inderscienceonline.com/doi/abs/10.1504/IJMIC.2020.110349
28458611,Int J Entrep Innov Manag,Unknown,2017,10.1504/IJEIM.2017.083476,https://www.inderscienceonline.com/doi/abs/10.1504/IJEIM.2017.083476
28680372,Int J Contin Eng Educ Life Long Learn,Unknown,2017,10.1504/IJCEELL.2017.10003455,https://www.inderscienceonline.com/doi/abs/10.1504/IJCEELL.2017.084835
29104604,Int J Learn Chang,Unknown,2017,10.1504/IJLC.2017.086856,https://www.inderscienceonline.com/doi/abs/10.1504/IJLC.2017.086856
31534305,Int J Environ Pollut,Unknown,2019,10.1504/IJEP.2019.101832,https://www.inderscienceonline.com/doi/abs/10.1504/IJEP.2019.101832
30078956,Int J Environ Pollut,Unknown,2017,10.1504/IJEP.2017.10010370,https://www.inderscienceonline.com/doi/abs/10.1504/IJEP.2017.089402
22899967,Int J Soc Syst Sci,Unknown,2011,10.1504/IJSSS.2011.038937,https://www.inderscienceonline.com/doi/abs/10.1504/IJSSS.2011.038937
22318364,Int J Low Radiat,Unknown,2006,10.1504/IJLR.2006.012012,https://www.inderscienceonline.com/doi/abs/10.1504/IJLR.2006.012012
