PMID,Journal,publisher_guess,year,doi,doi_url
3362106,N Engl Reg Allergy Proc,Unknown,1988,10.2500/108854188778984554,https://www.ingentaconnect.com/content/ocean/aap/1988/00000009/00000001/art00003;jsessionid=kumds35vo5k1.x-ic-live-02
22081838,Middle East J,Unknown,2011,10.3751/65.3.14,https://www.ingentaconnect.com/content/mei/mei/2011/00000065/00000003/art00005;jsessionid=1klrar6ml2o69.x-ic-live-01
27172713,Folia Biol (Krakow),Unknown,2016,10.3409/fb64_1.55,https://www.ingentaconnect.com/content/isez/fb/2016/00000064/00000001/art00008;jsessionid=19c633e1cff2e.x-ic-live-01
29847080,Folia Biol (Krakow),Unknown,2016,10.3409/fb64_3.197,https://www.ingentaconnect.com/content/isez/fb/2016/00000064/00000003/art00007;jsessionid=4gnnk5aktgfq4.x-ic-live-03
7797065,Allergy Proc,Unknown,1995,10.2500/108854195778771471,https://www.ingentaconnect.com/content/ocean/aap/1995/00000016/00000002/art00008;jsessionid=1jpfqar0q7m7a.x-ic-live-02
38725942,J Conscious Stud,Unknown,2024,10.53765/20512201.31.3.028,https://www.ingentaconnect.com/content/imp/jcs/2024/00000031/f0020003/art00002;jsessionid=3g4ha96q6oe51.x-ic-live-03
38798784,Public Health Action,Unknown,2024,10.5588/pha.23.0059,https://www.ingentaconnect.com/content/iuatld/pha/2024/00000014/00000001/art00008;jsessionid=9m00ny2nmx6v.x-ic-live-01
36561906,Public Health Action,Unknown,2022,10.5588/pha.22.0016,https://www.ingentaconnect.com/content/iuatld/pha/2022/00000012/00000004/art00002;jsessionid=2ela2q8y68ps5.x-ic-live-03
37273819,Health Behav Policy Rev,Unknown,2022,10.14485/hbpr.9.4.6,https://www.ingentaconnect.com/contentone/psp/hbpr/2022/00000009/00000004/art00006
32671129,Health Behav Policy Rev,Unknown,2019,10.14485/hbpr.6.4.5,https://www.ingentaconnect.com/content/psp/hbpr/2019/00000006/00000004/art00005;jsessionid=4l4onwfvbep99.x-ic-live-03
35854466,J Biomed Nanotechnol,Unknown,2022,10.1166/jbn.2022.3317,https://www.ingentaconnect.com/content/asp/jbn/2022/00000018/00000004/art00022;jsessionid=6glosge4r5s0v.x-ic-live-01
35180922,J Biomed Nanotechnol,Unknown,2022,10.1166/jbn.2022.3227,https://www.ingentaconnect.com/content/asp/jbn/2022/00000018/00000001/art00026;jsessionid=5jml36l4emspk.x-ic-live-02
38486939,Photogramm Eng Remote Sensing,Unknown,2023,10.14358/pers.22-00106r2,https://www.ingentaconnect.com/content/asprs/pers/2023/00000089/00000007/art00008;jsessionid=h794r6c6fdll.x-ic-live-02
19789716,Photogramm Eng Remote Sensing,Unknown,2008,10.14358/pers.74.3.311,https://www.ingentaconnect.com/content/asprs/pers/2008/00000074/00000003/art00003;jsessionid=411kavkf9ntgh.x-ic-live-03
29398773,Syst Bot,Unknown,2017,10.1600/036364417X696438,https://www.ingentaconnect.com/content/aspt/sb/2017/00000042/00000004/art00001;jsessionid=7bedj4mcp2cpg.x-ic-live-01
21857766,Syst Bot,Unknown,2010,10.1600/036364410790862669,https://www.ingentaconnect.com/content/aspt/sb/2010/00000035/00000001/art00018;jsessionid=4976n96hcew5r.x-ic-live-01
38760164,Allergy Asthma Proc,Unknown,2024,10.2500/aap.2024.45.240020,https://www.ingentaconnect.com/content/ocean/aap/pre-prints/content-240020;jsessionid=1w2ks0t9cnzaa.x-ic-live-02
37641226,Allergy Asthma Proc,Unknown,2023,10.2500/aap.2023.44.230034,https://www.ingentaconnect.com/content/ocean/aap/2023/00000044/00000005/art00003;jsessionid=1kit3jrzeyfyy.x-ic-live-02
38822488,Int J Tuberc Lung Dis,Unknown,2024,10.5588/ijtld.23.0286,https://www.ingentaconnect.com/content/iuatld/ijtld/2024/00000028/00000006/art00009;jsessionid=1rpkq6d9ekw6m.x-ic-live-03
38659141,Int J Tuberc Lung Dis,Unknown,2024,10.5588/ijtld.23.0493,https://www.ingentaconnect.com/content/iuatld/ijtld/2024/00000028/00000005/art00002;jsessionid=2ts8o570ujq5x.x-ic-live-03
38884108,Comp Polit,Unknown,2022,10.5129/001041522x16222193902161,https://www.ingentaconnect.com/content/cuny/cp/2022/00000054/00000002/art00007;jsessionid=h7dn4t4tt22s6.x-ic-live-03
25479266,Aviat Space Environ Med,Unknown,2014,10.3357/ASEM.4085.2014,https://www.ingentaconnect.com/content/asma/asem/2014/00000085/00000012/art00011;jsessionid=17g483nmsgt50.x-ic-live-02
38814129,Med Probl Perform Art,Unknown,2024,10.21091/mppa.2024.2012,https://www.ingentaconnect.com/content/scimed/mppa/2024/00000039/00000002/art00006;jsessionid=2umue9xeiyxm.x-ic-live-03
34079980,Med Probl Perform Art,Unknown,2021,10.21091/mppa.2021.2010,https://www.ingentaconnect.com/content/scimed/mppa/2021/00000036/00000002/art00002;jsessionid=3ckc7h3sq1sbc.x-ic-live-02
1911046,Cancer Commun,Unknown,1991,10.3727/095535491820873038,https://www.ingentaconnect.com/content/tsp/cc/1991/00000003/00000009/art00009;jsessionid=4yter01h3ibz.x-ic-live-03
2206777,Cancer Commun,Unknown,1990,10.3727/095535490820874092,https://www.ingentaconnect.com/content/tsp/cc/1990/00000002/00000010/art00008;jsessionid=e1c0qdla4m5b4.x-ic-live-03
29096734,Gene Expr,Unknown,2018,10.3727/105221617X15093738210295,https://www.ingentaconnect.com/content/10.3727/105221617X15093738210295
23997401,Soc Behav Pers,Unknown,2013,10.2224/sbp.2013.41.3.477,https://www.ingentaconnect.com/content/sbp/sbp/2013/00000041/00000003/art00013;jsessionid=2mmsvs6kjgcku.x-ic-live-03
31929768,Acta Acust United Acust,Unknown,2019,10.3813/AAA.919279,https://www.ingentaconnect.com/content/dav/aaua/2019/00000105/00000001/art00002;jsessionid=2g181n654vadg.x-ic-live-02
31736681,Acta Acust United Acust,Unknown,2018,10.3813/AAA.919229,https://www.ingentaconnect.com/content/dav/aaua/2018/00000104/00000005/art00021;jsessionid=1eawaq6dnd1oe.x-ic-live-03
25530712,Widening Partic Lifelong Learn,Unknown,2013,10.5456/WPLL.15.4.26,https://www.ingentaconnect.com/content/openu/jwpll/2013/00000015/00000004/art00003;jsessionid=5b5is064e4d8l.x-ic-live-03
28042512,J Med Imaging Health Inform,Unknown,2016,10.1166/jmihi.2016.1812,https://www.ingentaconnect.com/content/asp/jmihi/2016/00000006/00000006/art00002;jsessionid=4agmdkh8jmdb1.x-ic-live-03
25642356,J Med Imaging Health Inform,Unknown,2014,10.1166/jmihi.2014.1307,https://www.ingentaconnect.com/content/asp/jmihi/2014/00000004/00000005/art00004;jsessionid=cbbik7wd2dm6.x-ic-live-02
38895705,Stud Mycol,Unknown,2023,10.3114/sim.2023.105.01,https://www.ingentaconnect.com/content/wfbi/sim/2023/00000105/00000001/art00002;jsessionid=1sts5jcvcrvtm.x-ic-live-01
37351543,Stud Mycol,Unknown,2023,10.3114/sim.2022.104.02,https://www.ingentaconnect.com/content/wfbi/sim/2023/00000104/00000001/art00003;jsessionid=2e4rh1hm0lujs.x-ic-live-03
25152549,Mycotaxon,Unknown,2013,10.5248/126.143,https://www.ingentaconnect.com/content/mtax/mt/2013/00000126/00000001/art00020;jsessionid=1qspbpozt63u1.x-ic-live-02
38902012,Comp Med,Unknown,2024,10.30802/AALAS-CM-24-000025,https://www.ingentaconnect.com/content/aalas/cm/pre-prints/content-cm_24000025a;jsessionid=83o03uk384tc1.x-ic-live-01
38565307,Comp Med,Unknown,2024,10.30802/AALAS-CM-24-000007,https://www.ingentaconnect.com/content/aalas/cm/2024/00000074/00000002/art00006;jsessionid=94odt21ngoa5l.x-ic-live-03
20574552,Rev Analg,Unknown,2008,10.3727/154296108783994013,https://www.ingentaconnect.com/content/cog/ria/2008/00000010/00000001/art00004;jsessionid=njb9wzaq0qus.x-ic-live-03
29743989,Sci Adv Mater,Unknown,2017,10.1166/sam.2017.3066,https://www.ingentaconnect.com/content/asp/sam/2017/00000009/00000001/art00018;jsessionid=1nml18j5d7q0i.x-ic-live-01
35096277,Technol Innov,Unknown,2021,10.21300/22.2.2021.6,https://www.ingentaconnect.com/content/nai/ti/2022/00000022/00000002/art00006;jsessionid=5kghf3lknq6rn.x-ic-live-01
