PMID,Journal,publisher_guess,year,doi,doi_url
27683661,Gen Med (Los Angel),Unknown,2016,10.4172/2327-5146.1000255,https://www.iomcworld.com/open-access/dont-believe-your-eyes-ipratropium-induced-mydriasis-a-case-report-andreview-of-the-literature2327-5146-1000255.pdf
24653992,Gen Med (Los Angel),Unknown,2013,10.4172/2327-5146.1000112,https://www.iomcworld.com/open-access/congenital-and-acute-kidney-disease-translational-research-insights-from-zebrafish-chemical-genetics-2327-5146.1000112.pdf
29963581,J Psychol Abnorm Child,Unknown,2014,10.4172/2329-9525.1000127,https://www.iomcworld.com/open-access/short-and-longterm-effects-of-compromised-birth-weight-head-circumference-and-apgar-scores-on-neuropsychological-development-2329-9525.1000127.pdf
25485287,J Psychol Abnorm Child,Unknown,2013,10.4172/2329-9525.1000104,https://www.iomcworld.com/open-access/children-with-special-health-care-needs-association-of-passive-tobacco-smoke-exposure-and-dental-caries-national-survey-of-childrens-health-2329-9525.1000104.pdf
27917406,Next Gener Seq Appl,Unknown,2016,10.4172/2469-9853.1000133,https://www.iomcworld.com/open-access/genomics-of-colorectal-cancer-in-african-americans-2469-9853-1000133.pdf
26726306,J Steroids Horm Sci,Unknown,2015,10.4172/2157-7536.1000.150,https://www.iomcworld.com/open-access/comparative-studies-on-performance-of-ccc-and-preparative-rphplc-in-separation-and-purification-of-steroid-saponins-from-dioscorea-zingiberensis-chwright-2157-7536.1000.150.pdf
32529194,Dermatol Case Rep,Unknown,2019,10.35248/2684-124X.19.4.152,https://www.iomcworld.com/open-access/thalidomide-a-rational-agent-for-treatment-of-multicentric-reticulohistiocytosis.pdf
27213168,Nat Prod Chem Res,Unknown,2016,10.4172/2329-6836.1000e113,https://www.iomcworld.com/open-access/qs21-a-potent-vaccine-adjuvant-2329-6836-1000e113.pdf
28529818,J Diabetes Metab,Unknown,2016,10.4172/2155-6156.1000676,https://www.iomcworld.com/open-access/high-proteinfish-oil-diet-prevents-hepatic-steatosis-in-noncnzo10-miceassociation-with-dietgeneticsregulated-micrornas-2155-6156-1000676.pdf
23484069,J Diabetes Metab,Unknown,2011,10.4172/2155-6156.S1-003,https://www.iomcworld.com/open-access/contributions-of-the-insulin-insulin-like-growth-factor-1-axis-to-diabetic-osteopathy-2155-6156.S1-003.pdf
