PMID,Journal,publisher_guess,year,doi,doi_url
35198137,Astrophys J Lett,Unknown,2021,10.3847/2041-8213/abf436,https://iopscience.iop.org/article/10.3847/2041-8213/abf436
31049193,Astrophys J Lett,Unknown,2018,10.3847/2041-8213/aab61f,https://iopscience.iop.org/article/10.3847/2041-8213/aab61f
30906572,Converg Sci Phys Oncol,Unknown,2018,10.1088/2057-1739/aaa013,https://iopscience.iop.org/article/10.1088/2057-1739/aaa013
38855580,Environ Res Lett,Unknown,2024,10.1088/1748-9326/ad3bd2,https://iopscience.iop.org/article/10.1088/1748-9326/ad3bd2
38854588,Environ Res Lett,Unknown,2023,10.1088/1748-9326/ace7e1,https://iopscience.iop.org/article/10.1088/1748-9326/ace7e1
38912603,Rep Prog Phys,Unknown,2024,10.1088/1361-6633/ad573b,https://iopscience.iop.org/article/10.1088/1361-6633/ad573b
1483333,Clin Phys Physiol Meas,Unknown,1992,10.1088/0143-0815/13/4/008,https://iopscience.iop.org/article/10.1088/0143-0815/13/4/008
1483331,Clin Phys Physiol Meas,Unknown,1992,10.1088/0143-0815/13/4/006,https://iopscience.iop.org/article/10.1088/0143-0815/13/4/006
38645721,Smart Mater Struct,Unknown,2024,10.1088/1361-665X/ad3bfd,https://iopscience.iop.org/article/10.1088/1361-665X/ad3bfd
22962538,Smart Mater Struct,Unknown,2012,10.1088/0964-1726/21/8/085015,https://iopscience.iop.org/article/10.1088/0964-1726/21/8/085015
29151775,Laser Phys,Unknown,2016,10.1088/1054-660X/26/12/123001,https://iopscience.iop.org/article/10.1088/1054-660X/26/12/123001
38861999,Physiol Meas,Unknown,2024,10.1088/1361-6579/ad56f7,https://iopscience.iop.org/article/10.1088/1361-6579/ad56f7
38061053,Physiol Meas,Unknown,2023,10.1088/1361-6579/ad133a,https://iopscience.iop.org/article/10.1088/1361-6579/ad133a
6655573,J Phys E,Unknown,1983,10.1088/0022-3735/16/12/018,https://iopscience.iop.org/article/10.1088/0022-3735/16/12/018
5361298,J Sci Instrum,Unknown,1969,10.1088/0022-3735/2/12/433,https://iopscience.iop.org/article/10.1088/0022-3735/2/12/433
5676191,J Sci Instrum,Unknown,1968,10.1088/0022-3735/1/5/304,https://iopscience.iop.org/article/10.1088/0022-3735/1/5/304
32165778,Semicond Sci Technol,Unknown,2019,10.1088/1361-6641/ab37d3,https://iopscience.iop.org/article/10.1088/1361-6641/ab37d3
37654601,Plasma Sources Sci Technol,Unknown,2023,10.1088/1361-6595/acef59,https://iopscience.iop.org/article/10.1088/1361-6595/acef59
34776750,Plasma Sources Sci Technol,Unknown,2019,10.1088/1361-6595/aaf535,https://iopscience.iop.org/article/10.1088/1361-6595/aaf535
38901408,J Radiol Prot,Unknown,2024,10.1088/1361-6498/ad5a17,https://iopscience.iop.org/article/10.1088/1361-6498/ad5a17
38507786,J Radiol Prot,Unknown,2024,10.1088/1361-6498/ad35cf,https://iopscience.iop.org/article/10.1088/1361-6498/ad35cf
35001937,Astron J,Unknown,2021,10.3847/1538-3881/abe044,https://iopscience.iop.org/article/10.3847/1538-3881/abe044
38876093,J Breath Res,Unknown,2024,10.1088/1752-7163/ad5864,https://iopscience.iop.org/article/10.1088/1752-7163/ad5864
37084720,J Breath Res,Unknown,2023,10.1088/1752-7163/accf31,https://iopscience.iop.org/article/10.1088/1752-7163/accf31
36187328,J Phys Conf Ser,Unknown,2022,10.1088/1742-6596/2323/1/012030,https://iopscience.iop.org/article/10.1088/1742-6596/2323/1/012030
