PMID,Journal,publisher_guess,year,doi,doi_url
38915199,J Clin Res Pediatr Endocrinol,Unknown,2024,10.4274/jcrpe.galenos.2024.2024-2-18,https://jag.journalagent.com/jcrpe/pdfs/JCRPE-47450-ORIGINAL_ARTICLE-WONG.pdf
37622285,J Clin Res Pediatr Endocrinol,Unknown,2024,10.4274/jcrpe.galenos.2023.2023-7-5,https://jag.journalagent.com/jcrpe/pdfs/JCRPE_16_1_31_40.pdf
37431262,Turk J Haematol,Unknown,2023,10.4274/tjh.galenos.2023.2022.0484,https://jag.journalagent.com/tjh/pdfs/TJH_40_3_154_161.pdf
37905536,Turk Kardiyol Dern Ars,Unknown,2023,10.5543/tkda.2023.69226,https://jag.journalagent.com/tkd/pdfs/TKDA_51_8_523_530.pdf
38808059,Sisli Etfal Hastan Tip Bul,Unknown,2024,10.14744/SEMB.2023.03780,https://jag.journalagent.com/sislietfaltip/pdfs/SETB_58_1_124_126%5BA%5D.pdf
38511910,Medeni Med J,Unknown,2024,10.4274/MMJ.galenos.2024.26053,https://jag.journalagent.com/medeniyet/pdfs/MEDJ_39_1_72_73.pdf
35734982,Medeni Med J,Unknown,2022,10.4274/MMJ.galenos.2022.22556,https://jag.journalagent.com/medeniyet/pdfs/MEDJ_37_2_150_158.pdf
37889029,Ulus Travma Acil Cerrahi Derg,Unknown,2023,10.14744/tjtes.2023.20194,https://jag.journalagent.com/travma/pdfs/UTD_29_11_1212_1217.pdf
38558403,Agri,Unknown,2024,10.14744/agri.2021.92499,https://jag.journalagent.com/agri/pdfs/AGRI-92499-CASE_REPORTS-ARAZ.pdf
38757109,North Clin Istanb,Unknown,2024,10.14744/nci.2023.06937,https://jag.journalagent.com/nci/pdfs/NCI_11_2_127_132.pdf
38757106,North Clin Istanb,Unknown,2024,10.14744/nci.2024.87864,https://jag.journalagent.com/nci/pdfs/NCI_11_2_133_139.pdf
38380511,Eur Endod J,Unknown,2024,10.14744/eej.2023.10327,https://jag.journalagent.com/eurendodj/pdfs/EEJ-10327-ORIGINAL_ARTICLES-ROSSI-FEDELE.pdf
