PMID,Journal,publisher_guess,year,doi,doi_url
38888930,JAMA Cardiol,Unknown,2024,10.1001/jamacardio.2024.1483,https://jamanetwork.com/journals/jamacardiology/fullarticle/2820164
38416454,JAMA Cardiol,Unknown,2024,10.1001/jamacardio.2024.0582,https://jamanetwork.com/journals/jamacardiology/fullarticle/2815809
23754256,Arch Pediatr Adolesc Med,Unknown,2012,10.1001/archpedi.166.12.1089,https://jamanetwork.com/article.aspx?doi=10.1001/archpedi.166.12.1089
22945017,Arch Pediatr Adolesc Med,Unknown,2012,10.1001/archpediatrics.2012.1055,https://jamanetwork.com/journals/jamapediatrics/fullarticle/1355387
4062659,Arch Otolaryngol,Unknown,1985,10.1001/archotol.1985.00800140073019,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/612854
4038142,Arch Otolaryngol,Unknown,1985,10.1001/archotol.1985.00800120090012,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/612720
23754152,Arch Otolaryngol Head Neck Surg,Unknown,2012,10.1001/archotol.138.6.598,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/1182913
23753828,Arch Otolaryngol Head Neck Surg,Unknown,2012,10.1001/archotol.138.7.690,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/1217429
15426365,Arch Intern Med (Chic),Unknown,1950,10.1001/archinte.1950.00230140116010,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/554962
18139439,Arch Intern Med (Chic),Unknown,1949,10.1001/archinte.1949.00230030091009,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/554296
14770690,Arch Otolaryngol (1925),Unknown,1950,10.1001/archotol.1950.00700030449010,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/589108
15419943,Arch Otolaryngol (1925),Unknown,1950,10.1001/archotol.1950.00700020824003,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/588314
14439883,AMA Arch Otolaryngol,Unknown,1960,10.1001/archotol.1960.03770060025003,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/598865
14408099,AMA Arch Otolaryngol,Unknown,1960,10.1001/archotol.1960.03770020177023,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/598784
38904954,JAMA Health Forum,Unknown,2024,10.1001/jamahealthforum.2024.1405,https://jamanetwork.com/journals/jama-health-forum/fullarticle/2820192
38662351,JAMA Health Forum,Unknown,2024,10.1001/jamahealthforum.2024.1399,https://jamanetwork.com/journals/jama-health-forum/fullarticle/2818252
14441179,AMA Arch Gen Psychiatry,Unknown,1960,10.1001/archpsyc.1960.03590120087010,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/487809
14428531,AMA Arch Gen Psychiatry,Unknown,1960,10.1001/archpsyc.1960.03590100081009,https://jamanetwork.com/journals/jamapsychiatry/article-abstract/487774
13845020,J Am Med Assoc,Unknown,1960,10.1001/jama.1960.73020230008008,https://jamanetwork.com/journals/jama/article-abstract/328698
8305070,AMA J Dis Child,Unknown,1993,10.1001/archpedi.1993.02160360022006,https://jamanetwork.com/journals/jamapediatrics/article-abstract/516949
8249947,AMA J Dis Child,Unknown,1993,10.1001/archpedi.1993.02160360037013,https://jamanetwork.com/journals/jamapediatrics/article-abstract/516959
38916897,JAMA Netw Open,Unknown,2024,10.1001/jamanetworkopen.2024.24366,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2820311
38888919,JAMA Netw Open,Unknown,2024,10.1001/jamanetworkopen.2024.17641,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2820094
23753132,Arch Intern Med,Unknown,2012,10.1001/archinte.172.21.1619,https://jamanetwork.com/article.aspx?doi=10.1001/archinte.172.21.1619
23752558,Arch Intern Med,Unknown,2012,10.1001/2013.jamainternmed.317,https://jamanetwork.com/journals/jamainternalmedicine/article-abstract/1484591
13257904,AMA Am J Dis Child,Unknown,1955,10.1001/archpedi.1955.04030010423007,https://jamanetwork.com/journals/jamapediatrics/article-abstract/498212
13206432,AMA Arch Derm Syphilol,Unknown,1954,10.1001/archderm.1954.01540240125018,https://jamanetwork.com/journals/jamadermatology/article-abstract/524236
13196692,AMA Arch Derm Syphilol,Unknown,1954,10.1001/archderm.1954.01540220124022,https://jamanetwork.com/journals/jamadermatology/article-abstract/524171
13649015,AMA Arch Neurol Psychiatry,Unknown,1959,10.1001/archneurpsyc.1959.02340180119015,https://jamanetwork.com/journals/archneurpsyc/article-abstract/652934
13636532,AMA Arch Neurol Psychiatry,Unknown,1959,10.1001/archneurpsyc.1959.02340170105012,https://jamanetwork.com/journals/archneurpsyc/article-abstract/652915
15410682,Am J Dis Child (1911),Unknown,1950,10.1001/archpedi.1950.04040010808002,https://jamanetwork.com/journals/jamapediatrics/article-abstract/1181047
15433738,Arch Surg (1920),Unknown,1950,10.1001/archsurg.1950.01250020594018,https://jamanetwork.com/journals/jamasurgery/article-abstract/549352
15414060,Arch Neurol Psychiatry,Unknown,1950,10.1001/archneurpsyc.1950.02310230035002,https://jamanetwork.com/journals/archneurpsyc/article-abstract/650963
8249943,Am J Dis Child,Unknown,1993,10.1001/archpedi.1993.02160360022008,https://jamanetwork.com/journals/jamapediatrics/article-abstract/516952
