PMID,Journal,publisher_guess,year,doi,doi_url
38699916,Orthod Fr,Unknown,2024,10.1684/orthodfr.2024.149,https://www.jle.com/fr/revues/odf/e-docs/reevaluation_therapeutique_des_dents_incluses_ou_transposees_350663/article.phtml
36718752,Orthod Fr,Unknown,2022,10.1684/orthodfr.2022.100,https://www.jle.com/fr/revues/odf/e-docs/mise_en_place_chirurgicale_des_dents_de_sagesse_en_remplacement_dautres_dents_les_roues_de_secours__323496/article.phtml
22407249,Sante,Unknown,2011,10.1684/san.2011.0274,https://www.jle.com/fr/revues/san/e-docs/consommation_de_cannabis_dans_une_region_du_centre_tunisien_291967/article.phtml
38909356,Eur Cytokine Netw,Unknown,2024,10.1684/ecn.2024.0494,https://www.jle.com/fr/revues/ecn/e-docs/cytokine_fingerprint_differences_following_infection_and_vaccination_what_can_we_learn_from_covid_19__351050/article.phtml
29187340,Eur Cytokine Netw,Unknown,2017,10.1684/ecn.2017.0397,https://www.jle.com/fr/revues/ecn/e-docs/enzyme_linked_immunosorbent_spot_elispot_monitoring_of_cytokine_producing_cells_for_the_prediction_of_acute_rejection_in_renal_transplant_patients_310873/article.phtml
38652733,Magnes Res,Unknown,2024,10.1684/mrh.2024.0521,https://www.jle.com/fr/revues/mrh/e-docs/magnesium_and_vitamin_d_in_long_covid_syndrome_do_they_help__350613/article.phtml
38757520,Virologie (Montrouge),Unknown,2024,10.1684/vir.2024.1049,https://www.jle.com/fr/revues/vir/e-docs/les_anticorps_iga_contre_le_vih_1_350743/article.phtml
37997882,Virologie (Montrouge),Unknown,2023,10.1684/vir.2023.1024,https://www.jle.com/fr/revues/vir/e-docs/gene_therapy_to_cure_hiv_infection_333214/article.phtml
37272694,Virologie,Unknown,2023,10.1684/vir.2023.0997,https://www.jle.com/fr/revues/vir/e-docs/une_origine_zoonotique_des_enterovirus__332259/article.phtml
21147667,Psychol Neuropsychiatr Vieil,Unknown,2010,10.1684/pnv.2010.0228,https://www.jle.com/fr/revues/pnv/e-docs/longevite_et_robustesse_de_la_saccade_oculaire_automatique_chez_le_sujet_age_sain_atteinte_dans_des_cas_de_demence_a_corps_de_286745/article.phtml
38874186,Geriatr Psychol Neuropsychiatr Vieil,Unknown,2024,10.1684/pnv.2024.1169,https://www.jle.com/fr/revues/gpn/e-docs/syndrome_de_glissement_entre_diagnostic_illusoire_et_realite_clinique_350934/article.phtml
37519078,Geriatr Psychol Neuropsychiatr Vieil,Unknown,2023,10.1684/pnv.2023.1100,https://www.jle.com/fr/revues/gpn/e-docs/tagravpa_tableau_daide_et_grille_de_reperage_du_risque_daggravation_et_de_rehospitalisation_precoce_des_personnes_agees_de_75_ans_et_plus_adressees_aux_urgences_et_ou_hospitalisees_dans_les_unites_de_soins_332643/article.phtml
