PMID,Journal,publisher_guess,year,doi,doi_url
29657336,J Phys Oceanogr,Unknown,2017,10.1175/JPO-D-16-0229.1,https://journals.ametsoc.org/view/journals/phoc/47/8/jpo-d-16-0229.1.xml
37415774,Weather Clim Soc,Unknown,2023,10.1175/wcas-d-22-0060.1,https://journals.ametsoc.org/view/journals/wcas/15/3/WCAS-D-22-0060.1.xml
34158679,J Atmos Ocean Technol,Unknown,2020,10.1175/jtech-d-19-0067.1,https://journals.ametsoc.org/view/journals/atot/37/9/jtechD190067.xml
35837596,Bull Am Meteorol Soc,Unknown,2021,10.1175/BAMS-D-20-0061.1,https://journals.ametsoc.org/view/journals/bams/102/12/BAMS-D-20-0061.1.xml
34646053,J Atmos Sci,Unknown,2021,10.1175/jas-d-21-0009.1,https://journals.ametsoc.org/view/journals/atsc/78/9/JAS-D-21-0009.1.xml
38872788,J Appl Meteorol Climatol,Unknown,2023,10.1175/JAMC-D-22-0142.1,https://journals.ametsoc.org/view/journals/apme/62/11/JAMC-D-22-0142.1.xml
30174561,J Appl Meteorol Climatol,Unknown,2018,10.1175/JAMC-D-17-0023.1,https://journals.ametsoc.org/view/journals/apme/57/1/jamc-d-17-0023.1.xml
37588421,Weather Forecast,Unknown,2022,10.1175/waf-d-22-0114.1,https://journals.ametsoc.org/view/journals/wefo/37/12/WAF-D-22-0114.1.xml
33867583,Mon Weather Rev,Unknown,2021,10.1175/mwr-d-20-0178.1,https://journals.ametsoc.org/view/journals/mwre/149/4/MWR-D-20-0178.1.xml
34163306,J Hydrometeorol,Unknown,2020,10.1175/jhm-d-20-0041.1,https://journals.ametsoc.org/view/journals/hydr/21/12/jhm-d-20-0041.1.xml
