PMID,Journal,publisher_guess,year,doi,doi_url
26764864,Phys Rev E Stat Nonlin Soft Matter Phys,Unknown,2015,10.1103/PhysRevE.92.069905,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.92.069905
26764787,Phys Rev E Stat Nonlin Soft Matter Phys,Unknown,2015,10.1103/PhysRevE.92.062920,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.92.062920
38907514,Phys Rev E,Unknown,2024,10.1103/PhysRevE.109.059902,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.109.059902
38907493,Phys Rev E,Unknown,2024,10.1103/PhysRevE.109.054601,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.109.054601
38881566,Phys Rev B,Unknown,2023,10.1103/physrevb.108.l140302,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.108.L140302
34409242,Phys Rev B,Unknown,2021,10.1103/physrevb.103.l060407,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.103.L060407
38617901,Phys Rev A (Coll Park),Unknown,2024,10.1103/PhysRevA.109.023501,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.109.023501
35528197,Phys Rev A (Coll Park),Unknown,2020,10.1103/physreva.101.041603,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.101.041603
38846721,Phys Rev Appl,Unknown,2024,10.1103/physrevapplied.21.040501,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.21.040501
30984800,Phys Rev Appl,Unknown,2018,10.1103/PhysRevApplied.9.064019,https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.9.064019
38911939,Phys Rev X,Unknown,2024,10.1103/physrevx.14.011021,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.14.011021
34136310,Phys Rev X,Unknown,2020,10.1103/PhysRevX.10.021012,https://journals.aps.org/prx/abstract/10.1103/PhysRevX.10.021012
27453675,Phys Rev A,Unknown,2015,10.1103/PhysRevA.92.043838,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.043838
9914114,Phys Rev A,Unknown,1996,10.1103/physreva.54.5418,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.54.5418
9986987,Phys Rev B Condens Matter,Unknown,1996,10.1103/physrevb.54.17224.2,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.54.17224.2
9985957,Phys Rev B Condens Matter,Unknown,1996,10.1103/physrevb.54.r17359,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.54.R17359
11725795,Phys Rev C Nucl Phys,Unknown,1998,10.1103/physrevc.58.3451,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.58.3451
9971680,Phys Rev C Nucl Phys,Unknown,1996,10.1103/physrevc.54.3068,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.54.3068
10020802,Phys Rev D Part Fields,Unknown,1996,10.1103/physrevd.54.7907,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.54.7907
10020750,Phys Rev D Part Fields,Unknown,1996,10.1103/physrevd.54.7338,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.54.7338
11970727,Phys Rev E Stat Phys Plasmas Fluids Relat Interdiscip Topics,Unknown,1999,10.1103/physreve.60.7626,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.60.7626
11970718,Phys Rev E Stat Phys Plasmas Fluids Relat Interdiscip Topics,Unknown,1999,10.1103/physreve.60.7592,https://journals.aps.org/pre/abstract/10.1103/PhysRevE.60.7592
38905699,Phys Rev Lett,Unknown,2024,10.1103/PhysRevLett.132.239901,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.239901
38877941,Phys Rev Lett,Unknown,2024,10.1103/PhysRevLett.132.221003,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.132.221003
26924926,Phys Rev B Condens Matter Mater Phys,Unknown,2015,10.1103/PhysRevB.92.214110,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.92.214110
26207086,Phys Rev B Condens Matter Mater Phys,Unknown,2015,10.1103/PhysRevB.91.184101,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.91.184101
37051403,Rev Mod Phys,Unknown,2023,10.1103/revmodphys.95.011006,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.95.011006
29503479,Rev Mod Phys,Unknown,2017,10.1103/RevModPhys.89.045004,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.89.045004
38525155,Phys Rev Res,Unknown,2024,10.1103/physrevresearch.6.013084,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.013084
34124689,Phys Rev Res,Unknown,2020,10.1103/physrevresearch.2.033316,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.2.033316
26366015,Phys Rev,Unknown,1967,10.1103/PhysRev.154.877,https://journals.aps.org/pr/abstract/10.1103/PhysRev.154.877
36970049,Phys Rev Phys Educ Res,Unknown,2022,10.1103/physrevphyseducres.18.020139,https://journals.aps.org/prper/abstract/10.1103/PhysRevPhysEducRes.18.020139
33490760,Phys Rev Phys Educ Res,Unknown,2017,10.1103/PhysRevPhysEducRes.13.020138,https://journals.aps.org/prper/abstract/10.1103/PhysRevPhysEducRes.13.020138
9906580,Phys Rev A Gen Phys,Unknown,1991,10.1103/physreva.44.5279,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.44.5279
9920588,Phys Rev A Gen Phys,Unknown,1989,10.1103/physreva.40.7403.2,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.40.7403.2
34651092,Phys Rev D,Unknown,2021,10.1103/physrevd.103.104009,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.103.104009
32743154,Phys Rev D,Unknown,2016,10.1103/PhysRevD.93.082001,https://journals.aps.org/prd/abstract/10.1103/PhysRevD.93.082001
38073874,Phys Rev Fluids,Unknown,2023,10.1103/physrevfluids.8.100501,https://journals.aps.org/prfluids/abstract/10.1103/PhysRevFluids.8.100501
30123853,Phys Rev Fluids,Unknown,2016,10.1103/PhysRevFluids.1.081201,https://journals.aps.org/prfluids/abstract/10.1103/PhysRevFluids.1.081201
37274125,Phys Rev Mater,Unknown,2023,10.1103/physrevmaterials.7.044603,https://journals.aps.org/prmaterials/abstract/10.1103/PhysRevMaterials.7.044603
34095744,Phys Rev Mater,Unknown,2020,10.1103/physrevmaterials.4.124406,https://journals.aps.org/prmaterials/abstract/10.1103/PhysRevMaterials.4.124406
37554347,Phys Rev C,Unknown,2022,10.1103/PhysRevC.105.L061601,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.105.L061601
33336123,Phys Rev C,Unknown,2020,10.1103/PhysRevC.101.054605,https://journals.aps.org/prc/abstract/10.1103/PhysRevC.101.054605
