PMID,Journal,publisher_guess,year,doi,doi_url
8987361,Microbiol Rev,Unknown,1996,10.1128/mr.60.4.722-742.1996,https://journals.asm.org/doi/10.1128/mr.60.4.722-742.1996
8531889,Microbiol Rev,Unknown,1995,10.1128/mr.59.4.623-645.1995,https://journals.asm.org/doi/10.1128/mr.59.4.623-645.1995
38864557,EcoSal Plus,Unknown,2024,10.1128/ecosalplus.esp-0001-2022,https://journals.asm.org/doi/10.1128/ecosalplus.esp-0001-2022
38916365,Microbiol Spectr,Unknown,2024,10.1128/spectrum.00608-24,https://journals.asm.org/doi/10.1128/spectrum.00608-24
38899864,Microbiol Spectr,Unknown,2024,10.1128/spectrum.03786-23,https://journals.asm.org/doi/10.1128/spectrum.03786-23
16339072,Clin Diagn Lab Immunol,Unknown,2005,10.1128/CDLI.12.12.1455-1457.2005,https://journals.asm.org/doi/10.1128/CDLI.12.12.1455-1457.2005
16085919,Clin Diagn Lab Immunol,Unknown,2005,10.1128/CDLI.12.8.1003-1005.2005,https://journals.asm.org/doi/10.1128/CDLI.12.8.1003-1005.2005
791239,Bacteriol Rev,Unknown,1976,10.1128/br.40.3.722-756.1976,https://journals.asm.org/doi/10.1128/br.40.3.722-756.1976
38916378,mBio,Unknown,2024,10.1128/mbio.01468-24,https://journals.asm.org/doi/10.1128/mbio.01468-24
38742878,mBio,Unknown,2024,10.1128/mbio.00826-24,https://journals.asm.org/doi/10.1128/mbio.00826-24
38916342,J Microbiol Biol Educ,Unknown,2024,10.1128/jmbe.00015-24,https://journals.asm.org/doi/10.1128/jmbe.00015-24
38661416,J Microbiol Biol Educ,Unknown,2024,10.1128/jmbe.00157-23,https://journals.asm.org/doi/10.1128/jmbe.00157-23
23653564,Microbiol Educ,Unknown,2006,10.1128/me.7.1.20-27.2006,https://journals.asm.org/doi/10.1128/me.7.1.20-27.2006
23653534,Microbiol Educ,Unknown,2000,10.1128/me.1.1.14-19.2000,https://journals.asm.org/doi/10.1128/me.1.1.14-19.2000
38917469,Microbiol Resour Announc,Unknown,2024,10.1128/mra.00483-24,https://journals.asm.org/doi/10.1128/mra.00483-24
38842343,Microbiol Resour Announc,Unknown,2024,10.1128/mra.00192-24,https://journals.asm.org/doi/10.1128/mra.00192-24
5535400,Antimicrob Agents Chemother (Bethesda),Unknown,1970,10.1128/AAC.10.1.123,https://journals.asm.org/doi/10.1128/AAC.10.1.123
1211935,Appl Microbiol,Unknown,1975,10.1128/am.30.6.1052-1053.1975,https://journals.asm.org/doi/10.1128/am.30.6.1052-1053.1975
811162,Appl Microbiol,Unknown,1975,10.1128/am.30.4.541-545.1975,https://journals.asm.org/doi/10.1128/am.30.4.541-545.1975
