PMID,Journal,publisher_guess,year,doi,doi_url
38852083,Pediatr Ann,Unknown,2024,10.3928/19382359-20240407-01,https://journals.healio.com/doi/10.3928/19382359-20240407-01
38700921,Pediatr Ann,Unknown,2024,10.3928/19382359-20240306-01,https://journals.healio.com/doi/10.3928/19382359-20240306-01
38864647,Orthopedics,Unknown,2024,10.3928/01477447-20240605-02,https://journals.healio.com/doi/10.3928/01477447-20240605-02
38466828,Orthopedics,Unknown,2024,10.3928/01477447-20240304-01,https://journals.healio.com/doi/10.3928/01477447-20240304-01
38916473,Res Gerontol Nurs,Unknown,2024,10.3928/19404921-20240614-01,https://journals.healio.com/doi/10.3928/19404921-20240614-01
36692434,Res Gerontol Nurs,Unknown,2023,10.3928/19404921-20230105-01,https://journals.healio.com/doi/10.3928/19404921-20230105-01
38848059,J Refract Surg,Unknown,2024,10.3928/1081597X-20240422-04,https://journals.healio.com/doi/10.3928/1081597X-20240422-04
38466765,J Refract Surg,Unknown,2024,10.3928/1081597X-20240212-01,https://journals.healio.com/doi/10.3928/1081597X-20240212-01
38900271,J Nurs Educ,Unknown,2024,10.3928/01484834-20240514-03,https://journals.healio.com/doi/10.3928/01484834-20240514-03
38316154,J Nurs Educ,Unknown,2024,10.3928/01484834-20231205-01,https://journals.healio.com/doi/10.3928/01484834-20231205-01
38815108,J Pediatr Ophthalmol Strabismus,Unknown,2024,10.3928/01913913-20240508-09,https://journals.healio.com/doi/10.3928/01913913-20240508-09
37478197,J Pediatr Ophthalmol Strabismus,Unknown,2023,10.3928/01913913-20230619-01,https://journals.healio.com/doi/10.3928/01913913-20230619-01
38838339,J Psychosoc Nurs Ment Health Serv,Unknown,2024,10.3928/02793695-20240506-01,https://journals.healio.com/doi/10.3928/02793695-20240506-01
37909889,J Psychosoc Nurs Ment Health Serv,Unknown,2023,10.3928/02793695-20231011-01,https://journals.healio.com/doi/10.3928/02793695-20231011-01
38836635,J Contin Educ Nurs,Unknown,2024,10.3928/00220124-20240529-01,https://journals.healio.com/doi/10.3928/00220124-20240529-01
38329397,J Contin Educ Nurs,Unknown,2024,10.3928/00220124-20240201-05,https://journals.healio.com/doi/10.3928/00220124-20240201-05
38815227,J Gerontol Nurs,Unknown,2024,10.3928/00989134-20240502-03,https://journals.healio.com/doi/10.3928/00989134-20240502-03
37906049,J Gerontol Nurs,Unknown,2023,10.3928/00989134-20231011-03,https://journals.healio.com/doi/10.3928/00989134-20231011-03
38860972,Ophthalmic Surg Lasers Imaging Retina,Unknown,2024,10.3928/23258160-20240207-03,https://journals.healio.com/doi/10.3928/23258160-20240207-03
38648424,Ophthalmic Surg Lasers Imaging Retina,Unknown,2024,10.3928/23258160-20240409-03,https://journals.healio.com/doi/10.3928/23258160-20240409-03
35874119,Athl Train Sports Health Care,Unknown,2021,10.3928/19425864-20200521-01,https://journals.healio.com/doi/10.3928/19425864-20200521-01
31772716,Athl Train Sports Health Care,Unknown,2019,10.3928/19425864-20190214-01,https://journals.healio.com/doi/10.3928/19425864-20190214-01
38845812,Oncol Issues,Unknown,2024,10.3928/25731777-20240422-07,https://journals.healio.com/doi/10.3928/25731777-20240422-07
23776949,Ophthalmic Surg Lasers Imaging,Unknown,2012,10.3928/15428877-20120920-02,https://journals.healio.com/doi/10.3928/15428877-20120920-02
22356437,Ophthalmic Surg Lasers Imaging,Unknown,2012,10.3928/15428877-20120216-01,https://journals.healio.com/doi/10.3928/15428877-20120216-01
38293647,Psychiatr Ann,Unknown,2023,10.3928/00485713-20231012-01,https://journals.healio.com/doi/10.3928/00485713-20231012-01
11659103,Psychiatr Ann,Unknown,1988,10.3928/0048-5713-19880501-12,https://journals.healio.com/doi/10.3928/0048-5713-19880501-12
38852074,Health Lit Res Pract,Unknown,2024,10.3928/24748307-20240515-01,https://journals.healio.com/doi/10.3928/24748307-20240515-01
35858185,Health Lit Res Pract,Unknown,2022,10.3928/24748307-20220615-01,https://journals.healio.com/doi/10.3928/24748307-20220615-01
