PMID,Journal,publisher_guess,year,doi,doi_url
11616771,Can J Hist Sport,Unknown,1989,10.1123/cjhs.20.2.49,https://journals.humankinetics.com/view/journals/shr/20/2/article-p49.xml
11616770,Can J Hist Sport,Unknown,1987,10.1123/cjhs.18.2.1,https://journals.humankinetics.com/view/journals/shr/18/2/article-p1.xml
38500698,J Mot Learn Dev,Unknown,2023,10.1123/jmld.2022-0074,https://journals.humankinetics.com/view/journals/jmld/11/3/article-p401.xml
33015208,J Mot Learn Dev,Unknown,2019,10.1123/jmld.2019-0015,https://journals.humankinetics.com/view/journals/jmld/7/3/article-p336.xml
11616776,Can J Hist Sport Phys Educ,Unknown,1986,10.1123/cjhs.17.1.38,https://journals.humankinetics.com/view/journals/shr/17/1/article-p38.xml
11616774,Can J Hist Sport Phys Educ,Unknown,1983,10.1123/cjhs.14.1.64,https://journals.humankinetics.com/view/journals/shr/14/1/article-p64.xml
38906530,Int J Sports Physiol Perform,Unknown,2024,10.1123/ijspp.2023-0423,https://journals.humankinetics.com/view/journals/ijspp/aop/article-10.1123-ijspp.2023-0423/article-10.1123-ijspp.2023-0423.xml
38134897,Int J Sports Physiol Perform,Unknown,2024,10.1123/ijspp.2022-0220,https://journals.humankinetics.com/view/journals/ijspp/19/2/article-p195.xml
10660874,Int J Sport Nutr,Unknown,1999,10.1123/ijsn.9.4.434,https://journals.humankinetics.com/view/journals/ijsnem/9/4/article-p434.xml
20661467,Sociol Sport J,Unknown,2009,10.1123/ssj.26.2.335,https://journals.humankinetics.com/view/journals/ssj/26/2/article-p335.xml
38901830,Motor Control,Unknown,2024,10.1123/mc.2023-0101,https://journals.humankinetics.com/view/journals/mcj/aop/article-10.1123-mc.2023-0101/article-10.1123-mc.2023-0101.xml
36318915,Motor Control,Unknown,2023,10.1123/mc.2022-0118,https://journals.humankinetics.com/view/journals/mcj/27/1/article-p1.xml
38871343,Int J Sport Nutr Exerc Metab,Unknown,2024,10.1123/ijsnem.2023-0229,https://journals.humankinetics.com/view/journals/ijsnem/aop/article-10.1123-ijsnem.2023-0229/article-10.1123-ijsnem.2023-0229.xml
37734739,Int J Sport Nutr Exerc Metab,Unknown,2023,10.1123/ijsnem.2023-0069,https://journals.humankinetics.com/view/journals/ijsnem/33/6/article-p349.xml
38817824,J Clin Sport Psychol,Unknown,2024,10.1123/jcsp.2021-0088,https://journals.humankinetics.com/view/journals/jcsp/18/2/article-p215.xml
30271521,J Clin Sport Psychol,Unknown,2017,10.1123/jcsp.2016-0043,https://journals.humankinetics.com/view/journals/jcsp/11/3/article-p201.xml
24523567,Sport Psychol,Unknown,2013,10.1123/tsp.27.2.201,https://journals.humankinetics.com/view/journals/tsp/27/2/article-p201.xml
38897577,J Appl Biomech,Unknown,2024,10.1123/jab.2023-0186,https://journals.humankinetics.com/view/journals/jab/aop/article-10.1123-jab.2023-0186/article-10.1123-jab.2023-0186.xml
36513076,J Appl Biomech,Unknown,2023,10.1123/jab.2022-0165,https://journals.humankinetics.com/view/journals/jab/39/1/article-p10.xml
38871340,J Phys Act Health,Unknown,2024,10.1123/jpah.2023-0756,https://journals.humankinetics.com/view/journals/jpah/aop/article-10.1123-jpah.2023-0756/article-10.1123-jpah.2023-0756.xml
38490193,J Phys Act Health,Unknown,2024,10.1123/jpah.2023-0379,https://journals.humankinetics.com/view/journals/jpah/21/5/article-p508.xml
38815973,J Sport Exerc Psychol,Unknown,2024,10.1123/jsep.2023-0267,https://journals.humankinetics.com/view/journals/jsep/aop/article-10.1123-jsep.2023-0267/article-10.1123-jsep.2023-0267.xml
38484729,J Sport Exerc Psychol,Unknown,2024,10.1123/jsep.2023-0150,https://journals.humankinetics.com/view/journals/jsep/46/2/article-p84.xml
38897572,Pediatr Exerc Sci,Unknown,2024,10.1123/pes.2024-0057,https://journals.humankinetics.com/view/journals/pes/aop/article-10.1123-pes.2024-0057/article-10.1123-pes.2024-0057.xml
37172952,Pediatr Exerc Sci,Unknown,2023,10.1123/pes.2021-0175,https://journals.humankinetics.com/view/journals/pes/35/4/article-p232.xml
35873529,Kinesiol Rev (Champaign),Unknown,2022,10.1123/kr.2020-0066,https://journals.humankinetics.com/view/journals/krj/11/2/article-p121.xml
26457234,Kinesiol Rev (Champaign),Unknown,2013,10.1123/krj.2.4.233,https://journals.humankinetics.com/view/journals/krj/2/4/article-p233.xml
36643894,J Teach Phys Educ,Unknown,2023,10.1123/jtpe.2021-0231,https://journals.humankinetics.com/view/journals/jtpe/42/1/article-p165.xml
32855580,J Teach Phys Educ,Unknown,2020,10.1123/jtpe.2019-0067,https://journals.humankinetics.com/view/journals/jtpe/39/3/article-p407.xml
19936042,Athl Ther Today,Unknown,2008,10.1123/att.13.5.39,https://journals.humankinetics.com/view/journals/ijatt/13/5/article-p39.xml
20707035,Sport Hist Rev,Unknown,2002,10.1123/shr.33.2.95,https://journals.humankinetics.com/view/journals/shr/33/2/article-p95.xml
22439216,Sport Hist Rev,Unknown,1999,10.1123/shr.30.1.56,https://journals.humankinetics.com/view/journals/shr/30/1/article-p56.xml
38455705,Women Sport Phys Act J,Unknown,2024,10.1123/wspaj.2023-0073,https://journals.humankinetics.com/view/journals/wspaj/32/1/article-wspaj.2023-0073.xml
38037607,J Meas Phys Behav,Unknown,2023,10.1123/jmpb.2022-0036,https://journals.humankinetics.com/view/journals/jmpb/6/2/article-p156.xml
33997656,J Meas Phys Behav,Unknown,2020,10.1123/jmpb.2019-0049,https://journals.humankinetics.com/view/journals/jmpb/3/2/article-p110.xml
38901829,J Aging Phys Act,Unknown,2024,10.1123/japa.2023-0216,https://journals.humankinetics.com/view/journals/japa/aop/article-10.1123-japa.2023-0216/article-10.1123-japa.2023-0216.xml
38604606,J Aging Phys Act,Unknown,2024,10.1123/japa.2023-0226,https://journals.humankinetics.com/view/journals/japa/aop/article-10.1123-japa.2023-0226/article-10.1123-japa.2023-0226.xml
37339770,Adapt Phys Activ Q,Unknown,2024,10.1123/apaq.2022-0124,https://journals.humankinetics.com/view/journals/apaq/41/1/article-p67.xml
38897580,J Sport Rehabil,Unknown,2024,10.1123/jsr.2023-0292,https://journals.humankinetics.com/view/journals/jsr/33/5/article-p356.xml
37414406,J Sport Rehabil,Unknown,2023,10.1123/jsr.2023-0029,https://journals.humankinetics.com/view/journals/jsr/32/6/article-p749.xml
