PMID,Journal,publisher_guess,year,doi,doi_url
38860981,Acta Crystallogr D Struct Biol,Unknown,2024,10.1107/S2059798324004029,https://journals.iucr.org/paper?S2059798324004029
38606665,Acta Crystallogr D Struct Biol,Unknown,2024,10.1107/S2059798324002833,https://journals.iucr.org/d/issues/2024/05/00/nz5016/index.html
38899751,Acta Crystallogr C Struct Chem,Unknown,2024,10.1107/S2053229624005576,https://journals.iucr.org/c/issues/2024/07/00/wv3014/index.html
38032219,Acta Crystallogr C Struct Chem,Unknown,2023,10.1107/S2053229623010021,https://journals.iucr.org/paper?S2053229623010021
38900605,Acta Crystallogr F Struct Biol Commun,Unknown,2024,10.1107/S2053230X24005545,https://journals.iucr.org/f/issues/2024/06/00/me6279/index.html
38767964,Acta Crystallogr F Struct Biol Commun,Unknown,2024,10.1107/S2053230X2400414X,https://journals.iucr.org/f/issues/2024/05/00/va5058/index.html
38904549,IUCrJ,Unknown,2024,10.1107/S2052252524005165,https://journals.iucr.org/m/issues/2024/04/00/oz5006/index.html
38096036,IUCrJ,Unknown,2024,10.1107/S2052252523009831,https://journals.iucr.org/m/issues/2024/01/00/zf5022/index.html
5537163,Acta Crystallogr B Struct Crystallogr Cryst Chem,Unknown,1970,10.1107/s0567740870004429,https://journals.iucr.org/paper?S0567740870004429
5537185,Acta Crystallogr B Struct Crystallogr Cryst Chem,Unknown,1970,10.1107/s0567740870004077,https://journals.iucr.org/paper?S0567740870004077
23364464,Acta Crystallogr B,Unknown,2013,10.1107/S0108768112051506,https://journals.iucr.org/paper?S2052519212051500
22610680,Acta Crystallogr B,Unknown,2012,10.1107/S0108768112010993,https://journals.iucr.org/paper?S0108768112010993
24132222,Acta Crystallogr A,Unknown,2013,10.1107/S0108767313022642,https://journals.iucr.org/paper?S0108767313022642
23778095,Acta Crystallogr A,Unknown,2013,10.1107/S0108767313007538,https://journals.iucr.org/paper?S0108767313007538
38845726,Acta Crystallogr E Crystallogr Commun,Unknown,2024,10.1107/S2056989024003797,https://journals.iucr.org/e/issues/2024/06/00/zn2036/index.html
38721421,Acta Crystallogr E Crystallogr Commun,Unknown,2024,10.1107/S2056989024002858,https://journals.iucr.org/e/issues/2024/05/00/nx2007/index.html
38888407,Acta Crystallogr B Struct Sci Cryst Eng Mater,Unknown,2024,10.1107/S2052520624003421,https://journals.iucr.org/b/issues/2024/04/00/je5055/index.html
36920877,Acta Crystallogr B Struct Sci Cryst Eng Mater,Unknown,2023,10.1107/S2052520623001105,https://journals.iucr.org/paper?S2052520623001105
38916131,Acta Crystallogr A Found Adv,Unknown,2024,10.1107/S2053273324004418,https://journals.iucr.org/paper?S2053273324004418
36601764,Acta Crystallogr A Found Adv,Unknown,2023,10.1107/S2053273322010944,https://journals.iucr.org/paper?S2053273322010944
25553056,Acta Crystallogr Sect E Struct Rep Online,Unknown,2014,10.1107/S1600536814025768,https://journals.iucr.org/e/issues/2014/12/00/bg2540/index.html
25553047,Acta Crystallogr Sect E Struct Rep Online,Unknown,2014,10.1107/S1600536814024714,https://journals.iucr.org/e/issues/2014/12/00/hb7313/index.html
38846774,J Appl Crystallogr,Unknown,2024,10.1107/S1600576724002796,https://journals.iucr.org/j/issues/2024/03/00/yr5125/index.html
38846772,J Appl Crystallogr,Unknown,2024,10.1107/S1600576724002243,https://journals.iucr.org/j/issues/2024/03/00/yr5123/index.html
26627660,Acta Crystallogr D Biol Crystallogr,Unknown,2015,10.1107/S1399004715019641,https://journals.iucr.org/paper?S1399004715019641
26627655,Acta Crystallogr D Biol Crystallogr,Unknown,2015,10.1107/S1399004715019331,https://journals.iucr.org/paper?S1399004715019331
38904938,J Synchrotron Radiat,Unknown,2024,10.1107/S1600577524004594,https://journals.iucr.org/s/issues/2024/04/00/xl5032/index.html
38300129,J Synchrotron Radiat,Unknown,2024,10.1107/S1600577523010391,https://journals.iucr.org/s/issues/2024/02/00/iy5001/index.html
24316849,Acta Crystallogr Sect F Struct Biol Cryst Commun,Unknown,2013,10.1107/S1744309113025050,https://journals.iucr.org/paper?S1744309113025050
24316845,Acta Crystallogr Sect F Struct Biol Cryst Commun,Unknown,2013,10.1107/S1744309113031138,https://journals.iucr.org/paper?S1744309113031138
5630502,Acta Crystallogr,Unknown,1967,10.1107/s0365110x67004414,https://journals.iucr.org/paper?S0365110X67004414
14289668,Acta Crystallogr,Unknown,1965,10.1107/s0365110x65001718,https://journals.iucr.org/paper?S0365110X65001718
5501893,Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr,Unknown,1970,10.1107/s0567739470001511,https://journals.iucr.org/paper?S0567739470001511
5799609,Acta Crystallogr A Cryst Phys Diffr Theor Gen Crystallogr,Unknown,1969,10.1107/s056773946900026x,https://journals.iucr.org/paper?S056773946900026X
