PMID,Journal,publisher_guess,year,doi,doi_url
10270437,Mobius,Unknown,1985,10.1002/chp.4760050104,https://journals.lww.com/jcehp/citation/1985/05010/psychological_midwifery_during_the_birth_of_a.3.aspx
38817191,Neurol India,Unknown,2024,10.4103/neurol-india.Neurol-India-D-24-00165,https://journals.lww.com/neur/fulltext/2024/03000/subdural_empyema_associated_with_ventricular.63.aspx
38691476,Neurol India,Unknown,2024,10.4103/ni.ni_940_21,"https://journals.lww.com/neur/fulltext/2024/03000/serum_apo_lipoprotein_e,_apo_lipoprotein_e_gene.16.aspx"
38905624,Nurs Res,Unknown,2024,10.1097/NNR.0000000000000731,"https://journals.lww.com/nursingresearchonline/abstract/2024/07000/study_recruitment,_retention,_and_adherence_among.14.aspx"
38905617,Nurs Res,Unknown,2024,10.1097/NNR.0000000000000736,https://journals.lww.com/nursingresearchonline/citation/2024/07000/this_i_believe__the_power_of__being_with_.2.aspx
38915149,Nurse Pract,Unknown,2024,10.1097/01.NPR.0000000000000202,https://journals.lww.com/tnpj/fulltext/2024/07000/multiple_sclerosis_treatment_review_for_primary.8.aspx
38662495,Nurse Pract,Unknown,2024,10.1097/01.NPR.0000000000000175,https://journals.lww.com/tnpj/abstract/2024/05000/interprofessional_collaboration_to_improve_care.9.aspx
38848489,Nurs Adm Q,Unknown,2024,10.1097/NAQ.0000000000000641,https://journals.lww.com/naqjournal/abstract/2024/07000/lighting_the_path__rekindling_innovation_and_joy.9.aspx
37261416,Nurs Adm Q,Unknown,2023,10.1097/NAQ.0000000000000589,https://journals.lww.com/naqjournal/fulltext/2023/07000/exploration_of_system_chief_nurse_executive_s.12.aspx
38900993,Nurse Educ,Unknown,2024,10.1097/NNE.0000000000001690,https://journals.lww.com/nurseeducatoronline/abstract/9900/evaluating_the_impact_of_self_care_strategies.490.aspx
38235809,Nurse Educ,Unknown,2024,10.1097/NNE.0000000000001600,https://journals.lww.com/nurseeducatoronline/abstract/9900/effect_of_an_education_intervention_on_nursing.396.aspx
38811378,Nurs Manage,Unknown,2024,10.1097/nmg.0000000000000141,https://journals.lww.com/nursingmanagement/citation/2024/06000/building_confidence_in_giving_and_receiving.11.aspx
38690863,Nurs Manage,Unknown,2024,10.1097/nmg.0000000000000116,https://journals.lww.com/nursingmanagement/fulltext/2024/05000/nursing_dress_code__explaining_varying_policies.8.aspx
38861752,Orthop Nurs,Unknown,2024,10.1097/NOR.0000000000001034,https://journals.lww.com/orthopaedicnursing/citation/2024/05000/naon_announcements.14.aspx
38861744,Orthop Nurs,Unknown,2024,10.1097/NOR.0000000000001027,https://journals.lww.com/orthopaedicnursing/abstract/2024/05000/nicotine_screening_and_cessation_education_among.5.aspx
38896544,Prosthet Orthot Int,Unknown,2024,10.1097/PXR.0000000000000363,https://journals.lww.com/poijournal/abstract/9900/determining_the_optimal_leading_limb_for_gait.255.aspx
38018968,Prosthet Orthot Int,Unknown,2024,10.1097/PXR.0000000000000309,https://journals.lww.com/poijournal/abstract/2024/06000/a_systematic_review_of_methods_used_to_assist.2.aspx
34871291,Plast Surg Nurs,Unknown,2021,10.1097/PSN.0000000000000410,https://journals.lww.com/psnjournalonline/abstract/2021/10000/using_facial_recognition_tools_for_health.16.aspx
34871276,Plast Surg Nurs,Unknown,2021,10.1097/PSN.0000000000000401,"https://journals.lww.com/psnjournalonline/citation/2021/10000/our_name_is_changing,_2021_psn_journal_award.1.aspx"
2432583,Pediatr Infect Dis,Unknown,1986,10.1097/00006454-198611010-00029,https://journals.lww.com/pidj/pages/default.aspx
38787781,Dimens Crit Care Nurs,Unknown,2024,10.1097/DCC.0000000000000649,https://journals.lww.com/dccnjournal/citation/2024/07000/chatgpt_and_humanization_of_care__return_to_the.12.aspx
37219481,Dimens Crit Care Nurs,Unknown,2023,10.1097/DCC.0000000000000594,https://journals.lww.com/dccnjournal/fulltext/2023/07000/authorship___begin_with_the_end_in_mind_.12.aspx
20182167,Eur J Anaesthesiol Suppl,Unknown,2010,10.1097/01.EJA.0000369255.15912.5b,"https://journals.lww.com/ejanaesthesiology/fulltext/2010/02001/euroneuro_2010_porto,_portugal,_february_4_6,_2010.1.aspx"
18289437,Eur J Anaesthesiol Suppl,Unknown,2008,10.1017/S0265021507003341,https://journals.lww.com/ejanaesthesiology/fulltext/2008/02001/transcranial_doppler_ultrasonography_in_intensive.29.aspx
255405,ET J,Unknown,1979,10.1097/00152192-197900610-00002,https://journals.lww.com/jwocnonline/pages/default.aspx
38865162,Exerc Sport Sci Rev,Unknown,2024,10.1249/JES.0000000000000340,https://journals.lww.com/acsm-essr/abstract/2024/07000/the_specification_of_a_computational_model_of.4.aspx
34107505,Exerc Sport Sci Rev,Unknown,2021,10.1249/JES.0000000000000264,https://journals.lww.com/acsm-essr/fulltext/2021/10000/enhancing_adaptations_to_neuromuscular_electrical.3.aspx
38781509,Front Health Serv Manage,Unknown,2024,10.1097/HAP.0000000000000195,"https://journals.lww.com/frontiersonline/abstract/2024/06000/evidence_based_management,_reconsidered.6.aspx"
35670614,Front Health Serv Manage,Unknown,2022,10.1097/HAP.0000000000000142,https://journals.lww.com/frontiersonline/abstract/2022/06000/deploying_advanced_practice_practitioners_in.4.aspx
38781080,Health Care Manage Rev,Unknown,2024,10.1097/HMR.0000000000000410,https://journals.lww.com/hcmrjournal/citation/2024/07000/the_crisis_of_primary_care_and_the_case_for_more.1.aspx
38393982,Health Care Manage Rev,Unknown,2024,10.1097/HMR.0000000000000398,https://journals.lww.com/hcmrjournal/abstract/2024/04000/more_isn_t_always_better__technology_in_the.6.aspx
25370984,Home Healthc Nurse,Unknown,2014,10.1097/NHH.0000000000000162,https://journals.lww.com/homehealthcarenurseonline/citation/2014/11000/the_unspoken_epidemic.15.aspx
24802602,Home Healthc Nurse,Unknown,2014,10.1097/NHH.0000000000000069,https://journals.lww.com/homehealthcarenurseonline/abstract/2014/05000/care_transitions__best_practices_and.9.aspx
37908370,Niger J Med,Unknown,2021,10.4103/njm.njm_85_21,https://journals.lww.com/njom/fulltext/2021/30060/covid_19_subclinical_infection_and_immunity__a.1.aspx
38913997,Comput Inform Nurs,Unknown,2024,10.1097/CIN.0000000000001159,https://journals.lww.com/cinjournal/abstract/9900/recruitment_and_retention_issues_in_a.206.aspx
38206176,Comput Inform Nurs,Unknown,2024,10.1097/CIN.0000000000001094,https://journals.lww.com/cinjournal/abstract/2024/04000/development_and_use_of_a_tech_based_data.3.aspx
38655446,Brain Circ,Unknown,2024,10.4103/bc.bc_65_23,https://journals.lww.com/brci/fulltext/2024/10010/featured_minimally_invasive_therapeutic_approach.5.aspx
38020951,Brain Circ,Unknown,2023,10.4103/bc.bc_15_23,https://journals.lww.com/brci/fulltext/2023/09030/a_stroke_in_severe_acute_respiratory_syndrome.12.aspx
